term 	 tf-idf weight 	 BM25 ranking 
 cdt 	 665.3205601030884 1.7245617776052975 
logo 	 4945.008293810772 0.7254619828077636 
images 	 1894.9604437607823 1.064717816478797 
cdtlgo 	 9712.024096133933 0.7254619828077636 
gif 	 343.508121685324 1.064717816478797 
index 	 144.0836782057396 1.5470169453391707 
html 	 130.1972014584252 1.5470169453391707 
statement 	 4513.484057397971 0.7254619828077636 
janlori 	 5948.032663003068 1.064717816478797 
goldman 	 4856.012048066967 1.064717816478797 
deputy 	 2567.2424656308845 1.064717816478797 
director 	 2358.780257834708 1.064717816478797 
center 	 1543.8007649528136 1.064717816478797 
democracy 	 2209.399748003666 1.064717816478797 
technology 	 531.9497262899417 1.5987458583787977 
house 	 1783.5158494288003 1.064717816478797 
committee 	 693.1877622270348 1.5470169453391707 
government 	 781.8904963588068 1.2613352076768216 
reform 	 1010.2482033665643 1.3896454815564103 
oversight 	 4856.012048066967 1.064717816478797 
subcommittee 	 3506.0295770176544 1.2613352076768216 
management 	 1104.2996520986496 1.2613352076768216 
information 	 20.386686865982096 1.9575415528570914 
medical 	 102.43029425733957 1.9093392092446815 
records 	 188.8287698569766 1.8959107120295196 
confidentiality 	 573.3997106917266 1.777003346492512 
june 	 2079.5632866811043 1.064717816478797 
overview 	 1725.0283924060045 1.064717816478797 
demand 	 1590.6765587851291 1.2613352076768216 
federal 	 235.80909324379294 1.790311126154837 
privacy 	 97.20091830171553 1.9488963322099717 
protection 	 333.59375015537637 1.7445836534522028 
consensus 	 3046.7040453665973 1.2613352076768216 
exists 	 2170.8205087383135 1.2613352076768216 
misuse 	 2629.522182763241 1.3896454815564103 
personal 	 123.60687241322867 1.8580705561449031 
health 	 33.8786848539836 1.9633057329898773 
consequences 	 977.1321206138413 1.4799765169899313 
protecting 	 651.2461526214942 1.7011339125587708 
principles 	 1374.235046542038 1.3896454815564103 
policy 	 631.9800813034652 1.4799765169899313 
conclusion 	 2358.780257834708 1.064717816478797 
footnotes 	 881.3307166309926 1.2613352076768216 
chairman 	 1609.3444599217266 1.2613352076768216 
horn 	 1504.4946857993236 1.2613352076768216 
name 	 3893.6661648246577 0.7254619828077636 
profit 	 5496.940186168152 0.7254619828077636 
public 	 194.9435514973215 1.7245617776052975 
organization 	 2906.749634832642 0.7254619828077636 
dedicated 	 7762.135541146621 0.7254619828077636 
preserving 	 9712.024096133933 0.7254619828077636 
free 	 2515.6895698714866 0.7254619828077636 
speech 	 4945.008293810772 0.7254619828077636 
democratic 	 4159.126573362209 0.7254619828077636 
values 	 4465.578124858799 0.7254619828077636 
internet 	 2057.930663934336 0.7254619828077636 
interactive 	 7129.049523682975 0.7254619828077636 
communications 	 2129.7074131628633 0.7254619828077636 
media 	 1721.4936269216255 0.7254619828077636 
appreciate 	 8334.047501180761 0.7254619828077636 
opportunity 	 2306.452386750199 1.064717816478797 
testify 	 7762.135541146621 0.7254619828077636 
behalf 	 6384.158946193449 0.7254619828077636 
support 	 552.193412787714 1.4799765169899313 
strong 	 1207.008344941295 1.3896454815564103 
comprehensive 	 446.5578124858799 1.7011339125587708 
legislation 	 358.81108003616 1.7618919614446693 
protect 	 558.1972656073499 1.639871177228047 
cdt's 	 10518.088731052963 0.7254619828077636 
primary 	 1628.553534356402 1.2613352076768216 
goals 	 2789.0471556372095 1.064717816478797 
passage 	 6512.461526214941 0.7254619828077636 
establishes 	 4348.251378043572 1.064717816478797 
enforceable 	 3506.0295770176544 1.2613352076768216 
personally 	 1293.68925685777 1.5470169453391707 
identifiable 	 1699.437903715162 1.5987458583787977 
believe 	 733.4978473231099 1.5987458583787977 
protects 	 2509.3276220872435 1.2613352076768216 
critical 	 1946.8330824123288 1.064717816478797 
trust 	 1302.4923052429883 1.4799765169899313 
confidence 	 3075.0031356542795 1.064717816478797 
emerging 	 3256.2307631074705 1.064717816478797 
infrastructure 	 2216.5397849103333 1.2613352076768216 
sensitive 	 1230.001254261712 1.4799765169899313 
data 	 278.2986600596871 1.7445836534522028 
vulnerable 	 4856.012048066967 1.064717816478797 
abuse 	 1689.7662544965544 1.2613352076768216 
commend 	 9712.024096133933 0.7254619828077636 
efforts 	 3756.5083363085982 0.7254619828077636 
representative 	 1013.8597526979328 1.4799765169899313 
gary 	 9712.024096133933 0.7254619828077636 
condit 	 3965.3551086687116 1.2613352076768216 
leadership 	 5418.969408419429 0.7254619828077636 
enacting 	 11896.065326006135 0.7254619828077636 
presently 	 7762.135541146621 0.7254619828077636 
law 	 166.28463061009901 1.7011339125587708 
peoples' 	 3965.3551086687116 1.2613352076768216 
louis 	 3659.263080566986 1.064717816478797 
harris 	 1739.3005512174288 1.4799765169899313 
survey 	 965.6066759530361 1.4799765169899313 
found 	 744.7296168059185 1.4799765169899313 
people 	 232.94428275257684 1.7011339125587708 
country 	 1617.4640892736131 1.064717816478797 
mistakenly 	 4856.012048066967 1.064717816478797 
currently 	 2100.058858160624 1.064717816478797 
protected 	 1463.7052322267946 1.4799765169899313 
access 	 357.0605191488178 1.7445836534522028 
allow 	 1609.3444599217266 1.2613352076768216 
patients 	 878.5723244726513 1.5987458583787977 
laws 	 982.3717384409955 1.3896454815564103 
urgently 	 9712.024096133933 0.7254619828077636 
address 	 848.3943787613077 1.4799765169899313 
increasing 	 4717.560515669416 0.7254619828077636 
demands 	 3075.0031356542795 1.064717816478797 
outside 	 2358.780257834708 1.064717816478797 
traditional 	 1400.039238773749 1.2613352076768216 
doctor 	 1064.0264910322414 1.5470169453391707 
patient 	 697.2617889093024 1.639871177228047 
relationship 	 366.0595783813296 1.639871177228047 
insurance 	 419.354979409127 1.7245617776052975 
companies 	 721.4033827237898 1.5470169453391707 
managed 	 4013.797974842086 1.064717816478797 
care 	 130.9828984587994 1.8893553236840024 
researchers 	 8027.595949684172 0.7254619828077636 
employers 	 1565.9092995055942 1.3896454815564103 
enforcement 	 1859.3647704248062 1.2613352076768216 
eroding 	 10518.088731052963 0.7254619828077636 
central 	 3478.661594866783 0.7254619828077636 
believes 	 2128.052982064483 1.2613352076768216 
congress 	 651.7961387468041 1.5987458583787977 
act 	 1209.401918762369 1.2613352076768216 
finally 	 2671.970818194764 1.064717816478797 
conform 	 9140.112136099793 0.7254619828077636 
extent 	 4664.544040470079 0.7254619828077636 
american 	 314.88186392603507 1.5987458583787977 
public's 	 3237.341365377977 1.2613352076768216 
perception 	 5418.969408419429 0.7254619828077636 
expectation 	 9140.112136099793 0.7254619828077636 
confidential 	 1254.6638110436218 1.5470169453391707 
technological 	 6042.520635423251 0.7254619828077636 
innovations 	 7527.982866261731 0.7254619828077636 
transferred 	 7129.049523682975 0.7254619828077636 
easily 	 6042.520635423251 0.7254619828077636 
distances 	 8696.502756087144 0.7254619828077636 
impacts 	 7762.135541146621 0.7254619828077636 
significant 	 4241.971893806538 0.7254619828077636 
development 	 2313.345573583321 0.7254619828077636 
national 	 755.2737993754849 1.2613352076768216 
superhighway 	 10518.088731052963 0.7254619828077636 
changing 	 1359.865322716725 1.2613352076768216 
deal 	 4418.799496007332 0.7254619828077636 
barriers 	 7527.982866261731 0.7254619828077636 
distance 	 7129.049523682975 0.7254619828077636 
time 	 1895.554738277973 0.7254619828077636 
location 	 6150.006271308559 0.7254619828077636 
disappearing 	 10518.088731052963 0.7254619828077636 
transactions 	 6956.07090622759 0.7254619828077636 
computerized 	 1881.9957165654328 1.3896454815564103 
relationships 	 5134.484931261769 0.7254619828077636 
field 	 4159.126573362209 0.7254619828077636 
remain 	 5006.182351240278 0.7254619828077636 
unaffected 	 10518.088731052963 0.7254619828077636 
changes 	 3286.5674455169087 0.7254619828077636 
absence 	 5843.554719811969 0.7254619828077636 
congressional 	 7129.049523682975 0.7254619828077636 
action 	 1334.3750006215055 1.2613352076768216 
collection 	 5751.072928729803 0.7254619828077636 
continue 	 4612.904773500398 0.7254619828077636 
occur 	 1917.024309576601 1.2613352076768216 
electronic 	 796.8706158963456 1.5987458583787977 
networked 	 5948.032663003068 1.064717816478797 
environments 	 7527.982866261731 0.7254619828077636 
protections 	 2428.0060240334833 1.3896454815564103 
revolution 	 4562.572971227629 0.7254619828077636 
hold 	 5069.2987634896635 0.7254619828077636 
promise 	 7129.049523682975 0.7254619828077636 
enhancing 	 3881.0677705733106 1.064717816478797 
nation's 	 7527.982866261731 0.7254619828077636 
paper 	 456.30737899731923 1.4799765169899313 
form 	 1532.0373140516929 1.064717816478797 
rules 	 922.5809547000796 1.4799765169899313 
useful 	 6042.520635423251 0.7254619828077636 
technologies 	 6796.946003372599 0.7254619828077636 
pose 	 7762.135541146621 0.7254619828077636 
potential 	 1019.8989920375437 1.3896454815564103 
risks 	 2050.0020904361863 1.2613352076768216 
individual's 	 3478.035453113795 1.064717816478797 
keep 	 4664.544040470079 0.7254619828077636 
forced 	 2875.5364643649013 1.064717816478797 
seat 	 4348.251378043572 1.064717816478797 
drive 	 6042.520635423251 0.7254619828077636 
lower 	 4465.578124858799 0.7254619828077636 
costs 	 2120.985946903269 1.064717816478797 
increase 	 2079.5632866811043 1.064717816478797 
efficiency 	 5496.940186168152 0.7254619828077636 
facilitate 	 7129.049523682975 0.7254619828077636 
research 	 760.5122983288653 1.2613352076768216 
automation 	 4348.251378043572 1.064717816478797 
held 	 1878.2541681542991 1.064717816478797 
hearings 	 7527.982866261731 0.7254619828077636 
fair 	 1859.3647704248062 1.2613352076768216 
practices 	 612.103747112259 1.5987458583787977 
sponsored 	 1940.5338852866553 1.3896454815564103 
craig 	 9140.112136099793 0.7254619828077636 
thomas 	 5751.072928729803 0.7254619828077636 
bill 	 2232.7890624293996 1.064717816478797 
approved 	 2748.470093084076 1.064717816478797 
full 	 1140.6192434826664 1.2613352076768216 
operations 	 4328.420296342739 0.7254619828077636 
ongoing 	 6384.158946193449 0.7254619828077636 
consideration 	 5843.554719811969 0.7254619828077636 
testifying 	 11896.065326006135 0.7254619828077636 
industry 	 3135.5074624447993 0.7254619828077636 
representatives 	 2600.9406079965124 1.064717816478797 
consumer 	 2386.014838177694 1.064717816478797 
advocates 	 6956.07090622759 0.7254619828077636 
specialists 	 8027.595949684172 0.7254619828077636 
including 	 581.8152412972602 1.2613352076768216 
rep 	 8696.502756087144 0.7254619828077636 
nydia 	 5948.032663003068 1.064717816478797 
velazquez 	 5948.032663003068 1.064717816478797 
nan 	 11896.065326006135 0.7254619828077636 
hunter 	 8027.595949684172 0.7254619828077636 
department 	 3823.9046210398533 0.7254619828077636 
human 	 1532.0373140516929 1.064717816478797 
services 	 1400.7699503707047 1.064717816478797 
alan 	 4013.797974842086 1.064717816478797 
westin 	 5948.032663003068 1.064717816478797 
columbia 	 3398.4730016862995 1.064717816478797 
university 	 1193.007419088847 1.3896454815564103 
john 	 2120.985946903269 1.064717816478797 
baker 	 8696.502756087144 0.7254619828077636 
equifax 	 5948.032663003068 1.064717816478797 
donald 	 8334.047501180761 0.7254619828077636 
lewers 	 11896.065326006135 0.7254619828077636 
association 	 643.0799009251748 1.5470169453391707 
fredric 	 11896.065326006135 0.7254619828077636 
entin 	 11896.065326006135 0.7254619828077636 
hospital 	 1668.727450413426 1.2613352076768216 
joel 	 8696.502756087144 0.7254619828077636 
gimpel 	 11896.065326006135 0.7254619828077636 
blue 	 2970.2747830904004 1.064717816478797 
cross 	 5418.969408419429 0.7254619828077636 
shield 	 9140.112136099793 0.7254619828077636 
representing 	 5343.941636389528 0.7254619828077636 
workgroup 	 5259.044365526482 1.064717816478797 
interchange 	 5948.032663003068 1.064717816478797 
kathleen 	 10518.088731052963 0.7254619828077636 
frawley 	 11896.065326006135 0.7254619828077636 
richard 	 5578.094311274419 0.7254619828077636 
barker 	 9712.024096133933 0.7254619828077636 
ibm 	 2050.0020904361863 1.2613352076768216 
corporation 	 2209.399748003666 1.064717816478797 
martin 	 6649.619354731 0.7254619828077636 
sepulveda 	 11896.065326006135 0.7254619828077636 
robert 	 2120.985946903269 1.064717816478797 
bolan 	 11896.065326006135 0.7254619828077636 
medic 	 11896.065326006135 0.7254619828077636 
alert 	 7129.049523682975 0.7254619828077636 
foundation 	 5069.2987634896635 0.7254619828077636 
international 	 2682.2240974056185 0.7254619828077636 
professor 	 3881.0677705733106 1.064717816478797 
paul 	 6150.006271308559 0.7254619828077636 
schwartz 	 8696.502756087144 0.7254619828077636 
arkansas 	 9712.024096133933 0.7254619828077636 
school 	 1845.6610842682462 1.064717816478797 
january 	 4612.904773500398 0.7254619828077636 
reintroduced 	 11896.065326006135 0.7254619828077636 
jim 	 6512.461526214941 0.7254619828077636 
mcdermott 	 11896.065326006135 0.7254619828077636 
introduced 	 3075.0031356542795 1.064717816478797 
aimed 	 5843.554719811969 0.7254619828077636 
testimony 	 6796.946003372599 0.7254619828077636 
outlines 	 6649.619354731 0.7254619828077636 
key 	 1159.5538649555942 1.2613352076768216 
embodied 	 8696.502756087144 0.7254619828077636 
conference 	 2232.7890624293996 1.064717816478797 
washington 	 4200.117716321248 0.7254619828077636 
office 	 1630.2900736805054 1.064717816478797 
affairs 	 4717.560515669416 0.7254619828077636 
panelists 	 10518.088731052963 0.7254619828077636 
cigna 	 11896.065326006135 0.7254619828077636 
computer 	 768.8174622500662 1.5470169453391707 
professionals 	 5751.072928729803 0.7254619828077636 
social 	 2551.510358810811 0.7254619828077636 
responsibility 	 3597.3834334536077 0.7254619828077636 
urged 	 7318.526161133972 0.7254619828077636 
policymakers 	 11896.065326006135 0.7254619828077636 
issue 	 1411.0705606840381 1.064717816478797 
associations 	 7527.982866261731 0.7254619828077636 
released 	 2831.351412369492 1.064717816478797 
prepared 	 5751.072928729803 0.7254619828077636 
assistance 	 2414.01668988259 1.064717816478797 
expert 	 7129.049523682975 0.7254619828077636 
majority 	 4945.008293810772 0.7254619828077636 
favored 	 9140.112136099793 0.7254619828077636 
enactment 	 8334.047501180761 0.7254619828077636 
governing 	 2875.5364643649013 1.064717816478797 
percent 	 1832.3133953893837 1.2613352076768216 
absolutely 	 9140.112136099793 0.7254619828077636 
essential 	 4885.660603069206 0.7254619828077636 
penalties 	 2376.349841227658 1.2613352076768216 
imposed 	 3075.0031356542795 1.064717816478797 
unauthorized 	 1523.3520226832986 1.5470169453391707 
disclosure 	 694.5039584317301 1.7445836534522028 
guaranteed 	 7129.049523682975 0.7254619828077636 
regulating 	 6649.619354731 0.7254619828077636 
third 	 673.4988022443762 1.5470169453391707 
party 	 725.6411512574215 1.4799765169899313 
buttressing 	 11896.065326006135 0.7254619828077636 
findings 	 5662.702824738984 0.7254619828077636 
revealed 	 6796.946003372599 0.7254619828077636 
nearly 	 6956.07090622759 0.7254619828077636 
believed 	 2970.2747830904004 1.064717816478797 
computers 	 6042.520635423251 0.7254619828077636 
easier 	 3564.5247618414874 1.064717816478797 
improperly 	 10518.088731052963 0.7254619828077636 
obtain 	 2671.970818194764 1.064717816478797 
victim 	 5751.072928729803 0.7254619828077636 
improper 	 10518.088731052963 0.7254619828077636 
studies 	 2129.7074131628633 0.7254619828077636 
determined 	 5843.554719811969 0.7254619828077636 
georgetown 	 10518.088731052963 0.7254619828077636 
larry 	 7129.049523682975 0.7254619828077636 
gostin 	 11896.065326006135 0.7254619828077636 
concluded 	 7318.526161133972 0.7254619828077636 
preemptive 	 11896.065326006135 0.7254619828077636 
statute 	 7318.526161133972 0.7254619828077636 
based 	 2445.9280260866817 0.7254619828077636 
databases 	 11896.065326006135 0.7254619828077636 
continued 	 4562.572971227629 0.7254619828077636 
grow 	 6512.461526214941 0.7254619828077636 
assessment 	 5201.881215993025 0.7254619828077636 
ota 	 1711.4949770872563 1.2613352076768216 
issued 	 5578.094311274419 0.7254619828077636 
report 	 627.1014924889599 1.4799765169899313 
entitled 	 3192.0794730967245 1.064717816478797 
addressed 	 6512.461526214941 0.7254619828077636 
computerizing 	 11896.065326006135 0.7254619828077636 
