term 	 tf-idf weight 	 BM25 ranking 
 hydrology 	 1529.4822119093885 1.5456082243436535 
gif 	 51.73356721961066 1.7663240874224853 
icons 	 1137.5318650941408 1.5029259012833986 
red 	 3817.27376707446 0.8609740508021263 
nrct_of_c 	 8957.952612188725 0.8609740508021263 
html 	 147.06127559099286 1.5029259012833986 
table 	 4904.001461138715 0.8609740508021263 
contents 	 3678.990906838331 0.8609740508021263 
blue 	 4473.3413986784 0.8609740508021263 
chapter2 	 8957.952612188725 0.8609740508021263 
previous 	 1699.3676141661879 1.2037495419586017 
section 	 1526.9095068297838 1.3078903727995603 
green 	 4024.0848237802434 0.8609740508021263 
chapter4 	 8957.952612188725 0.8609740508021263 
yellow 	 4330.662059511325 0.8609740508021263 
index 	 433.99047540038674 1.0627179348880342 
imaging 	 1820.050984150625 1.3078903727995603 
radar 	 393.69655086466594 1.7852867469592233 
home 	 668.5632144619749 0.8609740508021263 
page 	 734.839631507923 0.8609740508021263 
introduction 	 6144.019280000816 0.5485612828540866 
cryosphere 	 17915.90522437745 0.5485612828540866 
major 	 501.32485904352234 1.5029259012833986 
component 	 2315.533045309083 1.2037495419586017 
hydrosphere 	 17915.90522437745 0.5485612828540866 
interacts 	 17915.90522437745 0.5485612828540866 
significantly 	 11690.05724858802 0.5485612828540866 
global 	 1437.369904527971 1.3078903727995603 
climate 	 1014.9738562743772 1.451393741570949 
system 	 645.902507546558 1.3078903727995603 
geosphere 	 17915.90522437745 0.5485612828540866 
biosphere 	 17915.90522437745 0.5485612828540866 
percent 	 4139.2955023610275 0.8609740508021263 
earth's 	 13097.248114549751 0.5485612828540866 
land 	 566.4558713887293 1.6386837783146067 
surface 	 267.07707194420954 1.8630695255510399 
covered 	 1020.1455236926414 1.5029259012833986 
seasonally 	 17915.90522437745 0.5485612828540866 
snow 	 215.08343604975775 1.920598244356639 
permanently 	 12551.37737350865 0.5485612828540866 
ice 	 834.547298292447 1.6386837783146067 
play 	 2482.4538617822686 1.0627179348880342 
interactive 	 10736.606777619127 0.5485612828540866 
roles 	 3593.4247613199273 0.8609740508021263 
regional 	 1471.5963627353321 1.3078903727995603 
