term 	 tf-idf weight 	 BM25 ranking 
 aaa 	 199.88229351577792 1.9161771151133071 
industrial 	 97.8418532250086 1.9161771151133071 
robot 	 98.61073223539559 1.9433263181573377 
store 	 150.45511642527714 1.9161771151133071 
keep 	 232.28866197511965 1.8390978705635033 
simple 	 259.0474046193709 1.8390978705635033 
quote 	 227.58327501858136 1.9161771151133071 
system 	 35.59582957420911 1.9433263181573377 
previous 	 112.3830285921527 1.9161771151133071 
page 	 12.149152224329388 1.9571914740203122 
prevpage 	 523.7881209125973 1.8390978705635033 
gif 	 6.842515904798205 1.9656059433293966 
p0000533 	 296.20484589401593 1.9161771151133071 
htm 	 6.494995107786333 1.9826538202927309 
nextpage 	 455.1665500371627 1.8390978705635033 
p0000541 	 296.20484589401593 1.9161771151133071 
p0000523 	 261.89406045629863 1.9161771151133071 
home 	 14.737866451065578 1.9433263181573377 
homepage 	 295.8321967061867 1.8390978705635033 
index 	 21.525579691702546 1.9161771151133071 
mail 	 34.935685795119454 1.9656059433293966 
mail5 	 227.58327501858136 1.9161771151133071 
lowest 	 415.0255043344544 1.8390978705635033 
price 	 56.80889149991776 1.9161771151133071 
guaranteed 	 355.0180597809932 1.8390978705635033 
free 	 125.27830352981749 1.8390978705635033 
shipping 	 331.14301615612123 1.8390978705635033 
installation 	 346.40393345901987 1.8390978705635033 
training 	 213.37419353561143 1.8390978705635033 
appreciate 	 415.0255043344544 1.8390978705635033 
time 	 94.39633757018075 1.8390978705635033 
read 	 269.85813452390516 1.8390978705635033 
web 	 203.1589541483236 1.8390978705635033 
site 	 197.50027117816867 1.8390978705635033 
understand 	 243.29999985103188 1.8390978705635033 
committed 	 311.9215707264664 1.8390978705635033 
delivering 	 415.0255043344544 1.8390978705635033 
company 	 183.8233876685678 1.8390978705635033 
allow 	 240.4302337005799 1.8390978705635033 
robotic 	 346.40393345901987 1.8390978705635033 
money 	 187.06958012804387 1.8390978705635033 
mouth 	 483.647075209889 1.8390978705635033 
demonstrate 	 311.9215707264664 1.8390978705635033 
prices 	 273.74098512608 1.8390978705635033 
expertise 	 415.0255043344544 1.8390978705635033 
background 	 209.16079170815067 1.8390978705635033 
info 	 205.11941425064538 1.8390978705635033 
contact 	 159.83435439379673 1.8390978705635033 
proof's 	 592.4096917880319 1.8390978705635033 
pudding 	 592.4096917880319 1.8390978705635033 
check 	 262.52144528068663 1.8390978705635033 
send 	 104.61157695746859 1.8390978705635033 
email 	 331.14301615612123 1.8390978705635033 
reveals 	 324.31272187891307 1.8390978705635033 
secrets 	 346.40393345901987 1.8390978705635033 
phone 	 224.7660571843054 1.8390978705635033 
est 	 415.0255043344544 1.8390978705635033 
click 	 121.80426286850175 1.8390978705635033 
icon 	 433.0753384570559 1.8390978705635033 
modified 	 295.8321967061867 1.8390978705635033 
saturday 	 386.5449791617281 1.8390978705635033 
january 	 229.71708882119685 1.8390978705635033 
