term 	 tf-idf weight 	 BM25 ranking 
 newtau 	 170.98633972066781 1.9399946018893386 
gif 	 6.047678198685282 1.9695403653183248 
grand 	 39.02358776250587 1.9795899631679257 
rapids 	 69.81258994135055 1.9795899631679257 
mother 	 102.87948450373186 1.9399946018893386 
sorrows 	 209.43776982405168 1.9399946018893386 
fraternity 	 170.98633972066781 1.9399946018893386 
james 	 44.068506613030614 1.9695403653183248 
flickinger 	 209.43776982405168 1.9399946018893386 
sfo 	 160.9174671848555 1.9399946018893386 
minister 	 79.4627474894009 1.9399946018893386 
lake 	 99.69547226653143 1.9399946018893386 
michigan 	 110.2753027820841 1.9399946018893386 
hsme71a 	 104.71888491202584 1.9695403653183248 
prodigy 	 85.49316986033391 1.9695403653183248 
com 	 8.446866227493109 1.9695403653183248 
mailto 	 25.425431803079313 1.9399946018893386 
meet 	 72.51696463406655 1.9399946018893386 
wednesday 	 153.10744288885815 1.9399946018893386 
parish 	 160.9174671848555 1.9399946018893386 
school 	 64.98806634747346 1.9399946018893386 
bridge 	 132.534909617284 1.9399946018893386 
index 	 15.220106852718974 1.9399946018893386 
bluhome 	 170.98633972066781 1.9399946018893386 
newfrat 	 170.98633972066781 1.9399946018893386 
htm 	 22.96210391641633 1.9399946018893386 
