term 	 tf-idf weight 	 BM25 ranking 
 cst 	 740.7104740178144 1.7797983399694934 
gif 	 9.676285117896452 1.9517058907864953 
center 	 217.43672745814274 1.7797983399694934 
surgical 	 546.6292634610296 1.7797983399694934 
treatment 	 229.6183202366909 1.7797983399694934 
obesity 	 683.9453588826713 1.7797983399694934 
please 	 49.81882251629428 1.9517058907864953 
send 	 147.93556337419798 1.7797983399694934 
information 	 29.072564016629396 1.9399946018893386 
indicate 	 244.93207416294334 1.883484969183682 
full 	 240.9758965104225 1.7797983399694934 
address 	 149.36520752839922 1.883484969183682 
telephone 	 348.2400206908994 1.7797983399694934 
mail 	 247.0200005715517 1.7797983399694934 
email 	 234.14152657503524 1.883484969183682 
fax 	 166.11128576300763 1.883484969183682 
name 	 274.20184259328573 1.7797983399694934 
home 	 20.84142730453718 1.9207850235521318 
city 	 233.3027434011232 1.7797983399694934 
stat 	 683.9453588826713 1.7797983399694934 
prov 	 837.7510792962067 1.7797983399694934 
postal 	 683.9453588826713 1.7797983399694934 
code 	 314.4773327365351 1.7797983399694934 
country 	 227.8118435596638 1.7797983399694934 
phone 	 317.8509899576036 1.7797983399694934 
insurance 	 324.85244883805615 1.7797983399694934 
friend 	 433.0990331907436 1.7797983399694934 
family 	 119.50891131697946 1.883484969183682 
help 	 240.9758965104225 1.7797983399694934 
answering 	 586.904753604279 1.7797983399694934 
questions 	 226.02837995082368 1.7797983399694934 
learn 	 381.6175639731992 1.7797983399694934 
website 	 212.7648111064525 1.883484969183682 
helpful 	 502.0457411044348 1.7797983399694934 
considering 	 418.34856099864794 1.7797983399694934 
procedure 	 381.6175639731992 1.7797983399694934 
provide 	 237.0867575354319 1.7797983399694934 
following 	 206.23074838384764 1.7797983399694934 
male 	 425.529622212905 1.7797983399694934 
female 	 371.2424478716781 1.7797983399694934 
age 	 271.7239017993696 1.7797983399694934 
height 	 546.6292634610296 1.7797983399694934 
weight 	 65.5177215916996 1.9652645624166065 
struggling 	 612.4297715554326 1.7797983399694934 
deceased 	 68.04775239504806 1.9728788747514427 
father 	 433.0990331907436 1.7797983399694934 
mother 	 411.51793801492744 1.7797983399694934 
brother 	 612.4297715554326 1.7797983399694934 
sister 	 586.904753604279 1.7797983399694934 
mat 	 321.834934369711 1.883484969183682 
grandmother 	 370.3552370089072 1.883484969183682 
grandfather 	 418.87553964810337 1.883484969183682 
pat 	 321.834934369711 1.883484969183682 
types 	 138.36221668183035 1.883484969183682 
loss 	 110.7408571753384 1.9207850235521318 
efforts 	 132.2714202925563 1.883484969183682 
tried 	 216.5495165953718 1.883484969183682 
gain 	 405.0051358260425 1.7797983399694934 
diet 	 141.33091460711572 1.9399946018893386 
programs 	 227.8118435596638 1.7797983399694934 
weightwatchers 	 837.7510792962067 1.7797983399694934 
jenny 	 837.7510792962067 1.7797983399694934 
craig 	 643.669868739422 1.7797983399694934 
nutrisystem 	 837.7510792962067 1.7797983399694934 
lyndora 	 837.7510792962067 1.7797983399694934 
centers 	 418.34856099864794 1.7797983399694934 
pills 	 837.7510792962067 1.7797983399694934 
shots 	 612.4297715554326 1.7797983399694934 
acupuncture 	 546.6292634610296 1.7797983399694934 
hypnosis 	 740.7104740178144 1.7797983399694934 
jaw 	 837.7510792962067 1.7797983399694934 
teeth 	 643.669868739422 1.7797983399694934 
wiring 	 837.7510792962067 1.7797983399694934 
med 	 183.5550424715398 1.7797983399694934 
supervised 	 586.904753604279 1.7797983399694934 
diets 	 683.9453588826713 1.7797983399694934 
medifast 	 837.7510792962067 1.7797983399694934 
optifast 	 837.7510792962067 1.7797983399694934 
homb 	 837.7510792962067 1.7797983399694934 
index 	 60.880427410875896 1.7797983399694934 
htm 	 22.96210391641633 1.9399946018893386 
introduction 	 287.295490714801 1.7797983399694934 
intb 	 837.7510792962067 1.7797983399694934 
intro 	 612.4297715554326 1.7797983399694934 
clinical 	 449.5886581826373 1.7797983399694934 
info 	 290.0678585362662 1.7797983399694934 
clib 	 837.7510792962067 1.7797983399694934 
clinic 	 530.139638469136 1.7797983399694934 
confidential 	 530.139638469136 1.7797983399694934 
contact 	 226.02837995082368 1.7797983399694934 
conb 	 837.7510792962067 1.7797983399694934 
request 	 381.6175639731992 1.7797983399694934 
