term 	 tf-idf weight 	 BM25 ranking 
 central 	 500.67004468373153 1.5963494650725263 
europe 	 671.0401818838567 1.5516130759227629 
republics 	 1540.5069692175612 1.4957244681284965 
soviet 	 477.5804614569253 1.6893360178850079 
union 	 428.74398714002695 1.6634965940774662 
david 	 960.6934441640674 1.4957244681284965 
satter 	 3424.3075366232447 1.3282708462615125 
art 	 2590.932872380975 0.6616233284706579 
euromap 	 13697.230146492979 0.6616233284706579 
gif 	 791.0363083880349 0.6616233284706579 
fall 	 2371.3047435339763 0.994315493696578 
communism 	 7498.50323617002 0.6616233284706579 
press 	 232.79522763753144 1.7755220737874908 
freedom 	 2201.4380476761125 0.994315493696578 
spread 	 7498.50323617002 0.6616233284706579 
bloc 	 8009.278825128246 0.6616233284706579 
victory 	 7212.0048019483 0.6616233284706579 
free 	 362.07327876231346 1.5963494650725263 
expression 	 6239.447170961807 0.6616233284706579 
people's 	 7498.50323617002 0.6616233284706579 
know 	 1423.4310845740513 1.3282708462615125 
heavily 	 4213.306434314804 0.994315493696578 
qualified 	 8667.783088970373 0.6616233284706579 
nearly 	 4004.639412564123 0.994315493696578 
governments 	 2882.080332492202 0.994315493696578 
sought 	 8937.388457587835 0.6616233284706579 
influence 	 3939.955907945408 0.6616233284706579 
newly 	 3419.9994861639466 0.994315493696578 
independent 	 1081.3188608916475 1.3282708462615125 
media 	 660.7141032903421 1.194536662673621 
journalists 	 249.5778868384723 1.85028472794105 
risk 	 1357.9597611125873 1.3282708462615125 
hazards 	 8937.388457587835 0.6616233284706579 
war 	 1892.0907652887836 0.994315493696578 
growing 	 2394.426742058877 0.994315493696578 
pressure 	 823.4515235692006 1.5516130759227629 
organized 	 1265.8446766739335 1.423919682599957 
crime 	 463.25320281197594 1.7114901151568864 
democratic 	 2394.426742058877 0.994315493696578 
institution 	 6422.664928826532 0.6616233284706579 
russia 	 326.17469027909675 1.7475023801905902 
received 	 1536.4106521240574 1.194536662673621 
repeated 	 2002.3197062820616 1.3282708462615125 
ominous 	 13697.230146492979 0.6616233284706579 
reminders 	 13697.230146492979 0.6616233284706579 
physically 	 7498.50323617002 0.6616233284706579 
politically 	 8937.388457587835 0.6616233284706579 
vulnerable 	 11182.506617731677 0.6616233284706579 
rely 	 8426.612868629609 0.6616233284706579 
protection 	 2304.615978186086 0.994315493696578 
law 	 478.65382226674626 1.3282708462615125 
vladislav 	 6055.308125095632 0.994315493696578 
listyev 	 2018.4360416985442 1.4957244681284965 
popular 	 2598.4318429034092 0.994315493696578 
television 	 960.6934441640674 1.4957244681284965 
personality 	 6728.318286544063 0.6616233284706579 
country 	 532.1033774572147 1.5516130759227629 
murdered 	 1368.074644509585 1.4957244681284965 
hallway 	 6055.308125095632 0.994315493696578 
apartment 	 1733.5566177940746 1.423919682599957 
building 	 754.0740809159754 1.4957244681284965 
march 	 1661.2599024695724 1.194536662673621 
contract 	 3211.332464413266 0.994315493696578 
killing 	 1601.8557650256494 1.423919682599957 
natalya 	 2631.0005884723873 1.3282708462615125 
alyakina 	 1052.400235388955 1.6634965940774662 
lance 	 2631.0005884723873 1.3282708462615125 
correspondent 	 2106.653217157402 1.3282708462615125 
german 	 1373.6388240917358 1.3282708462615125 
news 	 1392.5155895608966 1.194536662673621 
outlets 	 5006.613382465662 0.994315493696578 
shot 	 1368.074644509585 1.4957244681284965 
dead 	 1531.2855838007304 1.423919682599957 
june 	 684.1219263025364 1.5516130759227629 
soldier 	 1848.6083630610735 1.423919682599957 
