term 	 tf-idf weight 	 BM25 ranking 
 abb 	 165.5151091044228 1.9383330241067307 
irb6000 	 190.46840760458082 1.9383330241067307 
manipulating 	 215.42170610473886 1.9383330241067307 
front 	 87.42917589111997 1.9383330241067307 
pedastal 	 215.42170610473886 1.9383330241067307 
glue 	 157.48194125711126 1.9383330241067307 
dispenser 	 215.42170610473886 1.9383330241067307 
gcell1 	 215.42170610473886 1.9383330241067307 
gif 	 3.110234502181002 1.9842183024405757 
image 	 21.71458812949864 1.9790129384969846 
line_col 	 72.6844703693738 1.9686837169351588 
home 	 8.03883624603577 1.9686837169351588 
index 	 7.827483524255472 1.9686837169351588 
htm 	 11.809082014156969 1.9686837169351588 
return 	 54.64901383317384 1.9383330241067307 
page 	 17.67149414447911 1.9383330241067307 
workspace 	 120.41564223858956 1.9383330241067307 
robotrak 	 145.3689407387476 1.9383330241067307 
registered 	 105.81889834669562 1.9383330241067307 
trademarks 	 140.56181060426476 1.9383330241067307 
robot 	 53.78767212839759 1.9686837169351588 
simulations 	 62.98253335618543 1.9686837169351588 
copyright 	 28.077465369974217 1.9383330241067307 
revision 	 129.09747628399754 1.9383330241067307 
april 	 75.3161753727563 1.9383330241067307 
