term 	 tf-idf weight 	 BM25 ranking 
 obtain 	 78.8509161640306 1.9494642802898252 
sir 	 61.72941390746339 1.961857263889738 
software 	 22.44705960271396 1.9859595142416324 
wish 	 272.2336780056103 1.8556858598084127 
tape 	 184.45577970420194 1.925142169025794 
ceos_reader 	 526.5863927004727 1.8556858598084127 
html 	 5.763256402586227 1.9744088230080328 
data 	 73.91433224925291 1.925142169025794 
decompression 	 465.5894408111976 1.8556858598084127 
dcomp 	 526.5863927004727 1.8556858598084127 
dcomp_toc 	 526.5863927004727 1.8556858598084127 
airsar 	 368.9115594084039 1.8556858598084127 
conversion 	 368.9115594084039 1.8556858598084127 
cvert 	 526.5863927004727 1.8556858598084127 
cvert_toc 	 526.5863927004727 1.8556858598084127 
steps 	 239.87389735458237 1.8556858598084127 
print 	 258.6684181808115 1.8556858598084127 
licenses 	 355.3462995836052 1.8556858598084127 
license 	 153.95730375956438 1.925142169025794 
fill 	 323.95890451699677 1.8556858598084127 
sign 	 236.55274849209178 1.8556858598084127 
fax 	 208.825616387781 1.8556858598084127 
portions 	 384.95585640627195 1.8556858598084127 
attention 	 187.7734037499876 1.8556858598084127 
ellen 	 67.32166691281545 1.9494642802898252 
leary 	 232.7947204055988 1.925142169025794 
radar 	 127.28732840247048 1.925142169025794 
center 	 136.67451440226114 1.8556858598084127 
jet 	 258.6684181808115 1.8556858598084127 
propulsion 	 315.57160869421614 1.8556858598084127 
laboratory 	 282.598585143372 1.8556858598084127 
containing 	 300.8708492438575 1.8556858598084127 
manuals 	 232.7947204055988 1.925142169025794 
mailed 	 526.5863927004727 1.8556858598084127 
signed 	 191.60009360068463 1.8556858598084127 
returned 	 288.2779750034783 1.8556858598084127 
agreement 	 182.32836822279592 1.8556858598084127 
version 	 199.79205083049368 1.8556858598084127 
ftp 	 254.57465680494096 1.8556858598084127 
contact 	 142.0749816833749 1.8556858598084127 
instructions 	 323.95890451699677 1.8556858598084127 
email 	 294.34934769433 1.8556858598084127 
oleary 	 526.5863927004727 1.8556858598084127 
jpl 	 123.45882781492678 1.925142169025794 
nasa 	 113.64051155710153 1.925142169025794 
gov 	 102.09648392053194 1.925142169025794 
gif 	 15.205590899551567 1.925142169025794 
icons 	 267.475762533826 1.8556858598084127 
yellow 	 254.57465680494096 1.8556858598084127 
index 	 38.26769722969342 1.8556858598084127 
imaging 	 267.475762533826 1.8556858598084127 
home 	 39.300977202841544 1.8556858598084127 
page 	 43.19698568650449 1.8556858598084127 
updated 	 94.27276275570017 1.8556858598084127 
bruce 	 246.91765562985356 1.8556858598084127 
chapman 	 282.598585143372 1.8556858598084127 
