term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 369.2043910767197 1.8413423850390676 
communications 	 104.449936007736 1.8413423850390676 
images 	 123.91592439079562 1.891355373814561 
logosm 	 853.0271818093526 1.7060068926886234 
gif 	 22.462804737973904 1.891355373814561 
index 	 42.39886908971714 1.8413423850390676 
htm 	 63.965860910016914 1.8413423850390676 
professional 	 392.6606515913384 1.7060068926886234 
public 	 210.33899293850837 1.7060068926886234 
relations 	 346.95251395276375 1.7060068926886234 
firm 	 531.5387498198132 1.7060068926886234 
sacramento 	 817.4744782345314 1.7060068926886234 
blball 	 426.5135909046763 1.8413423850390676 
san 	 119.80681810846268 1.9173947026545413 
diego 	 341.15538901267104 1.8413423850390676 
irvine 	 853.0271818093526 1.7060068926886234 
political 	 184.66181726334443 1.7060068926886234 
clients 	 174.72646195438597 1.891355373814561 
measure 	 547.1470778161528 1.7060068926886234 
issue 	 276.81967739777406 1.7060068926886234 
jurisdiction 	 717.8634816001633 1.7060068926886234 
deep 	 717.8634816001633 1.7060068926886234 
pit 	 896.5401743156235 1.7060068926886234 
mining 	 787.415095668216 1.7060068926886234 
yolo 	 1166.8675747340021 1.7060068926886234 
county 	 92.54771635367567 1.9333653244045248 
vote 	 485.04860024803844 1.7060068926886234 
taxes 	 582.6997813909738 1.7060068926886234 
california 	 100.72681706197636 1.9333653244045248 
oregon 	 448.27008715781176 1.8413423850390676 
tobacco 	 761.3764741064341 1.7060068926886234 
initiative 	 307.19548632152 1.8413423850390676 
transient 	 952.6381784437208 1.7060068926886234 
occupancy 	 952.6381784437208 1.7060068926886234 
tax 	 231.36929088418918 1.8413423850390676 
anaheim 	 1166.8675747340021 1.7060068926886234 
international 	 263.0954220292232 1.7060068926886234 
airport 	 817.4744782345314 1.7060068926886234 
land 	 73.78683695444369 1.944161036066496 
zoning 	 343.90129150827096 1.891355373814561 
oceanside 	 1166.8675747340021 1.7060068926886234 
school 	 362.0763696502093 1.7060068926886234 
voucher 	 1031.7038745248128 1.7060068926886234 
alcohol 	 652.2513954590268 1.7060068926886234 
excise 	 952.6381784437208 1.7060068926886234 
insurance 	 452.4730537387211 1.7060068926886234 
rate 	 420.28250241862855 1.7060068926886234 
rollback 	 1166.8675747340021 1.7060068926886234 
arizona 	 111.11707500483374 1.944161036066496 
king 	 510.24488788663973 1.7060068926886234 
holiday 	 761.3764741064341 1.7060068926886234 
maricopa 	 448.27008715781176 1.8413423850390676 
road 	 517.0876952498373 1.7060068926886234 
district 	 245.52453684402772 1.8413423850390676 
pinal 	 952.6381784437208 1.7060068926886234 
scottsdale 	 583.4337873670011 1.8413423850390676 
stadium 	 1031.7038745248128 1.7060068926886234 
official 	 442.7210217266622 1.7060068926886234 
english 	 433.43355217375745 1.7060068926886234 
container 	 476.3190892218604 1.8413423850390676 
deposits 	 408.7372391172657 1.8413423850390676 
mercer 	 1031.7038745248128 1.7060068926886234 
referendum 	 761.3764741064341 1.7060068926886234 
indian 	 603.24508194425 1.7060068926886234 
growth 	 358.9563030876533 1.7060068926886234 
control 	 274.79893392584245 1.7060068926886234 
riverside 	 1031.7038745248128 1.7060068926886234 
restriction 	 787.415095668216 1.7060068926886234 
clemente 	 1166.8675747340021 1.7060068926886234 
charter 	 787.415095668216 1.7060068926886234 
government 	 230.08347101101708 1.7060068926886234 
bullhead 	 1166.8675747340021 1.7060068926886234 
city 	 324.9573925944216 1.7060068926886234 
tort 	 666.7024500290024 1.7060068926886234 
reform 	 99.09376240265595 1.9173947026545413 
