term 	 tf-idf weight 	 BM25 ranking 
 supreme 	 10279.141669592387 0.46162058904073683 
court 	 82.63884120534435 1.9236811037365105 
united 	 577.7029936789226 1.4595506950434798 
october 	 2709.205669437006 0.9474837570748075 
term 	 7385.822488709147 0.46162058904073683 
janet 	 19951.56569657984 0.46162058904073683 
reno 	 11282.711857235698 0.7501084303501454 
attorney 	 10580.982720229293 0.46162058904073683 
appellants 	 22565.423714471395 0.46162058904073683 
american 	 321.6195852830656 1.5919118744426424 
civil 	 6438.115779661851 0.46162058904073683 
liberties 	 13882.37532879085 0.46162058904073683 
union 	 7063.318372673838 0.46162058904073683 
appellees 	 981.1053788900607 1.7468865858278082 
appeal 	 2499.9201266501755 1.0910237895669315 
district 	 172.65697500024774 1.8857392081439321 
eastern 	 8470.671583924814 0.46162058904073683 
pennsylvania 	 11268.517310899295 0.46162058904073683 
response 	 2736.8331551825063 0.9474837570748075 
library 	 1644.5585232654005 1.2858204966192934 
association 	 665.3706712243006 1.5349662823553567 
appellants' 	 11282.711857235698 0.7501084303501454 
jurisdictional 	 2493.94571207248 1.4118607475612985 
statement 	 951.282605658828 1.4595506950434798 
bruce 	 5290.491360114646 0.7501084303501454 
ennis 	 11282.711857235698 0.7501084303501454 
ann 	 6941.187664395425 0.7501084303501454 
kappler 	 11282.711857235698 0.7501084303501454 
donald 	 7904.3493780062 0.7501084303501454 
verrilli 	 11282.711857235698 0.7501084303501454 
john 	 4023.258554211382 0.7501084303501454 
morris 	 8668.853839344145 0.7501084303501454 
jenner 	 11282.711857235698 0.7501084303501454 
block 	 2466.8377848981004 1.0910237895669315 
street 	 4023.258554211382 0.7501084303501454 
washington 	 3983.5623511688696 0.7501084303501454 
counsel 	 2776.47506575817 1.2001110268999797 
assocation 	 11282.711857235698 0.7501084303501454 
record 	 951.282605658828 1.4595506950434798 
pursuant 	 19951.56569657984 0.46162058904073683 
rule 	 3944.684685148111 0.7501084303501454 
rules 	 8750.132746916499 0.46162058904073683 
respectfully 	 8248.116673341201 0.7501084303501454 
submit 	 5832.9159077224795 0.7501084303501454 
government's 	 336.3562251255939 1.8058657931091808 
introduction 	 7738.5092534679625 0.46162058904073683 
century 	 3761.482437438758 0.7501084303501454 
mass 	 2134.208794615259 0.7501084303501454 
media 	 1632.7345239239057 0.7501084303501454 
characterized 	 6446.49984374197 0.7501084303501454 
limited 	 995.8905877922174 1.4118607475612985 
speakers 	 613.9523660706639 1.7260820844216453 
transmitting 	 22565.423714471395 0.46162058904073683 
programming 	 12353.366406114961 0.46162058904073683 
information 	 447.4801588028957 1.3549397989571486 
essentially 	 3960.4587313451343 0.9474837570748075 
passive 	 14723.849660796734 0.46162058904073683 
audiences 	 17337.70767868829 0.46162058904073683 
communications 	 336.65017836339524 1.565296093249458 
medium 	 1458.2289769306199 1.4118607475612985 
internet 	 68.48509066412846 1.8895269071025091 
cyberspace 	 19951.56569657984 0.46162058904073683 
changing 	 7738.5092534679625 0.46162058904073683 
allow 	 1831.6412349189634 1.2001110268999797 
hundreds 	 11084.529601816366 0.46162058904073683 
millions 	 11665.831815444959 0.46162058904073683 
individuals 	 2140.385862732363 1.0910237895669315 
engage 	 2776.47506575817 1.2001110268999797 
interactive 	 2704.592128149748 1.2001110268999797 
communication 	 386.14659067266047 1.7561470938845098 
national 	 1432.6647371453491 0.9474837570748075 
global 	 3017.324599184468 0.9474837570748075 
scale 	 11084.529601816366 0.46162058904073683 
public 	 1016.9081312450194 1.0910237895669315 
square 	 11881.376194035403 0.46162058904073683 
past 	 6490.857898148595 0.46162058904073683 
pamphleteering 	 22565.423714471395 0.46162058904073683 
soap 	 18422.556773903954 0.46162058904073683 
boxes 	 15227.396542383809 0.46162058904073683 
vigorous 	 19951.56569657984 0.46162058904073683 
debate 	 10909.102622857186 0.46162058904073683 
replaced 	 14723.849660796734 0.46162058904073683 
enables 	 4507.653546916247 0.9474837570748075 
average 	 5730.972162017374 0.7501084303501454 
citizens 	 2374.0334062534066 1.0910237895669315 
participate 	 5542.264800908183 0.7501084303501454 
discourse 	 8668.853839344145 0.7501084303501454 
publish 	 4907.949886932244 0.9474837570748075 
newspaper 	 2685.368756550643 1.0910237895669315 
distribute 	 15808.6987560124 0.46162058904073683 
electronic 	 5290.491360114646 0.7501084303501454 
pamphlet 	 13882.37532879085 0.46162058904073683 
