term 	 tf-idf weight 	 BM25 ranking 
 lancaster 	 184.45577970420194 1.925142169025794 
county 	 130.51601024236314 1.9072951715792936 
solid 	 809.8972612924919 1.674450677451218 
waste 	 78.33215678084612 1.952547824338935 
management 	 366.6185967731936 1.674450677451218 
authority 	 59.87502925021394 1.952547824338935 
pennsylvania 	 657.4048815693038 1.674450677451218 
jack 	 444.1828744795065 1.8228038141610874 
lausch 	 658.232990875591 1.8228038141610874 
transfer 	 50.99898152404088 1.9652645624166067 
station 	 86.90190004002538 1.9459521341604913 
authority's 	 962.3896410156799 1.674450677451218 
facilities 	 568.2025577855077 1.674450677451218 
located 	 291.6904947563185 1.8228038141610874 
city 	 366.6185967731936 1.674450677451218 
limits 	 680.5841950140257 1.674450677451218 
harrisburg 	 1163.973602027994 1.674450677451218 
pike 	 962.3896410156799 1.674450677451218 
built 	 583.380989512637 1.674450677451218 
expanded 	 693.1590460588143 1.674450677451218 
completely 	 752.1771231096437 1.674450677451218 
renovated 	 1163.973602027994 1.674450677451218 
serves 	 657.4048815693038 1.674450677451218 
central 	 384.96255073978483 1.674450677451218 
drop 	 706.49646285843 1.674450677451218 
trash 	 505.740611152403 1.8228038141610874 
haulers 	 537.3856391220988 1.8228038141610874 
collect 	 706.49646285843 1.674450677451218 
refuse 	 376.08856155482187 1.8228038141610874 
square 	 693.1590460588143 1.674450677451218 
miles 	 668.689406334565 1.674450677451218 
trnstn 	 1163.973602027994 1.674450677451218 
jpg 	 583.380989512637 1.674450677451218 
compacted 	 658.232990875591 1.8228038141610874 
trailers 	 358.2570927480659 1.878274321791182 
trucked 	 1316.465981751182 1.674450677451218 
frey 	 337.1604074349353 1.878274321791182 
farm 	 219.13496052310128 1.878274321791182 
landfill 	 337.1604074349353 1.878274321791182 
resource 	 152.07832507004443 1.9072951715792936 
recovery 	 180.1737343771739 1.9072951715792936 
facility 	 88.18487701066198 1.9459521341604913 
day 	 152.76980736078605 1.8228038141610874 
commercial 	 504.9125018461159 1.674450677451218 
residents 	 657.4048815693038 1.674450677451218 
pass 	 769.7865187978219 1.674450677451218 
station's 	 1163.973602027994 1.674450677451218 
electronic 	 617.2941390746339 1.674450677451218 
scales 	 788.9290217355405 1.674450677451218 
record 	 499.4801270762342 1.674450677451218 
computer 	 510.48241960265966 1.674450677451218 
amount 	 522.0640409694525 1.674450677451218 
contained 	 752.1771231096437 1.674450677451218 
vehicle 	 591.3818712302294 1.674450677451218 
deposited 	 1163.973602027994 1.674450677451218 
bays 	 1163.973602027994 1.674450677451218 
haul 	 1074.7712782441977 1.674450677451218 
approximately 	 608.3133002801777 1.674450677451218 
tons 	 922.2788985210098 1.674450677451218 
recycling 	 222.09143723975325 1.9072951715792936 
center 	 341.6862860056529 1.674450677451218 
addition 	 489.00195629859815 1.674450677451218 
centrally 	 1074.7712782441977 1.674450677451218 
provides 	 391.4336054851694 1.674450677451218 
compliance 	 735.8733692358251 1.674450677451218 
officers 	 591.3818712302294 1.674450677451218 
opportunity 	 510.48241960265966 1.674450677451218 
inspect 	 1011.481222304806 1.674450677451218 
load 	 858.988842581618 1.674450677451218 
materials 	 174.0213469898175 1.878274321791182 
acceptable 	 706.49646285843 1.674450677451218 
dispatch 	 1163.973602027994 1.674450677451218 
appropriate 	 528.0918152908376 1.674450677451218 
disposal 	 788.9290217355405 1.674450677451218 
site 	 219.44474575352075 1.8228038141610874 
combustible 	 1316.465981751182 1.674450677451218 
noncombustible 	 1316.465981751182 1.674450677451218 
items 	 720.6949375086956 1.674450677451218 
directed 	 657.4048815693038 1.674450677451218 
sends 	 858.988842581618 1.674450677451218 
recyclables 	 1316.465981751182 1.674450677451218 
various 	 268.78771609567553 1.674450677451218 
markets 	 657.4048815693038 1.674450677451218 
household 	 404.94863064624593 1.8228038141610874 
hazardous 	 429.494421290809 1.8228038141610874 
collects 	 1074.7712782441977 1.674450677451218 
wastes 	 888.365748959013 1.674450677451218 
generated 	 858.988842581618 1.674450677451218 
homes 	 693.1590460588143 1.674450677451218 
requires 	 560.9887967644497 1.674450677451218 
separate 	 568.2025577855077 1.674450677451218 
delivery 	 735.8733692358251 1.674450677451218 
disposed 	 1163.973602027994 1.674450677451218 
methods 	 366.6185967731936 1.674450677451218 
landfilling 	 1316.465981751182 1.674450677451218 
example 	 388.1742866124384 1.674450677451218 
tires 	 658.232990875591 1.8228038141610874 
white 	 232.40087967572296 1.8228038141610874 
appliances 	 1011.481222304806 1.674450677451218 
delivered 	 858.988842581618 1.674450677451218 
separately 	 962.3896410156799 1.674450677451218 
sent 	 626.657254246769 1.674450677451218 
chlorofluoro 	 1316.465981751182 1.674450677451218 
carbon 	 858.988842581618 1.674450677451218 
gas 	 680.5841950140257 1.674450677451218 
removal 	 769.7865187978219 1.674450677451218 
centers 	 657.4048815693038 1.674450677451218 
includes 	 150.5697340230524 1.8228038141610874 
maintenance 	 280.49439838222486 1.8228038141610874 
mechanics 	 888.365748959013 1.674450677451218 
perform 	 657.4048815693038 1.674450677451218 
repair 	 769.7865187978219 1.674450677451218 
inspections 	 1074.7712782441977 1.674450677451218 
vehicles 	 646.6710454520288 1.674450677451218 
equipment 	 547.2343182285562 1.674450677451218 
houses 	 833.0765747372136 1.674450677451218 
tire 	 1074.7712782441977 1.674450677451218 
changing 	 451.4643425518302 1.674450677451218 
welding 	 962.3896410156799 1.674450677451218 
shop 	 693.1590460588143 1.674450677451218 
wash 	 922.2788985210098 1.674450677451218 
bay 	 318.2183210061762 1.8228038141610874 
paint 	 1011.481222304806 1.674450677451218 
offices 	 516.197026611377 1.674450677451218 
convenience 	 1011.481222304806 1.674450677451218 
employees 	 547.2343182285562 1.674450677451218 
complex 	 499.4801270762342 1.674450677451218 
lunchroom 	 1316.465981751182 1.674450677451218 
locker 	 1163.973602027994 1.674450677451218 
information 	 182.7418309616705 1.674450677451218 
questions 	 355.1874542084372 1.674450677451218 
please 	 391.4336054851694 1.674450677451218 
contact 	 355.1874542084372 1.674450677451218 
office 	 360.8287889433714 1.674450677451218 
recycl01 	 1074.7712782441977 1.674450677451218 
gif 	 76.02795449775783 1.674450677451218 
return 	 333.96619564717344 1.674450677451218 
lcswma 	 1011.481222304806 1.674450677451218 
home 	 98.25244300710385 1.674450677451218 
page 	 107.99246421626123 1.674450677451218 
index 	 95.66924307423355 1.674450677451218 
html 	 86.4488460387934 1.674450677451218 
