term 	 tf-idf weight 	 BM25 ranking 
 airsar 	 67.07482898334617 1.9721147894341744 
images 	 30.502381388503537 1.9721147894341744 
death 	 43.42917625899728 1.9584617597949245 
valley 	 80.27709482572637 1.9584617597949245 
desc 	 253.95787680610778 1.9186138385516542 
airsdesc 	 287.2289414729852 1.9186138385516542 
html 	 9.430783204232007 1.9584617597949245 
cmdesc 	 287.2289414729852 1.9186138385516542 
gif 	 2.7646528908275574 1.9859595142416324 
thumb 	 84.65262560203593 1.9721147894341744 
dvac8 	 287.2289414729852 1.9186138385516542 
cm4278 	 95.74298049099505 1.9721147894341744 
band 	 49.49703236465641 1.9721147894341744 
jpeg 	 60.58738725361554 1.9721147894341744 
cm4278c 	 287.2289414729852 1.9186138385516542 
jpg 	 42.427708328191784 1.9721147894341744 
dval8 	 287.2289414729852 1.9186138385516542 
cm4278l 	 287.2289414729852 1.9186138385516542 
dvap8 	 287.2289414729852 1.9186138385516542 
cm4278p 	 287.2289414729852 1.9186138385516542 
updated 	 51.42150695765464 1.9186138385516542 
bruce 	 134.68235761628375 1.9186138385516542 
chapman 	 154.14468280547564 1.9186138385516542 
jpl 	 134.68235761628375 1.9186138385516542 
nasa 	 123.97146715320167 1.9186138385516542 
gov 	 111.37798245876212 1.9186138385516542 
