term 	 tf-idf weight 	 BM25 ranking 
 ruslogo 	 1142.9318296112535 1.7111665971504049 
jpeg 	 723.2619353400355 1.7111665971504049 
conclusion 	 453.2465082962065 1.7111665971504049 
presidential 	 415.8592940651223 1.7111665971504049 
race 	 487.0402735545904 1.7111665971504049 
close 	 224.07643655175684 1.844343607171193 
winner 	 878.1496066373543 1.7111665971504049 
tempted 	 1010.5407181243039 1.7111665971504049 
crack 	 800.7057709886949 1.7111665971504049 
press 	 155.40022185677066 1.844343607171193 
control 	 269.16203271710725 1.7111665971504049 
opposition 	 214.51846625956503 1.844343607171193 
rule 	 399.5941526721237 1.7111665971504049 
zyuganov 	 625.6942412007312 1.7111665971504049 
filing 	 668.3146595017454 1.7111665971504049 
formal 	 590.8708238530859 1.7111665971504049 
complaints 	 835.5291883363402 1.7111665971504049 
central 	 334.2174872331768 1.7111665971504049 
electoral 	 561.4280440060795 1.7111665971504049 
commission 	 429.03693251913006 1.7111665971504049 
unfair 	 745.7584951504048 1.7111665971504049 
media 	 165.39501143965313 1.7111665971504049 
coverage 	 229.23985618306818 1.844343607171193 
lack 	 415.8592940651223 1.7111665971504049 
television 	 120.2440680441264 1.9190205617736937 
access 	 411.6613228818362 1.7111665971504049 
revenge 	 933.0968824756444 1.7111665971504049 
mind 	 370.7090374548543 1.7111665971504049 
loses 	 771.2629911416885 1.7111665971504049 
fending 	 1142.9318296112535 1.7111665971504049 
angry 	 835.5291883363402 1.7111665971504049 
charges 	 487.0402735545904 1.7111665971504049 
election 	 458.47971236613637 1.7111665971504049 
fraud 	 625.6942412007312 1.7111665971504049 
yeltsin 	 253.2403840838947 1.844343607171193 
inclined 	 1142.9318296112535 1.7111665971504049 
limit 	 561.4280440060795 1.7111665971504049 
communist 	 203.7768188423161 1.844343607171193 
temporarily 	 835.5291883363402 1.7111665971504049 
newspapers 	 580.5439845904633 1.7111665971504049 
suppressing 	 1142.9318296112535 1.7111665971504049 
parliamentary 	 513.4269882044265 1.7111665971504049 
rebellion 	 684.9338325067646 1.7111665971504049 
faced 	 703.1380768493907 1.7111665971504049 
contentious 	 1010.5407181243039 1.7111665971504049 
parliament 	 475.09888537115563 1.7111665971504049 
unending 	 1142.9318296112535 1.7111665971504049 
war 	 315.7617616165642 1.7111665971504049 
chechnya 	 601.788080896516 1.7111665971504049 
strengthened 	 1010.5407181243039 1.7111665971504049 
president's 	 625.6942412007312 1.7111665971504049 
security 	 331.4692383798258 1.7111665971504049 
apparatus 	 800.7057709886949 1.7111665971504049 
allowed 	 469.39696940956657 1.7111665971504049 
fsb 	 800.7057709886949 1.7111665971504049 
interior 	 625.6942412007312 1.7111665971504049 
ministry 	 552.5427210198151 1.7111665971504049 
military 	 345.6238610611867 1.7111665971504049 
harass 	 1142.9318296112535 1.7111665971504049 
journalists 	 173.5451302830501 1.8934652694699114 
unchecked 	 1142.9318296112535 1.7111665971504049 
investigations 	 580.5439845904633 1.7111665971504049 
languished 	 1142.9318296112535 1.7111665971504049 
started 	 580.5439845904633 1.7111665971504049 
assassinations 	 1010.5407181243039 1.7111665971504049 
sending 	 638.871879654739 1.7111665971504049 
grim 	 933.0968824756444 1.7111665971504049 
signal 	 668.3146595017454 1.7111665971504049 
assassins 	 933.0968824756444 1.7111665971504049 
dissatisfied 	 878.1496066373543 1.7111665971504049 
journalists' 	 933.0968824756444 1.7111665971504049 
cpj 	 217.67550077869993 1.8934652694699114 
urges 	 878.1496066373543 1.7111665971504049 
russian 	 130.65104458696905 1.8934652694699114 
