term 	 tf-idf weight 	 BM25 ranking 
 entech 	 121.39232971902325 1.9521267667832525 
engineering 	 103.81765066255207 1.9366742901239227 
architectural 	 448.2209006111384 1.8213368416998277 
services 	 52.14133618080088 1.9366742901239227 
graphics 	 42.17302505860041 1.9757734323609704 
diamond 	 93.0663252143928 1.9615171837428504 
gif 	 4.794944857529045 1.9757734323609704 
html 	 4.846374702174782 1.9784362501183592 
clients 	 99.45967834326586 1.9366742901239227 
newslet 	 332.1084635781391 1.9064918034178333 
newsletter 	 408.6299818339391 1.8213368416998277 
page 	 54.48710694547726 1.8213368416998277 
central 	 194.23110514598235 1.8213368416998277 
heating 	 465.331626071964 1.8213368416998277 
chilling 	 587.2775901141242 1.8213368416998277 
system 	 59.86571337480623 1.9064918034178333 
design 	 69.30330941101353 1.9366742901239227 
electric 	 343.3856620298039 1.8213368416998277 
utility 	 420.3249990719578 1.8213368416998277 
deregulation 	 433.39891602981635 1.8213368416998277 
studies 	 59.45611741978818 1.9064918034178333 
energy 	 236.85054336646164 1.8213368416998277 
audits 	 293.6387950570621 1.9064918034178333 
environmental 	 249.33559952682427 1.8213368416998277 
permitting 	 433.39891602981635 1.8213368416998277 
facility 	 155.7264759938281 1.9064918034178333 
water 	 257.56158443588737 1.8213368416998277 
wastewater 	 510.3382530719703 1.8213368416998277 
main 	 199.1652507913449 1.8213368416998277 
office 	 91.0272626652596 1.9064918034178333 
reading 	 158.08853459407126 1.9064918034178333 
usa 	 79.74591071532953 1.9366742901239227 
branch 	 371.28156356898444 1.8213368416998277 
pottsville 	 664.2169271562782 1.8213368416998277 
mail 	 195.85157188173028 1.8213368416998277 
information 	 92.20156016702465 1.8213368416998277 
matt 	 485.569318876093 1.8213368416998277 
lloyd 	 448.2209006111384 1.8213368416998277 
mailto 	 80.6349408611944 1.8213368416998277 
mloyd 	 664.2169271562782 1.8213368416998277 
entecheng 	 242.7846594380465 1.9064918034178333 
novell 	 271.135481557059 1.9064918034178333 
net 	 128.78079221794368 1.9064918034178333 
south 	 197.4960464038809 1.8213368416998277 
fourth 	 316.1770691881425 1.8213368416998277 
street 	 236.85054336646164 1.8213368416998277 
box 	 286.68401779177884 1.8213368416998277 
tel 	 388.3922890298101 1.8213368416998277 
fax 	 263.4050388527692 1.8213368416998277 
mlloyd 	 485.569318876093 1.8213368416998277 
tech 	 420.3249990719578 1.8213368416998277 
web 	 227.78428192387796 1.8213368416998277 
sites 	 302.56821143589366 1.8213368416998277 
techlink 	 664.2169271562782 1.8213368416998277 
employe 	 332.1084635781391 1.9064918034178333 
positions 	 283.0443474584269 1.8213368416998277 
cgi 	 171.69283101490194 1.9064918034178333 
bin 	 398.05055187565904 1.8213368416998277 
count 	 465.331626071964 1.8213368416998277 
dat 	 664.2169271562782 1.8213368416998277 
