term 	 tf-idf weight 	 BM25 ranking 
 reading 	 635.2025804410431 1.6707422070399303 
water 	 141.1209664108179 1.897988582178681 
authority 	 1456.5961661233864 1.2568985609024892 
filter 	 365.81742604516467 1.8623668295316955 
plant 	 491.6169652356901 1.7424568960292612 
renovations 	 1334.4177905932436 1.6707422070399303 
pumping 	 884.8844769962818 1.7424568960292612 
station 	 616.6084816476347 1.6707422070399303 
upgrades 	 500.4066714724663 1.8623668295316955 
graphics 	 2033.4236947173817 1.2568985609024892 
diamond 	 2804.5662868661616 1.2568985609024892 
gif 	 231.19409799545448 1.2568985609024892 
munic 	 1334.4177905932436 1.6707422070399303 
index 	 145.4607354924142 1.5436754168409856 
html 	 87.62769393932241 1.6707422070399303 
main 	 400.12478312135056 1.6707422070399303 
menu 	 2340.8508230715584 1.2568985609024892 
entech 	 365.81742604516467 1.8623668295316955 
engineering 	 469.2838398192387 1.7424568960292612 
contracted 	 3539.5379079851273 1.2568985609024892 
city 	 371.6179412746462 1.6707422070399303 
undertake 	 3268.281750660765 1.2568985609024892 
renovation 	 1634.1408753303824 1.5436754168409856 
city's 	 934.8554289553872 1.6707422070399303 
antiquated 	 3268.281750660765 1.2568985609024892 
system 	 24.05415150014737 1.9613471878792297 
total 	 767.6965084887535 1.5436754168409856 
separate 	 1727.8523234477484 1.2568985609024892 
projects 	 256.905501203262 1.8442362522113787 
completed 	 1966.4678609427604 1.2568985609024892 
major 	 896.1558602541521 1.2568985609024892 
elements 	 1471.6305066884138 1.2568985609024892 
project 	 490.54350222947124 1.6707422070399303 
include 	 380.72124605266316 1.6707422070399303 
ward 	 2701.439482061726 1.2568985609024892 
tank 	 307.5822444190524 1.8883568840240836 
replacement 	 365.81742604516467 1.8623668295316955 
provided 	 307.07860339550143 1.7885189687002212 
design 	 250.61575132955704 1.7885189687002212 
construction 	 200.73490024407408 1.8623668295316955 
monitoring 	 1199.5307171388104 1.5436754168409856 
finished 	 2804.5662868661616 1.2568985609024892 
storage 	 540.2878964123453 1.7885189687002212 
gallon 	 2001.6266858898653 1.5436754168409856 
constructed 	 3075.8224441905236 1.2568985609024892 
adjacent 	 3075.8224441905236 1.2568985609024892 
authority's 	 2926.5394083613173 1.2568985609024892 
era 	 1605.8792019525927 1.2568985609024892 
riveted 	 4003.2533717797305 1.2568985609024892 
steel 	 1199.5307171388104 1.5436754168409856 
lead 	 1644.1181808115184 1.2568985609024892 
painted 	 3539.5379079851273 1.2568985609024892 
dismantled 	 4003.2533717797305 1.2568985609024892 
conducted 	 924.9127224714521 1.5436754168409856 
detailed 	 1413.4198954823514 1.2568985609024892 
evaluation 	 706.7099477411757 1.5436754168409856 
concrete 	 934.8554289553872 1.6707422070399303 
type 	 1644.1181808115184 1.2568985609024892 
life 	 828.8937779047161 1.2568985609024892 
cycle 	 1935.3459704830173 1.2568985609024892 
cost 	 1359.8713240487557 1.2568985609024892 
analysis 	 274.36717797652415 1.6707422070399303 
account 	 1286.816997724176 1.2568985609024892 
costs 	 713.7523131178506 1.5436754168409856 
ongoing 	 2148.3915166013167 1.2568985609024892 
future 	 1015.5608403998139 1.2568985609024892 
maintenance 	 1705.9159319791675 1.2568985609024892 
expenditures 	 1999.1084807721104 1.2568985609024892 
plans 	 290.2525137121773 1.7424568960292612 
specifications 	 768.9556110476309 1.7424568960292612 
prepared 	 967.6729852415086 1.5436754168409856 
diameter 	 1769.7689539925636 1.5436754168409856 
post 	 1322.3474708592073 1.2568985609024892 
tensioned 	 4003.2533717797305 1.2568985609024892 
included 	 383.84825424437673 1.7424568960292612 
addition 	 743.5052471903686 1.5436754168409856 
altitude 	 1463.2697041806587 1.5436754168409856 
valve 	 1334.4177905932436 1.6707422070399303 
associated 	 822.0590904057592 1.5436754168409856 
pass 	 2340.8508230715584 1.2568985609024892 
piping 	 2001.6266858898653 1.5436754168409856 
isolation 	 2191.5677872423516 1.2568985609024892 
valves 	 667.2088952966218 1.8206042405655167 
instrumentation 	 2926.5394083613173 1.2568985609024892 
contained 	 2287.3022516379624 1.2568985609024892 
underground 	 585.2127057678896 1.7424568960292612 
vault 	 4003.2533717797305 1.2568985609024892 
mechanical 	 1350.719741030863 1.5436754168409856 
civil 	 571.0818690789947 1.5436754168409856 
structural 	 317.60129022052155 1.8206042405655167 
electrical 	 468.1701646143117 1.7885189687002212 
architectural 	 2701.439482061726 1.2568985609024892 
inspection 	 1306.0534901979602 1.5436754168409856 
services 	 314.25724238698905 1.6707422070399303 
worth 	 1053.9168223030608 1.5436754168409856 
maiden 	 2001.6266858898653 1.5436754168409856 
creek 	 1350.719741030863 1.5436754168409856 
repairs 	 768.9556110476309 1.7424568960292612 
coagulation 	 4003.2533717797305 1.2568985609024892 
channels 	 2148.3915166013167 1.2568985609024892 
settling 	 3075.8224441905236 1.2568985609024892 
basins 	 1769.7689539925636 1.5436754168409856 
raw 	 2804.5662868661616 1.2568985609024892 
conduits 	 4003.2533717797305 1.2568985609024892 
existing 	 575.9507744825828 1.6707422070399303 
substation 	 4003.2533717797305 1.2568985609024892 
distribution 	 160.5879201952593 1.8883568840240836 
entire 	 899.1692542114171 1.5436754168409856 
building 	 330.5868677148018 1.7424568960292612 
including 	 146.84396243506052 1.7424568960292612 
indoor 	 3268.281750660765 1.2568985609024892 
outdoor 	 3268.281750660765 1.2568985609024892 
lighting 	 1306.0534901979602 1.5436754168409856 
chlorine 	 667.2088952966218 1.8206042405655167 
injection 	 3539.5379079851273 1.2568985609024892 
modifications 	 1634.1408753303824 1.5436754168409856 
aqua 	 2001.6266858898653 1.5436754168409856 
ammonia 	 1179.8459693283758 1.6707422070399303 
feed 	 900.4798273539086 1.6707422070399303 
bulk 	 1537.9112220952618 1.5436754168409856 
carbon 	 2612.1069803959203 1.2568985609024892 
dehumidification 	 3539.5379079851273 1.2568985609024892 
equipment 	 1664.089813158655 1.2568985609024892 
boiler 	 3539.5379079851273 1.2568985609024892 
burner 	 4003.2533717797305 1.2568985609024892 
backwash 	 4003.2533717797305 1.2568985609024892 
control 	 188.55434543219346 1.7885189687002212 
motorized 	 3539.5379079851273 1.2568985609024892 
electronic 	 1877.135359276955 1.2568985609024892 
controls 	 689.8648885823987 1.6707422070399303 
traveling 	 2612.1069803959203 1.2568985609024892 
screen 	 2462.823944566714 1.2568985609024892 
bulkhead 	 4003.2533717797305 1.2568985609024892 
sand 	 3075.8224441905236 1.2568985609024892 
media 	 579.3155112729212 1.2568985609024892 
fiberglass 	 3268.281750660765 1.2568985609024892 
reinforced 	 4003.2533717797305 1.2568985609024892 
sluice 	 4003.2533717797305 1.2568985609024892 
gates 	 2804.5662868661616 1.2568985609024892 
