term 	 tf-idf weight 	 BM25 ranking 
 grfx 	 337.0873554493166 1.8850538056283477 
brgplc 	 730.1288958175599 1.7826021396146152 
gif 	 23.845131183387682 1.8850538056283477 
cn_banner 	 825.7832067348323 1.7826021396146152 
thanks 	 557.247606165199 1.7826021396146152 
john 	 147.2314188494221 1.8850538056283477 
evans 	 317.2372924501437 1.8850538056283477 
banner 	 825.7832067348323 1.7826021396146152 
cold 	 137.45738432812718 1.9218724598495802 
fan 	 730.1288958175599 1.7826021396146152 
created 	 256.23866159860967 1.7826021396146152 
set 	 102.40473611462787 1.8850538056283477 
cards 	 192.8401333271202 1.9218724598495802 
edge 	 226.03613949136363 1.8850538056283477 
learned 	 482.86608906408827 1.7826021396146152 
expansion 	 327.4765347899293 1.7826021396146152 
known 	 251.85734123119755 1.7826021396146152 
wetworks 	 825.7832067348323 1.7826021396146152 
tefka 	 412.89160336741617 1.8850538056283477 
hold 	 351.8929725158821 1.7826021396146152 
atlas 	 674.1747108986332 1.7826021396146152 
games 	 482.86608906408827 1.7826021396146152 
decided 	 387.2117781468158 1.7826021396146152 
satisfy 	 634.4745849002874 1.7826021396146152 
name 	 270.28467341338165 1.7826021396146152 
spawned 	 730.1288958175599 1.7826021396146152 
subject 	 61.000819847546445 1.8850538056283477 
letter 	 190.7891714515103 1.8850538056283477 
nephew 	 730.1288958175599 1.7826021396146152 
explaining 	 557.247606165199 1.7826021396146152 
copy 	 443.16596306574246 1.7826021396146152 
mailing 	 557.247606165199 1.7826021396146152 
list 	 158.35892103355454 1.8850538056283477 
discuss 	 387.2117781468158 1.7826021396146152 
subscribe 	 578.5203999813607 1.7826021396146152 
sending 	 461.5932952479266 1.7826021396146152 
message 	 221.58298153287123 1.8850538056283477 
macjordomo 	 412.89160336741617 1.8850538056283477 
fenris 	 206.44580168370808 1.9408264594919498 
ilstu 	 89.80337899716915 1.9601580413691393 
edu 	 25.152504506705043 1.9601580413691393 
mailto 	 33.41628179833281 1.9218724598495802 
empty 	 634.4745849002874 1.7826021396146152 
line 	 112.27869432583431 1.8850538056283477 
subscibe 	 825.7832067348323 1.7826021396146152 
cold_numbers 	 412.89160336741617 1.8850538056283477 
your_real_name' 	 825.7832067348323 1.7826021396146152 
alternatively 	 603.6807748189265 1.7826021396146152 
deal 	 306.73759076912063 1.7826021396146152 
real 	 275.3034083089624 1.7826021396146152 
human 	 212.6973333391686 1.7826021396146152 
mrs_brinker 	 412.89160336741617 1.8850538056283477 
digests 	 825.7832067348323 1.7826021396146152 
stored 	 578.5203999813607 1.7826021396146152 
digest 	 461.5932952479266 1.7826021396146152 
storage 	 557.247606165199 1.7826021396146152 
depot 	 825.7832067348323 1.7826021396146152 
designed 	 260.76365714818235 1.7826021396146152 
found 	 258.4826134789153 1.7826021396146152 
web 	 283.1912694188753 1.7826021396146152 
page 	 33.870363776918296 1.8850538056283477 
http 	 30.27435969832633 1.8850538056283477 
www 	 30.005353509645975 1.8850538056283477 
intercon 	 825.7832067348323 1.7826021396146152 
com 	 66.60957367965995 1.7826021396146152 
please 	 122.76781262943948 1.8850538056283477 
feel 	 443.16596306574246 1.7826021396146152 
free 	 174.63036249610923 1.7826021396146152 
help 	 237.53338370313077 1.7826021396146152 
project 	 303.5650372541122 1.7826021396146152 
artists 	 471.82019540514017 1.7826021396146152 
especially 	 239.49086333202072 1.7826021396146152 
links 	 452.07227898272725 1.7826021396146152 
burger 	 674.1747108986332 1.7826021396146152 
palace 	 578.5203999813607 1.7826021396146152 
index 	 20.003569006430652 1.9218724598495802 
html 	 18.075667808111348 1.9218724598495802 
cafe 	 557.247606165199 1.7826021396146152 
conspiracy 	 494.8736590886572 1.7826021396146152 
resource 	 381.5783429030206 1.7826021396146152 
oit 	 730.1288958175599 1.7826021396146152 
nice 	 557.247606165199 1.7826021396146152 
march 	 100.15459438217606 1.9218724598495802 
practice 	 169.57272716890103 1.8850538056283477 
guy 	 603.6807748189265 1.7826021396146152 
runs 	 522.566215062434 1.7826021396146152 
pumpkin 	 337.0873554493166 1.8850538056283477 
patch 	 730.1288958175599 1.7826021396146152 
home 	 61.631077886274234 1.7826021396146152 
send 	 145.82219818313803 1.7826021396146152 
comments 	 156.2030303139251 1.7826021396146152 
mjjeans 	 730.1288958175599 1.7826021396146152 
