term 	 tf-idf weight 	 BM25 ranking 
 ashlog1 	 576.4682310582515 1.8111337778888716 
gif 	 40.77863013970647 1.8111337778888716 
services 	 41.57214641442232 1.9491844409756989 
sas70 	 353.05224056054425 1.9008871201494542 
criteria 	 206.44274822305223 1.9008871201494542 
htm 	 11.05929902913113 1.9706428664534308 
mean 	 365.04061368934106 1.8111337778888716 
meantoyou 	 706.1044811210885 1.8111337778888716 
control 	 55.4295285525631 1.9328149291233787 
objectives 	 280.01616742907 1.8111337778888716 
client 	 185.89265326122748 1.9008871201494542 
reporting 	 165.54706457001546 1.9008871201494542 
system 	 127.28205726535379 1.8111337778888716 
controls 	 365.04061368934106 1.8111337778888716 
home 	 52.69903761290116 1.8111337778888716 
index 	 51.31350310345254 1.8111337778888716 
audit 	 434.3994401477911 1.8111337778888716 
checks 	 223.4159904977073 1.9008871201494542 
manager 	 358.6606815794485 1.8111337778888716 
doing 	 146.7582944340219 1.9008871201494542 
tell 	 358.6606815794485 1.8111337778888716 
procedures 	 84.77493211179176 1.9328149291233787 
ensure 	 79.29893273314441 1.9491844409756989 
transactions 	 206.44274822305223 1.9008871201494542 
executed 	 230.3651896014339 1.9008871201494542 
accordance 	 211.57641946544038 1.9008871201494542 
established 	 283.24924638326746 1.8111337778888716 
maintained 	 137.62849881536818 1.9328149291233787 
proper 	 341.3614716248072 1.8111337778888716 
account 	 226.972205876611 1.8111337778888716 
set 	 175.1269400221172 1.8111337778888716 
modification 	 412.88549644610447 1.8111337778888716 
closure 	 624.313113815015 1.8111337778888716 
including 	 51.80145760040998 1.9008871201494542 
cash 	 386.5545573910277 1.8111337778888716 
security 	 204.7820425592641 1.8111337778888716 
acceptance 	 394.69571622648795 1.8111337778888716 
transfer 	 300.8939909918412 1.8111337778888716 
customer 	 403.44045694062714 1.8111337778888716 
complaints 	 516.1908074538646 1.8111337778888716 
documented 	 434.3994401477911 1.8111337778888716 
resolved 	 423.15283893088076 1.8111337778888716 
timely 	 494.67686375217795 1.8111337778888716 
basis 	 233.23916526365687 1.8111337778888716 
agreements 	 321.6490896345536 1.8111337778888716 
amendments 	 446.8319809954146 1.8111337778888716 
document 	 312.9043489204144 1.8111337778888716 
scope 	 394.69571622648795 1.8111337778888716 
relationship 	 173.82305935210016 1.8111337778888716 
obtained 	 365.04061368934106 1.8111337778888716 
signed 	 256.91830732819074 1.8111337778888716 
terms 	 211.72522156197024 1.8111337778888716 
underlying 	 346.85083346972453 1.8111337778888716 
advisory 	 238.24354176628077 1.9008871201494542 
agreement 	 122.24288324028362 1.9008871201494542 
fund 	 326.2771337866408 1.8111337778888716 
prospectus 	 624.313113815015 1.8111337778888716 
portfolios 	 624.313113815015 1.8111337778888716 
regularly 	 476.48708353256154 1.8111337778888716 
monitored 	 516.1908074538646 1.8111337778888716 
compliance 	 394.69571622648795 1.8111337778888716 
tax 	 280.01616742907 1.8111337778888716 
regulatory 	 378.9390118967943 1.8111337778888716 
erisa 	 706.1044811210885 1.8111337778888716 
requirements 	 259.5701043187337 1.8111337778888716 
investment 	 286.5734098653377 1.8111337778888716 
guidelines 	 331.09412914003093 1.8111337778888716 
provisions 	 378.9390118967943 1.8111337778888716 
suitability 	 576.4682310582515 1.8111337778888716 
investments 	 423.15283893088076 1.8111337778888716 
employee 	 331.09412914003093 1.8111337778888716 
properly 	 378.9390118967943 1.8111337778888716 
trained 	 423.15283893088076 1.8111337778888716 
supervised 	 494.67686375217795 1.8111337778888716 
personnel 	 276.8693142733749 1.8111337778888716 
performs 	 516.1908074538646 1.8111337778888716 
background 	 249.30276183395736 1.8111337778888716 
employees 	 293.5165888680438 1.8111337778888716 
copyright 	 92.0316920460266 1.8111337778888716 
ashland 	 576.4682310582515 1.8111337778888716 
accounting 	 352.60807284171756 1.8111337778888716 
info 	 122.24288324028362 1.9008871201494542 
aascpa 	 288.23411552912575 1.9008871201494542 
com 	 28.478006138405338 1.9008871201494542 
mailto 	 85.72002722181026 1.8111337778888716 
