term 	 tf-idf weight 	 BM25 ranking 
 graphics 	 73.55583469680215 1.9581228557218746 
x15 	 591.1242030343087 1.806795946644358 
gif 	 8.363074994753362 1.9581228557218746 
nicarry 	 362.02814498157505 1.8984951880460268 
hall 	 88.91726874965396 1.947926157628606 
founders 	 278.1573361338217 1.8984951880460268 
baugher 	 241.3520966543834 1.9311656219303632 
student 	 94.63612154541913 1.9311656219303632 
center 	 62.64248576770303 1.9311656219303632 
diamond 	 507.2533941865554 1.806795946644358 
index 	 26.309041845414225 1.8984951880460268 
html 	 15.848955107112126 1.9311656219303632 
main 	 217.10806617795257 1.806795946644358 
menu 	 423.382585338802 1.806795946644358 
energy 	 64.54710753905825 1.947926157628606 
audit 	 445.44349371087054 1.806795946644358 
performed 	 404.7303530797038 1.806795946644358 
evaluation 	 255.64096764329526 1.806795946644358 
square 	 381.23747533234786 1.806795946644358 
feet 	 396.3822156297826 1.806795946644358 
space 	 253.14603389176423 1.806795946644358 
recommendations 	 320.8595442319504 1.806795946644358 
include 	 206.57968956220736 1.806795946644358 
replacement 	 264.65715127931196 1.8984951880460268 
electric 	 374.3213072577141 1.806795946644358 
boiler 	 640.1854811153967 1.806795946644358 
gas 	 187.16065362885706 1.8984951880460268 
fired 	 202.3651765398519 1.8984951880460268 
unit 	 316.6134945347867 1.806795946644358 
pool 	 229.09605805273375 1.8984951880460268 
dehumidification 	 320.09274055769833 1.8984951880460268 
stem 	 640.1854811153967 1.806795946644358 
electrical 	 423.382585338802 1.806795946644358 
domestic 	 263.4501287009414 1.806795946644358 
hot 	 433.91096195454725 1.806795946644358 
water 	 280.7653307814628 1.806795946644358 
system 	 43.50601392403336 1.9311656219303632 
natatorium 	 724.0562899631501 1.806795946644358 
provided 	 277.7018760153637 1.806795946644358 
engineering 	 339.51177649104864 1.806795946644358 
design 	 226.64055239817938 1.806795946644358 
services 	 170.5162615642407 1.806795946644358 
installation 	 423.382585338802 1.806795946644358 
entech 	 264.65715127931196 1.8984951880460268 
completed 	 355.6690749986158 1.806795946644358 
submitted 	 413.6974177103041 1.806795946644358 
conservation 	 211.691292669401 1.8984951880460268 
measures 	 304.7022457243831 1.806795946644358 
ecm 	 320.09274055769833 1.8984951880460268 
grant 	 413.6974177103041 1.806795946644358 
application 	 208.27202484115088 1.806795946644358 
pennsylvani 	 724.0562899631501 1.806795946644358 
office 	 198.45583391885427 1.806795946644358 
cycle 	 350.0401531067938 1.806795946644358 
xvii 	 640.1854811153967 1.806795946644358 
funding 	 350.0401531067938 1.806795946644358 
project 	 133.08467212952021 1.8984951880460268 
successful 	 329.82660886255076 1.806795946644358 
obtaining 	 445.44349371087054 1.806795946644358 
grants 	 445.44349371087054 1.806795946644358 
implementation 	 300.9788750257059 1.806795946644358 
return 	 183.6814076059454 1.806795946644358 
college 	 152.35112286219154 1.8984951880460268 
list 	 277.7018760153637 1.806795946644358 
pleased 	 507.2533941865554 1.806795946644358 
talk 	 374.3213072577141 1.806795946644358 
projects 	 325.2600291766262 1.806795946644358 
please 	 215.28848301684314 1.806795946644358 
contact 	 195.35309981464044 1.806795946644358 
marketing 	 283.9083646362574 1.806795946644358 
matt 	 529.3143025586239 1.806795946644358 
lloyd 	 488.60116192745716 1.806795946644358 
email 	 404.7303530797038 1.806795946644358 
mlloyd 	 264.65715127931196 1.8984951880460268 
entecheng 	 264.65715127931196 1.8984951880460268 
novel 	 180.78634243155858 1.8984951880460268 
net 	 140.3826653907314 1.8984951880460268 
mailto 	 87.89934994778848 1.806795946644358 
updated 	 129.62504878908774 1.806795946644358 
june 	 253.14603389176423 1.806795946644358 
