term 	 tf-idf weight 	 BM25 ranking 
 april 	 901.701988490499 1.4483417884150067 
met 	 938.4050038851713 1.4483417884150067 
student 	 1011.2769021341068 1.4483417884150067 
report 	 169.9451353513215 1.826113158000373 
folks 	 1052.787320280112 1.6800443543976207 
endeavor 	 1052.787320280112 1.6800443543976207 
lands 	 1806.8282057388874 1.4483417884150067 
tomorrow 	 1052.787320280112 1.6800443543976207 
home 	 96.2427339455949 1.6800443543976207 
wednesday 	 1885.408796717082 1.4483417884150067 
strange 	 1682.8372325121697 1.4483417884150067 
trip 	 1473.5833639102566 1.4483417884150067 
know 	 357.36059266137534 1.77468088230356 
writing 	 459.83146031957193 1.6800443543976207 
week 	 333.36048916476716 1.77468088230356 
half 	 274.7570129607702 1.826113158000373 
wonder 	 2105.574640560224 1.4483417884150067 
reading 	 613.8392649553577 1.6800443543976207 
post 	 851.9159341409841 1.4483417884150067 
mail 	 760.468716045277 1.4483417884150067 
addresses 	 1227.6785299107155 1.4483417884150067 
urge 	 1586.6623618957453 1.4483417884150067 
questions 	 695.8445125628929 1.4483417884150067 
tell 	 655.0116684777216 1.6800443543976207 
read 	 1174.8369290889204 1.4483417884150067 
yesterday 	 942.704398358541 1.6800443543976207 
aaron's 	 2579.0765369761793 1.4483417884150067 
air 	 1046.7215224742417 1.4483417884150067 
ground 	 643.9579635372045 1.6800443543976207 
link 	 1174.8369290889204 1.4483417884150067 
speak 	 1545.5836744000815 1.4483417884150067 
yesterday's 	 2280.3301021548427 1.4483417884150067 
talked 	 870.1946313666696 1.6800443543976207 
lot 	 720.8214139560014 1.6800443543976207 
outside 	 1022.7709166265183 1.4483417884150067 
jsc 	 515.8153073952359 1.8584287893260834 
kind 	 549.5140259215405 1.6800443543976207 
superfluous 	 2579.0765369761793 1.4483417884150067 
incredible 	 361.36564114777747 1.8584287893260834 
stuff 	 660.5278891111687 1.77468088230356 
buildings 	 1632.0727441442687 1.4483417884150067 
clean 	 1441.6428279120028 1.4483417884150067 
mission 	 66.33953142658875 1.9561714581307903 
control 	 151.84402631030525 1.826113158000373 
eol 	 2579.0765369761793 1.4483417884150067 
personal 	 308.177798348173 1.6800443543976207 
experience 	 257.7784477209299 1.77468088230356 
building 	 212.97898353524602 1.826113158000373 
site 	 859.8244129069768 1.4483417884150067 
medical 	 821.657898652814 1.4483417884150067 
facility 	 1209.3353360962146 1.4483417884150067 
video 	 1384.0907976908334 1.4483417884150067 
photo 	 1806.8282057388874 1.4483417884150067 
labs 	 2105.574640560224 1.4483417884150067 
computer 	 500.04073374715074 1.6800443543976207 
set 	 319.82928453191744 1.6800443543976207 
print 	 1266.8873663173838 1.4483417884150067 
photos 	 526.393660140056 1.826113158000373 
laser 	 816.0363720721343 1.6800443543976207 
disk 	 2280.3301021548427 1.4483417884150067 
diverge 	 2579.0765369761793 1.4483417884150067 
divergence 	 1140.1650510774214 1.6800443543976207 
bit 	 1981.5836673335064 1.4483417884150067 
average 	 1310.0233369554433 1.4483417884150067 
shuttle 	 156.87854447790292 1.9187945831416193 
comes 	 1246.837239578745 1.4483417884150067 
frames 	 1981.5836673335064 1.4483417884150067 
photographic 	 2280.3301021548427 1.4483417884150067 
film 	 534.0107896516183 1.4483417884150067 
cameras 	 1806.8282057388874 1.4483417884150067 
quality 	 938.4050038851713 1.4483417884150067 
detailed 	 910.5889012748781 1.4483417884150067 
earth 	 1191.7410564579845 1.4483417884150067 
pictures 	 692.0453988454167 1.6800443543976207 
orbit 	 1586.6623618957453 1.4483417884150067 
developed 	 859.8244129069768 1.4483417884150067 
numbered 	 2579.0765369761793 1.4483417884150067 
cataloged 	 2579.0765369761793 1.4483417884150067 
latitude 	 1508.081770917551 1.4483417884150067 
longitude 	 1632.0727441442687 1.4483417884150067 
main 	 773.3353431627896 1.4483417884150067 
visible 	 1508.081770917551 1.4483417884150067 
features 	 1174.8369290889204 1.4483417884150067 
information 	 71.60157194952725 1.8584287893260834 
stored 	 1806.8282057388874 1.4483417884150067 
