term 	 tf-idf weight 	 BM25 ranking 
 shared 	 332.76835444436676 1.793195532878212 
vision 	 475.3961439079648 1.7050429102592266 
line 	 1274.1190964801197 1.1820582280046468 
august 	 908.4266694292785 1.4859039568812324 
power 	 53.71534729812653 1.9362008874379775 
blessing 	 585.6777634722588 1.8407807429576375 
wayne 	 1799.9768115105978 1.4859039568812324 
powell 	 2071.3439326998164 1.4859039568812324 
rise 	 1797.029495206858 1.1820582280046468 
atlantis 	 4685.42210777807 1.1820582280046468 
legend 	 2882.4979799637326 1.1820582280046468 
goes 	 519.0764940777213 1.7050429102592266 
race 	 1996.6101266662006 1.1820582280046468 
solar 	 2739.740200994066 1.1820582280046468 
system 	 844.5919562607797 1.1820582280046468 
stars 	 4142.687865399633 1.1820582280046468 
known 	 714.5083267537235 1.4859039568812324 
pleiades 	 4685.42210777807 1.1820582280046468 
called 	 685.058357339208 1.4859039568812324 
people 	 183.49635150429341 1.7568628248483282 
manahuna 	 4685.42210777807 1.1820582280046468 
menehune 	 4685.42210777807 1.1820582280046468 
secret 	 721.6807789687563 1.625151262465022 
advanced 	 985.8754479429421 1.4859039568812324 
technology 	 1466.6078721303675 1.1820582280046468 
psychic 	 3825.2086857509403 1.1820582280046468 
powers 	 2048.829472898661 1.1820582280046468 
pygmy 	 4685.42210777807 1.1820582280046468 
unique 	 1947.656687149816 1.1820582280046468 
philosophy 	 334.98199378753606 1.625151262465022 
successful 	 2134.33251850725 1.1820582280046468 
living 	 861.2008122100358 1.4859039568812324 
firmly 	 3282.474443372503 1.1820582280046468 
established 	 1879.526778966936 1.1820582280046468 
earth 	 541.2605842265673 1.7050429102592266 
extend 	 2739.740200994066 1.1820582280046468 
knowledge 	 426.2013445719774 1.7050429102592266 
mankind 	 3282.474443372503 1.1820582280046468 
survive 	 2739.740200994066 1.1820582280046468 
time 	 186.6473038319483 1.7050429102592266 
language 	 1687.5958943271085 1.1820582280046468 
polynesian 	 4142.687865399633 1.1820582280046468 
traces 	 1797.029495206858 1.1820582280046468 
found 	 1466.6078721303675 1.1820582280046468 
world 	 144.69043395192807 1.793195532878212 
huna 	 669.3460153968672 1.8200813147652368 
life 	 53.8966806260914 1.9259613354355147 
root 	 3161.77446106776 1.1820582280046468 
ancient 	 2048.829472898661 1.1820582280046468 
cultures 	 2379.926387090747 1.1820582280046468 
