term 	 tf-idf weight 	 BM25 ranking 
 pinfo 	 425.28187755997527 1.8488638292837263 
gif 	 31.966299050193633 1.8488638292837263 
aesop 	 94.50708390221673 1.964316903983102 
development 	 107.6380611450992 1.8488638292837263 
system 	 15.350182916616982 1.9751599535633688 
product 	 238.90334815981572 1.8488638292837263 
overview 	 321.0565921479988 1.7189649399722582 
designed 	 349.5744679160416 1.7189649399722582 
provide 	 313.29321531467787 1.7189649399722582 
robotic 	 323.6602408581751 1.8488638292837263 
platform 	 331.70879322971587 1.8488638292837263 
research 	 70.77201971370226 1.8966389540754398 
applications 	 144.69159079258296 1.8966389540754398 
allows 	 276.40887065982093 1.8488638292837263 
command 	 316.256290398373 1.8488638292837263 
modes 	 350.27083255996484 1.8488638292837263 
standard 	 197.3754528053847 1.8488638292837263 
adds 	 722.3315267163606 1.7189649399722582 
flexibility 	 373.51741717594865 1.8488638292837263 
communication 	 454.6515148731404 1.7189649399722582 
directly 	 444.07720831274986 1.7189649399722582 
controller 	 747.0348343518973 1.7189649399722582 
building 	 365.67157265912306 1.7189649399722582 
laparoscopic 	 451.892469261765 1.8488638292837263 
usage 	 562.3070007813387 1.7189649399722582 
intended 	 286.1547183581699 1.8488638292837263 
setting 	 429.26930739314565 1.7189649399722582 
robot's 	 489.3979917617702 1.8488638292837263 
effector 	 1107.0282119271303 1.7189649399722582 
attached 	 606.0389247232214 1.7189649399722582 
fixed 	 572.3094367163397 1.7189649399722582 
pivot 	 1107.0282119271303 1.7189649399722582 
laparoscope 	 850.5637551199505 1.7189649399722582 
clinical 	 594.0992983127707 1.7189649399722582 
requires 	 471.74057909737814 1.7189649399722582 
connection 	 543.7915609482969 1.7189649399722582 
function 	 394.7509056107694 1.7189649399722582 
user 	 255.76809216325654 1.8488638292837263 
provided 	 212.292756458026 1.8488638292837263 
disk 	 489.3979917617702 1.8488638292837263 
containing 	 632.512580796746 1.7189649399722582 
software 	 173.0294177709201 1.8966389540754398 
file 	 259.5441266563802 1.8488638292837263 
transfer 	 235.87028954868907 1.8488638292837263 
program 	 218.28431865147775 1.7189649399722582 
library 	 242.0392416898163 1.8488638292837263 
movement 	 154.14645546145638 1.8488638292837263 
data 	 77.6940424210897 1.9214645269773547 
collection 	 535.1853580558418 1.7189649399722582 
routines 	 1107.0282119271303 1.7189649399722582 
connected 	 606.0389247232214 1.7189649399722582 
serial 	 225.9462346308825 1.9214645269773547 
port 	 180.58288167909015 1.9214645269773547 
loaded 	 553.5141059635652 1.8488638292837263 
foot 	 681.0499697232318 1.7189649399722582 
hand 	 449.2888205515887 1.7189649399722582 
controls 	 572.3094367163397 1.7189649399722582 
manual 	 632.512580796746 1.7189649399722582 
mode 	 618.8026059483074 1.7189649399722582 
memory 	 663.4175864594317 1.7189649399722582 
positions 	 235.87028954868907 1.8488638292837263 
send 	 65.16209339101579 1.8966389540754398 
receive 	 210.00868979341666 1.8488638292837263 
additional 	 460.17431305583136 1.7189649399722582 
users 	 552.8177413196419 1.7189649399722582 
commands 	 340.5249848616159 1.8488638292837263 
floppy 	 1107.0282119271303 1.7189649399722582 
example 	 163.20964323477523 1.8488638292837263 
individual 	 310.7761696843588 1.7189649399722582 
joints 	 809.2821981268216 1.7189649399722582 
commanded 	 1107.0282119271303 1.7189649399722582 
move 	 465.86706990918077 1.7189649399722582 
specific 	 199.55237791602076 1.7189649399722582 
locations 	 647.3204817163502 1.7189649399722582 
information 	 51.22308898168036 1.8966389540754398 
joint 	 465.86706990918077 1.7189649399722582 
histories 	 700.5416651199297 1.7189649399722582 
addition 	 411.2061905238212 1.7189649399722582 
interfaces 	 978.7959835235404 1.7189649399722582 
control 	 260.7066809040044 1.7189649399722582 
robot 	 276.40887065982093 1.8488638292837263 
moved 	 700.5416651199297 1.7189649399722582 
voice 	 519.0882533127603 1.7189649399722582 
head 	 411.2061905238212 1.7189649399722582 
tracking 	 747.0348343518973 1.7189649399722582 
directional 	 978.7959835235404 1.7189649399722582 
input 	 663.4175864594317 1.7189649399722582 
signals 	 700.5416651199297 1.7189649399722582 
image 	 167.38328349821867 1.8488638292837263 
toolbar1 	 850.5637551199505 1.7189649399722582 
http 	 81.17038469841117 1.7189649399722582 
www 	 80.44913622151458 1.7189649399722582 
rain 	 632.512580796746 1.7189649399722582 
org 	 471.74057909737814 1.7189649399722582 
cgi 	 572.3094367163397 1.7189649399722582 
bin 	 663.4175864594317 1.7189649399722582 
imagemap 	 618.8026059483074 1.7189649399722582 
cmotion 	 850.5637551199505 1.7189649399722582 
map 	 490.57037754471753 1.7189649399722582 
company 	 343.5083506937883 1.7189649399722582 
cinfo 	 850.5637551199505 1.7189649399722582 
htm 	 17.338731528722533 1.9543544159437922 
publications 	 343.5083506937883 1.7189649399722582 
pubs 	 775.55271011994 1.7189649399722582 
endorsements 	 850.5637551199505 1.7189649399722582 
endors 	 850.5637551199505 1.7189649399722582 
training 	 398.7295535766476 1.7189649399722582 
support 	 128.46551982611555 1.8488638292837263 
news 	 337.63484150559094 1.7189649399722582 
home 	 82.62137252870097 1.7189649399722582 
index2 	 700.5416651199297 1.7189649399722582 
