term 	 tf-idf weight 	 BM25 ranking 
 simon 	 364.7193825969448 1.857208709115301 
tilley 	 520.6024564197855 1.857208709115301 
follow 	 75.88257307032079 1.950024200042106 
ups 	 99.15062077354395 1.950024200042106 
post 	 57.32148976818686 1.950024200042106 
followup 	 121.57312753231493 1.950024200042106 
workspace 	 145.50223437162904 1.9259613354355152 
user 	 120.28012982812605 1.9259613354355152 
http 	 9.543004687515909 1.962282529939245 
www 	 9.458209258475362 1.962282529939245 
rosl 	 91.1798456492362 1.962282529939245 
com 	 10.498248025598578 1.962282529939245 
wwwboard 	 58.55137890866222 1.9746959525172725 
html 	 8.546647278835257 1.962282529939245 
faq 	 76.10389447205739 1.962282529939245 
posted 	 320.2775533293036 1.857208709115301 
hennie 	 173.53415213992852 1.950024200042106 
van 	 55.28556626666266 1.950024200042106 
scherpenzeel 	 173.53415213992852 1.950024200042106 
august 	 201.87259320650634 1.857208709115301 
website 	 132.21813261615262 1.9259613354355152 
looks 	 75.49168518074566 1.9259613354355152 
wish 	 134.57005674140962 1.9259613354355152 
nice 	 175.65413672598666 1.9259613354355152 
holliday 	 260.30122820989277 1.9259613354355152 
contact 	 70.23024662757736 1.9259613354355152 
september 	 103.22629900986902 1.9259613354355152 
regards 	 142.50104446194663 1.9259613354355152 
name 	 170.39685932582756 1.857208709115301 
mail 	 153.50528606946426 1.857208709115301 
subject 	 76.91407719908031 1.857208709115301 
comments 	 98.47582345877886 1.857208709115301 
optional 	 139.6936187924623 1.9259613354355152 
link 	 118.57402880595832 1.9259613354355152 
url 	 160.1387766646518 1.9259613354355152 
title 	 100.53916127448537 1.857208709115301 
image 	 157.43076393886514 1.857208709115301 
