term 	 tf-idf weight 	 BM25 ranking 
 cmu 	 1333.316156674517 1.5919980154511306 
robotics 	 1014.7185929607652 1.5919980154511306 
institute 	 595.1120879092307 1.5919980154511306 
gif 	 33.40622243083299 1.8425917064300459 
eric 	 1171.0275781732444 1.5919980154511306 
krotkov 	 1735.3415213992853 1.5919980154511306 
table 	 950.0069630796443 1.5919980154511306 
contents 	 712.6969692605985 1.5919980154511306 
step 	 232.04034308233778 1.8425917064300459 
feel 	 310.4302639832496 1.8425917064300459 
epkmatl 	 289.2235868998809 1.9180718090311013 
html 	 28.488824262784192 1.8795742789153005 
hdr0 	 1735.3415213992853 1.5919980154511306 
hit 	 266.897961107753 1.8795742789153005 
listen 	 511.44294634563374 1.8425917064300459 
hdr1 	 1735.3415213992853 1.5919980154511306 
whack 	 578.4471737997618 1.8425917064300459 
watch 	 390.34252605774816 1.8425917064300459 
hdr2 	 1735.3415213992853 1.5919980154511306 
perception 	 197.62338134326387 1.8795742789153005 
material 	 111.56260966816473 1.902485092831007 
properties 	 177.93197407183536 1.9180718090311013 
hdt3 	 1735.3415213992853 1.5919980154511306 
field 	 202.23787831573452 1.8425917064300459 
infancy 	 1534.3288390369012 1.5919980154511306 
capability 	 448.5668558046987 1.7728272773014728 
perceive 	 1416.7439576855334 1.5919980154511306 
expand 	 970.0148958108603 1.5919980154511306 
robotic 	 253.6796482401913 1.8795742789153005 
horizons 	 1534.3288390369012 1.5919980154511306 
enabling 	 1534.3288390369012 1.5919980154511306 
robots 	 1014.7185929607652 1.5919980154511306 
perform 	 866.5791620686279 1.5919980154511306 
tasks 	 533.795922215506 1.7728272773014728 
currently 	 612.6932282359969 1.5919980154511306 
infeasible 	 1534.3288390369012 1.5919980154511306 
include 	 495.1083468846292 1.5919980154511306 
grasping 	 1735.3415213992853 1.5919980154511306 
slippery 	 1735.3415213992853 1.5919980154511306 
objects 	 188.71724571868882 1.9180718090311013 
handling 	 970.0148958108603 1.5919980154511306 
hazardous 	 1132.3034743121327 1.5919980154511306 
waste 	 826.0481987798318 1.5919980154511306 
recycling 	 1171.0275781732444 1.5919980154511306 
garbage 	 1534.3288390369012 1.5919980154511306 
excavation 	 1534.3288390369012 1.5919980154511306 
destructive 	 1132.3034743121327 1.5919980154511306 
evaluation 	 612.6932282359969 1.5919980154511306 
mobility 	 1268.6045267933962 1.5919980154511306 
natural 	 325.7086660485542 1.7728272773014728 
terrain 	 607.8656376615746 1.7728272773014728 
preliminary 	 585.5137890866222 1.7728272773014728 
begun 	 1268.6045267933962 1.5919980154511306 
define 	 897.1337116093974 1.5919980154511306 
developing 	 680.4415350786334 1.5919980154511306 
distinguish 	 1171.0275781732444 1.5919980154511306 
wide 	 618.7987169033682 1.5919980154511306 
variety 	 202.23787831573452 1.8425917064300459 
materials 	 172.04383168311503 1.8795742789153005 
disambiguate 	 1735.3415213992853 1.5919980154511306 
actively 	 1268.6045267933962 1.5919980154511306 
contacting 	 1215.7312753231492 1.5919980154511306 
