term 	 tf-idf weight 	 BM25 ranking 
 faculty 	 107.03612643430182 1.94499647135738 
colleagues 	 164.11137231483139 1.9186138385516542 
mathematics 	 172.12996837866336 1.9186138385516542 
arnold 	 419.9518433522967 1.84359238481395 
insel 	 574.4578829459704 1.84359238481395 
jinadasa 	 574.4578829459704 1.84359238481395 
orlyn 	 574.4578829459704 1.84359238481395 
edge 	 314.4850636401581 1.84359238481395 
stephen 	 419.9518433522967 1.84359238481395 
friedberg 	 574.4578829459704 1.84359238481395 
beverly 	 574.4578829459704 1.84359238481395 
rich 	 335.90684456632226 1.84359238481395 
john 	 204.84371318180467 1.84359238481395 
dossey 	 574.4578829459704 1.84359238481395 
lotus 	 468.9911032338317 1.84359238481395 
hershberger 	 574.4578829459704 1.84359238481395 
jhs 	 234.49555161691586 1.9186138385516542 
carol 	 419.9518433522967 1.84359238481395 
thornton 	 468.9911032338317 1.84359238481395 
please 	 170.80739148443755 1.84359238481395 
remember 	 363.52432352169325 1.84359238481395 
list 	 220.3254553510324 1.84359238481395 
starting 	 282.1837289245217 1.84359238481395 
professors 	 441.3736242784608 1.84359238481395 
listed 	 344.2599367573267 1.84359238481395 
experience 	 172.25102771143344 1.84359238481395 
presidential 	 209.01828392801957 1.84359238481395 
scholars 	 353.4097140185419 1.84359238481395 
colleague 	 402.448973900077 1.84359238481395 
plans 	 166.6023397092318 1.84359238481395 
limited 	 202.82258589881275 1.84359238481395 
names 	 302.46940191657353 1.84359238481395 
return 	 145.73070355513022 1.84359238481395 
department 	 92.32767696675702 1.9186138385516542 
listing 	 387.6505086366602 1.84359238481395 
psfcdept 	 234.49555161691586 1.9186138385516542 
htm 	 4.844751595551577 1.9870325489418184 
main 	 172.25102771143344 1.84359238481395 
psindex 	 441.3736242784608 1.84359238481395 
program 	 56.63593132578882 1.9186138385516542 
pswhatis 	 156.33036774461058 1.94499647135738 
awards 	 151.23470095828677 1.9186138385516542 
requirements 	 211.1756780898172 1.84359238481395 
agree 	 282.1837289245217 1.84359238481395 
ids 	 387.6505086366602 1.84359238481395 
ps10270 	 468.9911032338317 1.84359238481395 
core 	 296.9821941879385 1.84359238481395 
curriculum 	 314.4850636401581 1.84359238481395 
pscore 	 468.9911032338317 1.84359238481395 
service 	 145.73070355513022 1.84359238481395 
learning 	 254.5662499691507 1.84359238481395 
pspubser 	 468.9911032338317 1.84359238481395 
study 	 116.47215899726646 1.84359238481395 
abroad 	 273.4504382167719 1.84359238481395 
psabroad 	 468.9911032338317 1.84359238481395 
club 	 308.2893656109513 1.84359238481395 
pscwarn 	 468.9911032338317 1.84359238481395 
honors 	 88.35242850463547 1.9584617597949245 
staff 	 195.13848596215325 1.84359238481395 
psstaff 	 468.9911032338317 1.84359238481395 
http 	 21.06042413796614 1.9186138385516542 
www 	 41.74657879602918 1.84359238481395 
ilstu 	 187.41574747235302 1.9186138385516542 
edu 	 52.492183318340956 1.9186138385516542 
isu's 	 468.9911032338317 1.84359238481395 
missmuffet 	 574.4578829459704 1.84359238481395 
math 	 344.2599367573267 1.84359238481395 
