term 	 tf-idf weight 	 BM25 ranking 
 stewart 	 62.140876760982366 1.9818124282588612 
platform 	 37.239656620383904 1.9818124282588612 
follow 	 117.74882028153225 1.9235059249189137 
ups 	 153.85441154515442 1.9235059249189137 
post 	 88.94713929546236 1.9235059249189137 
followup 	 188.6479565156611 1.9235059249189137 
workspace 	 112.8896645986777 1.9420755843643525 
user 	 186.64158076778182 1.8874119667456188 
http 	 14.808110722007443 1.9420755843643525 
www 	 14.67653160797901 1.9420755843643525 
rosl 	 141.4859673867458 1.9420755843643525 
com 	 16.290384867308138 1.9420755843643525 
wwwboard 	 90.85558796171723 1.961007284533326 
html 	 3.7891539659860745 1.983100563393383 
faq 	 118.09225004284768 1.9420755843643525 
posted 	 496.98241033857454 1.7868244419032464 
tony 	 620.6816591415854 1.7868244419032464 
vidler 	 807.8313978927707 1.7868244419032464 
mailto 	 98.0695226690202 1.7868244419032464 
vid 	 714.2565285171781 1.7868244419032464 
m130 	 807.8313978927707 1.7868244419032464 
aone 	 714.2565285171781 1.7868244419032464 
net 	 313.25057566526846 1.7868244419032464 
june 	 282.43565764783614 1.7868244419032464 
contacts 	 248.49120516928727 1.8874119667456188 
posed 	 263.55339488299643 1.8874119667456188 
question 	 132.20445982176278 1.8874119667456188 
create 	 144.0307358309564 1.8874119667456188 
simulate 	 272.5667638851517 1.8874119667456188 
phil 	 136.28338194257586 1.9420755843643525 
watson 	 155.17041478539636 1.9420755843643525 
aldous 	 164.879684730644 1.9420755843643525 
huxley 	 164.879684730644 1.9420755843643525 
huseyin 	 403.91569894638536 1.8874119667456188 
ovayolu 	 403.91569894638536 1.8874119667456188 
name 	 264.40891964352556 1.7868244419032464 
mail 	 238.19785769399627 1.7868244419032464 
subject 	 119.34943013650393 1.7868244419032464 
comments 	 152.80731226362238 1.7868244419032464 
optional 	 216.7659601952001 1.8874119667456188 
link 	 183.99418262993532 1.8874119667456188 
url 	 248.49120516928727 1.8874119667456188 
title 	 156.00904335696003 1.7868244419032464 
image 	 244.2891164568597 1.7868244419032464 
