term 	 tf-idf weight 	 BM25 ranking 
 marbar 	 335.1004317184827 1.9056891117417734 
gif 	 6.450856745264301 1.967542677612302 
margenev 	 670.2008634369654 1.8198722285464275 
marsh 	 148.14209480356288 1.9517058907864953 
creek 	 113.06473168569256 1.9517058907864953 
waste 	 159.51275562645029 1.9056891117417734 
water 	 86.62731969014831 1.9361220094903293 
treatment 	 91.84732809467636 1.9056891117417734 
plant 	 109.73811680398065 1.9361220094903293 
doran 	 670.2008634369654 1.8198722285464275 
avenue 	 346.47922655259487 1.8198722285464275 
geneva 	 437.3034107688237 1.8198722285464275 
york 	 92.57936466244813 1.9056891117417734 
marbeda1 	 670.2008634369654 1.8198722285464275 
environmentally 	 514.9358949915376 1.8198722285464275 
you_ 	 592.5683792142515 1.8198722285464275 
marbldg1 	 670.2008634369654 1.8198722285464275 
recognized 	 366.8992409135178 1.8198722285464275 
epa 	 514.9358949915376 1.8198722285464275 
environmental 	 251.5818661892281 1.8198722285464275 
protection 	 225.5281691191277 1.8198722285464275 
agency 	 236.62635021528155 1.8198722285464275 
pollution 	 391.8913186607093 1.8198722285464275 
control 	 157.83323384458643 1.8198722285464275 
association 	 217.37912143949572 1.8198722285464275 
outstanding 	 401.63659288354785 1.8198722285464275 
achievement 	 382.9265354012732 1.8198722285464275 
operation 	 265.7780572208122 1.8198722285464275 
facility 	 157.12941721899773 1.9056891117417734 
schools 	 301.0671344444805 1.8198722285464275 
youth 	 352.8809689026691 1.8198722285464275 
organizations 	 241.39302703018666 1.8198722285464275 
welcome 	 324.00410866083394 1.8198722285464275 
encouraged 	 469.5238028834232 1.8198722285464275 
tour 	 374.62644252005634 1.8198722285464275 
arrangements 	 401.63659288354785 1.8198722285464275 
calling 	 346.47922655259487 1.8198722285464275 
superintendent 	 592.5683792142515 1.8198722285464275 
gordon 	 489.9438172443461 1.8198722285464275 
eddington 	 670.2008634369654 1.8198722285464275 
business 	 101.78139613077673 1.8198722285464275 
hours 	 293.06373047848024 1.8198722285464275 
composting 	 547.156287106137 1.8198722285464275 
biosolids 	 670.2008634369654 1.8198722285464275 
process 	 87.64535768187318 1.9056891117417734 
mar2 	 335.1004317184827 1.9056891117417734 
htm 	 10.49696179036175 1.9721147894341744 
saves 	 547.156287106137 1.8198722285464275 
land 	 254.28079196608286 1.8198722285464275 
fill 	 412.3113330216322 1.8198722285464275 
space 	 234.31699004857515 1.8198722285464275 
money 	 211.63427246809005 1.8198722285464275 
creates 	 412.3113330216322 1.8198722285464275 
clean 	 374.62644252005634 1.8198722285464275 
soil 	 452.25892674277026 1.8198722285464275 
enhancement 	 469.5238028834232 1.8198722285464275 
product 	 144.63337834540195 1.9056891117417734 
mar3 	 335.1004317184827 1.9056891117417734 
sale 	 340.423697770324 1.8198722285464275 
contacting 	 469.5238028834232 1.8198722285464275 
marsend 	 335.1004317184827 1.9056891117417734 
lead 	 275.24848467995525 1.8198722285464275 
page 	 54.977981782823896 1.8198722285464275 
top 	 26.15424765625429 1.9517058907864953 
mail 	 197.61600045724137 1.8198722285464275 
fax 	 265.7780572208122 1.8198722285464275 
marfax 	 670.2008634369654 1.8198722285464275 
copyright 	 87.35211448436424 1.8198722285464275 
spider 	 592.5683792142515 1.8198722285464275 
graphics 	 340.423697770324 1.8198722285464275 
corporation 	 248.94645047928634 1.8198722285464275 
http 	 49.14098965525433 1.8198722285464275 
www 	 48.704341928700714 1.8198722285464275 
spidergraphics 	 670.2008634369654 1.8198722285464275 
com 	 54.05994385595589 1.8198722285464275 
line 	 182.24947484773105 1.8198722285464275 
updated 	 119.9835162345275 1.8198722285464275 
june 	 234.31699004857515 1.8198722285464275 
