term 	 tf-idf weight 	 BM25 ranking 
 sir 	 279.1853038087549 1.838350914561472 
ced 	 1190.803319856751 1.7008782109410054 
logo 	 494.9983151249213 1.7008782109410054 
cedlogo 	 1190.803319856751 1.7008782109410054 
gif 	 68.77074065933549 1.7008782109410054 
software 	 46.530883968125806 1.9711128251809082 
included 	 456.7163084880776 1.7008782109410054 
rom 	 914.9307419938926 1.7008782109410054 
special 	 328.98738513977105 1.7008782109410054 
edition 	 696.3068965489389 1.7008782109410054 
located 	 527.6946223318853 1.7008782109410054 
naturally 	 914.9307419938926 1.7008782109410054 
software_ 	 526.4335154626609 1.838350914561472 
directory 	 188.38890724171083 1.9157715961689257 
top 	 185.881974414093 1.7008782109410054 
level 	 295.3411954610282 1.7008782109410054 
organized 	 275.1235153539895 1.838350914561472 
package 	 217.300443279137 1.88925017505518 
containing 	 680.378397721905 1.7008782109410054 
application 	 342.53002432552915 1.7008782109410054 
associated 	 489.0575754581348 1.7008782109410054 
files 	 201.61998766754306 1.88925017505518 
main_ 	 1190.803319856751 1.7008782109410054 
run 	 228.3581542440388 1.838350914561472 
file 	 558.3706076175098 1.7008782109410054 
manager 	 604.8599630026292 1.7008782109410054 
browse 	 972.1794744117971 1.7008782109410054 
directories 	 1190.803319856751 1.7008782109410054 
briefly 	 834.243185480368 1.7008782109410054 
multispec_ 	 1190.803319856751 1.7008782109410054 
imaging 	 604.8599630026292 1.7008782109410054 
information 	 165.29829255169287 1.7008782109410054 
access 	 428.90368195542095 1.7008782109410054 
www 	 86.53717896260216 1.7008782109410054 
site 	 396.9954945904603 1.7008782109410054 
http 	 43.65650420265898 1.838350914561472 
dynamo 	 526.4335154626609 1.838350914561472 
ecn 	 132.33260508770186 1.838350914561472 
purdue 	 486.08973720589853 1.838350914561472 
edu 	 108.81192167031094 1.838350914561472 
biehl 	 595.4016599283755 1.838350914561472 
multispec 	 396.9344399522503 1.88925017505518 
requested 	 713.6221605698752 1.7008782109410054 
register 	 665.6309112633145 1.7008782109410054 
copy 	 639.0581641310345 1.7008782109410054 
website 	 604.8599630026292 1.7008782109410054 
netscape 	 417.121592740184 1.838350914561472 
world 	 220.63905253972175 1.7008782109410054 
wide 	 424.62394711644924 1.7008782109410054 
web 	 408.37001894461 1.7008782109410054 
browser 	 914.9307419938926 1.7008782109410054 
guided 	 401.7836000973718 1.838350914561472 
tour 	 332.81545563165724 1.838350914561472 
installation 	 232.10229884964627 1.88925017505518 
instructions 	 244.19629545031194 1.88925017505518 
readme 	 396.9344399522503 1.88925017505518 
txt 	 396.9344399522503 1.88925017505518 
available 	 103.81801296840929 1.88925017505518 
quicktime 	 396.9344399522503 1.88925017505518 
movie 	 870.525175282365 1.7008782109410054 
player_ 	 1190.803319856751 1.7008782109410054 
program 	 46.96062639096656 1.9320449019913957 
running 	 651.901329837411 1.7008782109410054 
movies 	 834.243185480368 1.7008782109410054 
quicktim 	 1190.803319856751 1.7008782109410054 
picture 	 594.6525974195067 1.7008782109410054 
viewer_ 	 1190.803319856751 1.7008782109410054 
read 	 542.442108790476 1.7008782109410054 
display 	 753.5556289668433 1.7008782109410054 
macintosh 	 914.9307419938926 1.7008782109410054 
pict 	 1190.803319856751 1.7008782109410054 
movie_ 	 1190.803319856751 1.7008782109410054 
listed 	 713.6221605698752 1.7008782109410054 
sigma0 	 238.16066397135017 1.9320449019913957 
pc_ 	 1190.803319856751 1.7008782109410054 
written 	 219.12573726206313 1.7008782109410054 
jet 	 292.47167737489485 1.838350914561472 
propulsion 	 356.8110802849376 1.838350914561472 
laboratory 	 319.52908206551723 1.838350914561472 
jpl 	 186.12353587250323 1.88925017505518 
viewing 	 651.901329837411 1.7008782109410054 
analyzing 	 615.6193400354141 1.7008782109410054 
radar 	 575.6858716384461 1.7008782109410054 
data 	 167.14718315456057 1.838350914561472 
especially 	 345.35276668892845 1.7008782109410054 
compressed 	 1052.8670309253218 1.7008782109410054 
stokes 	 914.9307419938926 1.7008782109410054 
image 	 360.1002531475191 1.7008782109410054 
detailed 	 420.43431868608064 1.7008782109410054 
look 	 318.7800195566485 1.7008782109410054 
sigmause 	 1190.803319856751 1.7008782109410054 
htm 	 26.11119245352485 1.9320449019913957 
sigma0_ 	 1190.803319856751 1.7008782109410054 
please 	 354.06948859794863 1.7008782109410054 
note 	 542.442108790476 1.7008782109410054 
time 	 189.74617349965624 1.7008782109410054 
writing 	 424.62394711644924 1.7008782109410054 
beta 	 914.9307419938926 1.7008782109410054 
version 	 150.60082619419788 1.88925017505518 
contains 	 575.6858716384461 1.7008782109410054 
bugs 	 1052.8670309253218 1.7008782109410054 
provides 	 354.06948859794863 1.7008782109410054 
guarantees 	 753.5556289668433 1.7008782109410054 
fitness 	 870.525175282365 1.7008782109410054 
particular 	 376.02875197455285 1.7008782109410054 
purpose 	 376.02875197455285 1.7008782109410054 
unfortunately 	 713.6221605698752 1.7008782109410054 
nih 	 595.4016599283755 1.838350914561472 
image_ 	 595.4016599283755 1.838350914561472 
provided 	 456.7163084880776 1.7008782109410054 
main 	 357.0620261934922 1.7008782109410054 
reason 	 466.92367407120014 1.7008782109410054 
exists 	 651.901329837411 1.7008782109410054 
windows 	 713.6221605698752 1.7008782109410054 
reference 	 477.683051103985 1.7008782109410054 
section 	 507.43986616420676 1.7008782109410054 
map 	 527.6946223318853 1.7008782109410054 
frequently 	 513.9650409059819 1.7008782109410054 
questions 	 321.28319721581363 1.7008782109410054 
faq 	 696.3068965489389 1.7008782109410054 
howtouse 	 1190.803319856751 1.7008782109410054 
guidtour 	 1190.803319856751 1.7008782109410054 
converted 	 803.5672001947436 1.7008782109410054 
ibm 	 615.6193400354141 1.7008782109410054 
wong 	 486.08973720589853 1.838350914561472 
nasa 	 513.9650409059819 1.7008782109410054 
gov 	 461.75455227695124 1.7008782109410054 
oak 	 803.5672001947436 1.7008782109410054 
grove 	 914.9307419938926 1.7008782109410054 
drive 	 604.8599630026292 1.7008782109410054 
pasadena 	 1052.8670309253218 1.7008782109410054 
