term 	 tf-idf weight 	 BM25 ranking 
 project 	 307.9645305476501 1.7797983399694934 
status 	 115.72420582806016 1.883484969183682 
report 	 73.60346155973707 1.9207850235521318 
mission 	 183.16483154905015 1.883484969183682 
period 	 269.289057819708 1.7797983399694934 
day 	 97.21715013868203 1.883484969183682 
hrs 	 170.98633972066781 1.9399946018893386 
elapsed 	 837.7510792962067 1.7797983399694934 
time 	 66.74488515063285 1.883484969183682 
summary 	 287.295490714801 1.7797983399694934 
operations 	 304.8183307283619 1.7797983399694934 
continued 	 321.30795572025556 1.7797983399694934 
smoothly 	 612.4297715554326 1.7797983399694934 
decision 	 249.09411258147142 1.7797983399694934 
continue 	 324.85244883805615 1.7797983399694934 
interferometry 	 370.3552370089072 1.883484969183682 
data 	 78.39398874920764 1.9207850235521318 
takes 	 348.2400206908994 1.7797983399694934 
allow 	 340.00235068768876 1.7797983399694934 
orbit 	 515.3891662770403 1.7797983399694934 
slowly 	 546.6292634610296 1.7797983399694934 
drifting 	 837.7510792962067 1.7797983399694934 
develop 	 157.23866636826756 1.883484969183682 
set 	 207.77772544996958 1.7797983399694934 
variety 	 292.89623756071893 1.7797983399694934 
baselines 	 837.7510792962067 1.7797983399694934 
tests 	 418.34856099864794 1.7797983399694934 
run 	 321.30795572025556 1.7797983399694934 
help 	 240.9758965104225 1.7797983399694934 
confidence 	 433.0990331907436 1.7797983399694934 
recorded 	 119.66454231289788 1.9399946018893386 
occupying 	 740.7104740178144 1.7797983399694934 
position 	 67.72905008491693 1.9207850235521318 
phrr 	 837.7510792962067 1.7797983399694934 
spare 	 341.97267944133563 1.883484969183682 
recorder 	 341.97267944133563 1.883484969183682 
power 	 201.68980977840613 1.7797983399694934 
supply 	 344.06060584994407 1.7797983399694934 
replace 	 468.2830531500705 1.7797983399694934 
original 	 344.06060584994407 1.7797983399694934 
determined 	 411.51793801492744 1.7797983399694934 
recording 	 546.6292634610296 1.7797983399694934 
properly 	 449.5886581826373 1.7797983399694934 
cross 	 381.6175639731992 1.7797983399694934 
speed 	 441.1012111283364 1.7797983399694934 
playback 	 837.7510792962067 1.7797983399694934 
tracking 	 565.3236584284629 1.7797983399694934 
tapes 	 214.55662291314064 1.9207850235521318 
sir 	 130.94118101583143 1.9207850235521318 
electronics 	 565.3236584284629 1.7797983399694934 
switched 	 683.9453588826713 1.7797983399694934 
backup 	 837.7510792962067 1.7797983399694934 
units 	 425.529622212905 1.7797983399694934 
evaluate 	 478.6581692515915 1.7797983399694934 
health 	 224.26735044186324 1.7797983399694934 
engineering 	 392.8235430474943 1.7797983399694934 
check 	 371.2424478716781 1.7797983399694934 
sar 	 229.3120255709486 1.883484969183682 
shut 	 612.4297715554326 1.7797983399694934 
met 	 152.40916536418095 1.883484969183682 
crew 	 546.6292634610296 1.7797983399694934 
descent 	 643.669868739422 1.7797983399694934 
landing 	 341.97267944133563 1.883484969183682 
preparations 	 643.669868739422 1.7797983399694934 
include 	 119.50891131697946 1.883484969183682 
stowing 	 418.87553964810337 1.883484969183682 
band 	 433.0990331907436 1.7797983399694934 
communications 	 149.97939529315937 1.7797983399694934 
antenna 	 643.669868739422 1.7797983399694934 
closing 	 586.904753604279 1.7797983399694934 
cargo 	 565.3236584284629 1.7797983399694934 
bay 	 405.0051358260425 1.7797983399694934 
doors 	 612.4297715554326 1.7797983399694934 
cameras 	 586.904753604279 1.7797983399694934 
film 	 173.46058132535165 1.7797983399694934 
items 	 458.6240511418972 1.7797983399694934 
unclear 	 449.5886581826373 1.7797983399694934 
kennedy 	 209.17428049932397 1.883484969183682 
space 	 292.89623756071893 1.7797983399694934 
center 	 217.43672745814274 1.7797983399694934 
dryden 	 740.7104740178144 1.7797983399694934 
facility 	 392.8235430474943 1.7797983399694934 
weather 	 411.51793801492744 1.7797983399694934 
expected 	 352.5480529042449 1.7797983399694934 
marginal 	 643.669868739422 1.7797983399694934 
final 	 332.22257152601526 1.7797983399694934 
science 	 153.10220134516112 1.7797983399694934 
press 	 227.8118435596638 1.7797983399694934 
briefing 	 740.7104740178144 1.7797983399694934 
held 	 264.5428405851126 1.7797983399694934 
emphasis 	 298.73041505679845 1.7797983399694934 
results 	 242.96174540929638 1.7797983399694934 
detection 	 612.4297715554326 1.7797983399694934 
change 	 224.26735044186324 1.7797983399694934 
april 	 292.89623756071893 1.7797983399694934 
october 	 301.7412837877333 1.7797983399694934 
flights 	 612.4297715554326 1.7797983399694934 
valley 	 468.2830531500705 1.7797983399694934 
caldera 	 740.7104740178144 1.7797983399694934 
california 	 361.5834458635049 1.7797983399694934 
kiluaea 	 418.87553964810337 1.883484969183682 
hawaii 	 565.3236584284629 1.7797983399694934 
changes 	 231.44841165612033 1.7797983399694934 
appear 	 398.7818890661257 1.7797983399694934 
substantiated 	 683.9453588826713 1.7797983399694934 
independent 	 264.5428405851126 1.7797983399694934 
gps 	 643.669868739422 1.7797983399694934 
measurements 	 565.3236584284629 1.7797983399694934 
anomalies 	 643.669868739422 1.7797983399694934 
