term 	 tf-idf weight 	 BM25 ranking 
 honors 	 20.955383683791748 1.9899893821617591 
designations 	 295.2075231805681 1.916447556465019 
illinois 	 363.7212118985123 1.7686707901398855 
university 	 118.42058888339997 1.916447556465019 
recognizes 	 530.7340691675454 1.7686707901398855 
students 	 122.7131501482217 1.916447556465019 
accomplishments 	 620.4421680959521 1.7686707901398855 
designating 	 885.6225695417043 1.7686707901398855 
credit 	 71.05235333003998 1.9490165759471318 
transcripts 	 885.6225695417043 1.7686707901398855 
grade 	 475.27943865021655 1.7686707901398855 
reports 	 377.3924632779025 1.7686707901398855 
completed 	 435.03324875863757 1.7686707901398855 
choose 	 449.84560062507103 1.7686707901398855 
earn 	 647.4257585014574 1.7686707901398855 
recognition 	 428.14828644467343 1.7686707901398855 
complete 	 328.96495241905694 1.7686707901398855 
requirements 	 65.1125007443603 1.9490165759471318 
following 	 109.00768128860518 1.8772356500518168 
certificate 	 272.4199878892927 1.8772356500518168 
cumulative 	 310.22108404797603 1.8772356500518168 
gpa 	 323.7128792507287 1.8772356500518168 
semesters 	 391.51839340941615 1.8772356500518168 
participation 	 134.47476063817496 1.916447556465019 
program 	 87.3137274605911 1.8772356500518168 
minimum 	 196.228151017887 1.8772356500518168 
hours 	 193.63139335185303 1.8772356500518168 
coursework 	 442.8112847708521 1.8772356500518168 
grades 	 310.22108404797603 1.8772356500518168 
acceptable 	 237.63971932510827 1.8772356500518168 
including 	 64.97131970220913 1.8772356500518168 
colloquium 	 442.8112847708521 1.8772356500518168 
crswork 	 221.40564238542606 1.9366742901239224 
colloquia 	 442.8112847708521 1.8772356500518168 
notify 	 680.4510040959603 1.7686707901398855 
office 	 121.36968355367948 1.8772356500518168 
soon 	 387.26278670370607 1.7686707901398855 
met 	 322.23652105569687 1.7686707901398855 
designation 	 261.0122622729441 1.916447556465019 
recorded 	 253.00503231869837 1.8772356500518168 
student's 	 340.22550204798017 1.8772356500518168 
transcript 	 442.8112847708521 1.8772356500518168 
awarded 	 517.8563853730802 1.7686707901398855 
scholar 	 310.22108404797603 1.8772356500518168 
experiences 	 372.69365592734465 1.7686707901398855 
undergraduate 	 620.4421680959521 1.7686707901398855 
research 	 169.85284731288542 1.7686707901398855 
urp 	 885.6225695417043 1.7686707901398855 
ids 	 298.8139337407589 1.8772356500518168 
departmental 	 156.60735736376648 1.9490165759471318 
mentorship 	 442.8112847708521 1.8772356500518168 
applications 	 347.2598179021991 1.7686707901398855 
submitted 	 506.01006463739674 1.7686707901398855 
prior 	 347.2598179021991 1.7686707901398855 
graduation 	 885.6225695417043 1.7686707901398855 
semester 	 647.4257585014574 1.7686707901398855 
diploma 	 620.4421680959521 1.7686707901398855 
specific 	 79.8209511664083 1.8772356500518168 
major 	 99.12635823439052 1.8772356500518168 
department 	 284.6770039808341 1.7686707901398855 
range 	 336.01390366946663 1.7686707901398855 
departments 	 517.8563853730802 1.7686707901398855 
sequence 	 647.4257585014574 1.7686707901398855 
courses 	 517.8563853730802 1.7686707901398855 
sections 	 506.01006463739674 1.7686707901398855 
writing 	 315.8007244886155 1.7686707901398855 
defending 	 680.4510040959603 1.7686707901398855 
thesis 	 506.01006463739674 1.7686707901398855 
independent 	 279.65957433283324 1.7686707901398855 
study 	 179.5612451207858 1.7686707901398855 
ihs 	 885.6225695417043 1.7686707901398855 
names 	 466.30699462138415 1.7686707901398855 
current 	 208.5653447232035 1.7686707901398855 
coordinators 	 885.6225695417043 1.7686707901398855 
available 	 231.6341595878077 1.7686707901398855 
