term 	 tf-idf weight 	 BM25 ranking 
 dirtbalx 	 1669.5182223117263 1.604412912304261 
gif 	 8.765206324328279 1.9561533743193438 
befaft 	 1669.5182223117263 1.604412912304261 
bubbles1 	 1669.5182223117263 1.604412912304261 
ball1x 	 1669.5182223117263 1.604412912304261 
ballx 	 1669.5182223117263 1.604412912304261 
logox 	 1669.5182223117263 1.604412912304261 
profile 	 215.77612546467404 1.8838769334318122 
html 	 12.181428305466344 1.9466694977867431 
ddcs 	 1669.5182223117263 1.604412912304261 
danduct 	 417.37955557793157 1.8838769334318122 
clients 	 187.49493417412955 1.8838769334318122 
enquirie 	 1669.5182223117263 1.604412912304261 
enquiry 	 834.7591111558631 1.7804984626787141 
blood 	 863.1045018586962 1.604412912304261 
vessels 	 1089.354032183052 1.604412912304261 
ones 	 895.9659688068272 1.604412912304261 
clog 	 1669.5182223117263 1.604412912304261 
age 	 541.5069185858866 1.604412912304261 
buildings 	 176.08209420582017 1.921056767242439 
suffer 	 1089.354032183052 1.604412912304261 
similar 	 551.4722636318667 1.604412912304261 
fate 	 976.2292670208741 1.604412912304261 
fall 	 578.0638037972734 1.604412912304261 
sick 	 181.55900536384198 1.921056767242439 
air 	 52.12123947355228 1.9627734506876693 
ducts 	 556.5060741039088 1.8481089208908343 
choked 	 1669.5182223117263 1.604412912304261 
accumulated 	 1220.4850447426122 1.604412912304261 
dirt 	 1476.1301589355014 1.604412912304261 
dust 	 610.2425223713061 1.7804984626787141 
buildings_ 	 1669.5182223117263 1.604412912304261 
essentially 	 879.0516993200417 1.604412912304261 
modern 	 468.6840613077628 1.604412912304261 
central 	 488.2025075290908 1.604412912304261 
conditioned 	 454.3351312577745 1.8481089208908343 
designed 	 263.59804472588 1.7804984626787141 
built 	 739.8331639728442 1.604412912304261 
save 	 933.221227349069 1.604412912304261 
energy 	 595.3270414346198 1.604412912304261 
costs 	 595.3270414346198 1.604412912304261 
little 	 647.3845230415548 1.604412912304261 
consideration 	 820.096462186891 1.604412912304261 
respiratory 	 1282.7420955592768 1.604412912304261 
inhabitants 	 1126.6092907252937 1.604412912304261 
stale 	 1669.5182223117263 1.604412912304261 
excessive 	 1000.5054412009808 1.604412912304261 
bacteria 	 584.8086651985494 1.7804984626787141 
gases 	 1363.0053937733235 1.604412912304261 
environment 	 169.72994735145923 1.8481089208908343 
protection 	 561.8067784306842 1.604412912304261 
agency 	 589.4531402684246 1.604412912304261 
epa 	 1282.7420955592768 1.604412912304261 
consistently 	 1220.4850447426122 1.604412912304261 
ranks 	 1169.6173303970988 1.604412912304261 
poor 	 208.90279960355548 1.8481089208908343 
indoor 	 681.5026968866617 1.7804984626787141 
quality 	 151.86484691645174 1.8838769334318122 
iaq 	 556.5060741039088 1.8481089208908343 
major 	 124.57772048376106 1.8481089208908343 
health 	 223.46639561885658 1.7804984626787141 
concern 	 626.7083988106664 1.604412912304261 
studies 	 298.8875091913676 1.604412912304261 
hidden 	 1000.5054412009808 1.604412912304261 
eyes 	 410.0482310934455 1.7804984626787141 
sealed 	 681.5026968866617 1.7804984626787141 
dusts 	 1669.5182223117263 1.604412912304261 
dirty 	 681.5026968866617 1.7804984626787141 
heating 	 1169.6173303970988 1.604412912304261 
ventilation 	 738.0650794677507 1.7804984626787141 
conditioning 	 1089.354032183052 1.604412912304261 
systems 	 220.02177616249978 1.7804984626787141 
causes 	 613.7293144485312 1.604412912304261 
perfect 	 1027.0969813663874 1.604412912304261 
breeding 	 1220.4850447426122 1.604412912304261 
grounds 	 1089.354032183052 1.604412912304261 
micro 	 1126.6092907252937 1.604412912304261 
organisms 	 1363.0053937733235 1.604412912304261 
fungus 	 1476.1301589355014 1.604412912304261 
building 	 183.8240878772889 1.8481089208908343 
syndrome_ 	 1669.5182223117263 1.604412912304261 
syndrome 	 528.2462826174605 1.7804984626787141 
sbs 	 492.04338631183384 1.8481089208908343 
disease 	 730.0426857455 1.604412912304261 
widely 	 848.0197471242892 1.604412912304261 
known 	 509.18984205437766 1.604412912304261 
pervasive 	 1669.5182223117263 1.604412912304261 
ailment 	 1669.5182223117263 1.604412912304261 
caused 	 771.4518671734982 1.604412912304261 
accorded 	 1220.4850447426122 1.604412912304261 
priority 	 933.221227349069 1.604412912304261 
world 	 309.3381691386048 1.604412912304261 
organisation 	 1169.6173303970988 1.604412912304261 
view 	 457.59650961454827 1.604412912304261 
people 	 326.9187871628216 1.604412912304261 
potentially 	 1089.354032183052 1.604412912304261 
risk 	 662.0721246839875 1.604412912304261 
characterised 	 1669.5182223117263 1.604412912304261 
nose 	 1669.5182223117263 1.604412912304261 
throat 	 1669.5182223117263 1.604412912304261 
irritation 	 1669.5182223117263 1.604412912304261 
mental 	 374.9898683482591 1.7804984626787141 
fatique 	 1669.5182223117263 1.604412912304261 
headaches 	 1476.1301589355014 1.604412912304261 
body 	 595.3270414346198 1.604412912304261 
aches 	 1669.5182223117263 1.604412912304261 
surveys 	 1089.354032183052 1.604412912304261 
suggested 	 807.1173778247561 1.604412912304261 
cause 	 702.5779054306024 1.604412912304261 
absenteeism 	 1476.1301589355014 1.604412912304261 
reduced 	 848.0197471242892 1.604412912304261 
efficiency 	 771.4518671734982 1.604412912304261 
office 	 457.59650961454827 1.604412912304261 
workers 	 334.8582192412357 1.7804984626787141 
resulting 	 685.6636359438171 1.604412912304261 
lost 	 730.0426857455 1.604412912304261 
hours 	 730.0426857455 1.604412912304261 
similarly 	 1056.492565234921 1.604412912304261 
survey 	 677.5761131561798 1.604412912304261 
conducted 	 385.7259335867491 1.7804984626787141 
singapore 	 1363.0053937733235 1.604412912304261 
november 	 669.7164384824714 1.604412912304261 
july 	 647.3845230415548 1.604412912304261 
revealed 	 953.8973515799573 1.604412912304261 
incidences 	 1669.5182223117263 1.604412912304261 
physical 	 527.19608945176 1.604412912304261 
stress 	 820.096462186891 1.604412912304261 
study 	 338.49721208580564 1.604412912304261 
commercial 	 640.3208546139379 1.604412912304261 
offices 	 327.31584187403223 1.7804984626787141 
nus 	 1669.5182223117263 1.604412912304261 
