term 	 tf-idf weight 	 BM25 ranking 
 sub 	 123.06813035890656 1.9441610360664963 
themes 	 182.38235927205093 1.891355373814561 
processes 	 167.87802843662726 1.891355373814561 
organism 	 343.90129150827096 1.891355373814561 
level_ 	 388.9558582446674 1.891355373814561 
adaptive 	 343.90129150827096 1.891355373814561 
evolution_ 	 388.9558582446674 1.891355373814561 
energetics 	 343.90129150827096 1.891355373814561 
life 	 80.53526990105613 1.891355373814561 
history 	 35.78686663827664 1.9441610360664963 
adaptations 	 79.38651487031007 1.9716852514778698 
ecological 	 123.06813035890656 1.9441610360664963 
genetics 	 298.8467247718745 1.891355373814561 
biochemical 	 317.54605948124026 1.891355373814561 
trophic 	 388.9558582446674 1.891355373814561 
interactions 	 272.4914927448438 1.891355373814561 
physiological 	 262.471698556072 1.891355373814561 
nutrient 	 298.8467247718745 1.891355373814561 
dynamics 	 170.08162929554658 1.891355373814561 
morphological 	 388.9558582446674 1.891355373814561 
scale 	 191.06189979264488 1.891355373814561 
patterns 	 154.2461939227928 1.891355373814561 
processes_ 	 388.9558582446674 1.891355373814561 
term 	 63.653999173441335 1.9441610360664963 
change_ 	 388.9558582446674 1.891355373814561 
faunal 	 388.9558582446674 1.891355373814561 
floral 	 388.9558582446674 1.891355373814561 
climate 	 77.1230969613964 1.9441610360664963 
change 	 104.12412699086508 1.891355373814561 
speciation 	 388.9558582446674 1.891355373814561 
micro 	 262.471698556072 1.891355373814561 
evolution 	 149.1786937272615 1.891355373814561 
decadal 	 388.9558582446674 1.891355373814561 
variability 	 284.3423939364509 1.891355373814561 
colonisation 	 388.9558582446674 1.891355373814561 
recruitment 	 246.13626071781312 1.891355373814561 
increasing 	 154.2461939227928 1.891355373814561 
community 	 100.18352657279681 1.891355373814561 
development 	 75.63755648033998 1.891355373814561 
research 	 74.59753429282131 1.891355373814561 
human 	 100.18352657279681 1.891355373814561 
impact_ 	 388.9558582446674 1.891355373814561 
environmental 	 73.00366652812423 1.9441610360664963 
monitoring 	 233.0926655127733 1.891355373814561 
session 	 201.08169398141666 1.891355373814561 
papers 	 194.23326046365796 1.891355373814561 
management 	 54.159565432403596 1.9441610360664963 
fit 	 201.08169398141666 1.891355373814561 
categories 	 217.41713181967557 1.891355373814561 
living 	 142.9835320399804 1.891355373814561 
resources 	 121.74905707340214 1.891355373814561 
pollution 	 227.4369260084474 1.891355373814561 
ecotoxicology 	 388.9558582446674 1.891355373814561 
introduced 	 201.08169398141666 1.891355373814561 
biota 	 388.9558582446674 1.891355373814561 
