term 	 tf-idf weight 	 BM25 ranking 
 offline 	 267.5827597188169 1.9021652833981955 
programming 	 238.32071228980732 1.8791841028797138 
robot 	 54.34796037973506 1.968362665880893 
calibration 	 457.47129455047815 1.8240893549191826 
car 	 173.4408506806812 1.887956995886736 
industry 	 1376.9104701782244 1.128986656379467 
major 	 584.7115590447495 1.4432617078473722 
users 	 2608.702098227283 1.128986656379467 
robots 	 509.1088112958322 1.7721331733049832 
traditionally 	 3408.6239071534205 1.128986656379467 
companies 	 316.7933365784047 1.7721331733049832 
product 	 2254.7310588488554 1.128986656379467 
unique 	 2171.52527187968 1.128986656379467 
starts 	 3818.937075484948 1.128986656379467 
mass 	 988.1539526380914 1.128986656379467 
produced 	 2314.961835656964 1.128986656379467 
sheet 	 3525.196812914629 1.128986656379467 
metal 	 3818.937075484948 1.128986656379467 
complexity 	 3054.6528677749934 1.128986656379467 
requires 	 2226.1055435243843 1.128986656379467 
intensive 	 3305.799317025398 1.128986656379467 
advanced 	 1099.194464947878 1.4432617078473722 
automation 	 3818.937075484948 1.128986656379467 
techniques 	 435.3983250973264 1.6766215644406044 
short 	 1725.57450233197 1.128986656379467 
set 	 431.8808436138653 1.5908789089820932 
time 	 166.48081353286423 1.7326517868610356 
north 	 1540.346146421176 1.128986656379467 
america 	 854.9221735140659 1.4432617078473722 
three' 	 5223.976373039917 1.128986656379467 
makers 	 2859.8485474776876 1.128986656379467 
chrysler 	 4264.887845032657 1.128986656379467 
ford 	 3130.61379988694 1.128986656379467 
motors 	 3408.6239071534205 1.128986656379467 
based 	 358.0307120680203 1.5908789089820932 
detroit 	 1337.9137985940843 1.5908789089820932 
continent 	 3408.6239071534205 1.128986656379467 
spent 	 2700.6818283965654 1.128986656379467 
past 	 751.3284201914245 1.4432617078473722 
investing 	 3525.196812914629 1.128986656379467 
heavily 	 3213.8195868561156 1.128986656379467 
simulation 	 97.22939167721758 1.9556245707136455 
urgency 	 4618.8588844110855 1.128986656379467 
exerted 	 3659.770356403825 1.128986656379467 
unexpected 	 4013.7413957822528 1.128986656379467 
demand 	 2095.564339767733 1.128986656379467 
popular 	 1982.0279588070566 1.128986656379467 
models 	 549.597232473939 1.6766215644406044 
upturn 	 5223.976373039917 1.128986656379467 
consumer 	 2095.564339767733 1.128986656379467 
spending 	 2920.0793242857967 1.128986656379467 
cars 	 1527.3264338874967 1.4432617078473722 
created 	 270.16467581592536 1.7721331733049832 
pressure 	 2198.388929895756 1.128986656379467 
cooker 	 5223.976373039917 1.128986656379467 
atmosphere 	 2700.6818283965654 1.128986656379467 
production 	 213.37542473658613 1.8420917744941456 
lines 	 2120.157515359659 1.128986656379467 
designed 	 549.871190073341 1.5908789089820932 
built 	 2314.961835656964 1.128986656379467 
running 	 1429.9242737388438 1.4432617078473722 
weeks 	 2379.6580953471635 1.128986656379467 
months 	 1900.760019470428 1.128986656379467 
