term 	 tf-idf weight 	 BM25 ranking 
 national 	 103.14730207768822 1.8518896401897524 
arbor 	 197.94605116345232 1.9230972983935484 
day 	 62.843943482505175 1.9230972983935484 
foundation 	 230.770391396285 1.8518896401897524 
images 	 86.26454736436156 1.9230972983935484 
weblogo_small 	 791.7842046538093 1.7242034439546565 
gif 	 10.425045275828914 1.9480658866587863 
awards 	 190.09361717673545 1.8987606609714227 
blank 	 832.1731874416813 1.7242034439546565 
celebration 	 379.39200143705176 1.8518896401897524 
award 	 275.07450578762786 1.8518896401897524 
lower 	 135.52475529836394 1.8987606609714227 
umpqua 	 270.7731167010954 1.9230972983935484 
tree 	 90.47490902753621 1.955319299094317 
plant 	 177.3446351921473 1.8987606609714227 
reedsport 	 270.7731167010954 1.9230972983935484 
oregon 	 277.39106248056044 1.8987606609714227 
surrounding 	 450.2245981789485 1.7242034439546565 
communities 	 500.47594250323715 1.7242034439546565 
held 	 114.00536701406041 1.8987606609714227 
annual 	 532.0339055764418 1.7242034439546565 
school 	 112.02704770373997 1.8987606609714227 
april 	 378.67299284635806 1.7242034439546565 
fifth 	 316.66218159637674 1.8518896401897524 
sixth 	 666.3245649724593 1.7242034439546565 
seventh 	 342.69740915326287 1.8518896401897524 
graders 	 395.89210232690465 1.8518896401897524 
planted 	 416.08659372084065 1.8518896401897524 
trees 	 197.64512680162716 1.8987606609714227 
helping 	 540.8649252911091 1.7242034439546565 
timers 	 1083.0924668043815 1.7242034439546565 
plantings 	 1083.0924668043815 1.7242034439546565 
past 	 103.84913635330113 1.8987606609714227 
including 	 158.91633602837638 1.7242034439546565 
continued 	 415.405285609759 1.7242034439546565 
continually 	 884.2436425554536 1.7242034439546565 
running 	 592.9353804048815 1.7242034439546565 
treeplant 	 541.5462334021908 1.8518896401897524 
united 	 249.55666314053695 1.7242034439546565 
program's 	 1083.0924668043815 1.7242034439546565 
gardiner 	 1083.0924668043815 1.7242034439546565 
elkton 	 1083.0924668043815 1.7242034439546565 
ash 	 957.6328271230315 1.7242034439546565 
valley 	 605.4230901440196 1.7242034439546565 
schools 	 486.54599405759785 1.7242034439546565 
quarters 	 791.7842046538093 1.7242034439546565 
sites 	 246.68849671124664 1.8518896401897524 
marked 	 791.7842046538093 1.7242034439546565 
signs 	 633.3243631927535 1.7242034439546565 
located 	 479.9634504626696 1.7242034439546565 
various 	 221.1389846059876 1.7242034439546565 
private 	 348.1522818954796 1.7242034439546565 
public 	 195.23773190702573 1.7242034439546565 
ownerships 	 1083.0924668043815 1.7242034439546565 
ranging 	 581.2539080789811 1.7242034439546565 
logged 	 957.6328271230315 1.7242034439546565 
tracts 	 1083.0924668043815 1.7242034439546565 
abandoned 	 1083.0924668043815 1.7242034439546565 
farmsteads 	 1083.0924668043815 1.7242034439546565 
forest 	 296.46769020244074 1.8518896401897524 
fire 	 507.8647235114033 1.7242034439546565 
burn 	 884.2436425554536 1.7242034439546565 
extra 	 605.4230901440196 1.7242034439546565 
community 	 69.74314734490855 1.9230972983935484 
activities 	 324.76495849759846 1.7242034439546565 
commemorate 	 1083.0924668043815 1.7242034439546565 
golden 	 633.3243631927535 1.7242034439546565 
anniversary 	 791.7842046538093 1.7242034439546565 
self 	 327.5283709532711 1.7242034439546565 
guided 	 730.8827298253698 1.7242034439546565 
tour 	 605.4230901440196 1.7242034439546565 
created 	 336.0811431112199 1.7242034439546565 
complete 	 402.31524586384666 1.7242034439546565 
map 	 479.9634504626696 1.7242034439546565 
brochure 	 758.7840028741035 1.7242034439546565 
original 	 444.8212118488563 1.7242034439546565 
planting 	 791.7842046538093 1.7242034439546565 
site 	 361.0863543762478 1.7242034439546565 
rededicated 	 1083.0924668043815 1.7242034439546565 
beautiful 	 884.2436425554536 1.7242034439546565 
sign 	 486.54599405759785 1.7242034439546565 
house 	 324.76495849759846 1.7242034439546565 
gather 	 791.7842046538093 1.7242034439546565 
planters 	 541.5462334021908 1.8518896401897524 
displays 	 791.7842046538093 1.7242034439546565 
discovery 	 592.9353804048815 1.7242034439546565 
center 	 281.1146262137417 1.7242034439546565 
featured 	 730.8827298253698 1.7242034439546565 
memorabilia 	 1083.0924668043815 1.7242034439546565 
educational 	 375.01630282188705 1.7242034439546565 
materials 	 429.51632461577685 1.7242034439546565 
plans 	 314.1148279934475 1.7242034439546565 
developed 	 361.0863543762478 1.7242034439546565 
memory 	 649.0734224278764 1.7242034439546565 
book 	 292.22240550785057 1.7242034439546565 
students 	 450.2245981789485 1.7242034439546565 
involved 	 339.02429738901213 1.7242034439546565 
third 	 367.91735374114313 1.7242034439546565 
generation 	 559.9351786251757 1.7242034439546565 
participating 	 706.7135477603312 1.7242034439546565 
event 	 523.6137827465263 1.7242034439546565 
values 	 406.57426589509186 1.7242034439546565 
represents 	 532.0339055764418 1.7242034439546565 
vital 	 605.4230901440196 1.7242034439546565 
wise 	 685.3948183065257 1.7242034439546565 
truths 	 957.6328271230315 1.7242034439546565 
tradition 	 461.54078279257 1.7242034439546565 
free 	 229.04417109996936 1.7242034439546565 
free_trees_button 	 791.7842046538093 1.7242034439546565 
join 	 157.8706405256099 1.8987606609714227 
free_trees 	 791.7842046538093 1.7242034439546565 
