term 	 tf-idf weight 	 BM25 ranking 
 mediww 	 1071.124594243007 1.7268346873780738 
gif 	 61.859108432266595 1.7268346873780738 
private 	 114.76843178506601 1.8998232955278334 
medical 	 48.749341683411906 1.9558020980367095 
insurance 	 69.22450993096673 1.9486250032984593 
traveller 	 874.4729945714155 1.7268346873780738 
extended 	 526.1550778905143 1.7268346873780738 
stay 	 544.0700169722143 1.7268346873780738 
protection 	 120.1474472390591 1.8998232955278334 
plan 	 53.984878821948 1.9486250032984593 
extendst 	 1071.124594243007 1.7268346873780738 
html 	 17.584481182890933 1.923914725134008 
designed 	 84.55922940131276 1.923914725134008 
period 	 344.30529535519804 1.7268346873780738 
travel 	 181.3566723240714 1.8998232955278334 
offers 	 185.43623813568448 1.8534062626673118 
full 	 102.70163208420388 1.8998232955278334 
accident 	 299.3666661209379 1.8534062626673118 
cover 	 84.95405757593818 1.9386651119254035 
months 	 389.73200857411985 1.7268346873780738 
expatriate 	 437.23649728570774 1.8534062626673118 
expat 	 1071.124594243007 1.7268346873780738 
british 	 439.90606033671423 1.7268346873780738 
subjects 	 574.8312129620863 1.7268346873780738 
residing 	 291.4909981904718 1.8998232955278334 
abroad 	 101.97422591833785 1.9386651119254035 
foreign 	 271.7270410038366 1.7268346873780738 
nationals 	 411.48895180127334 1.8534062626673118 
outside 	 424.7702878796909 1.7268346873780738 
country 	 291.27371426557016 1.7268346873780738 
hold 	 456.4408846401659 1.7268346873780738 
passport 	 874.4729945714155 1.7268346873780738 
renewable 	 473.5256244613885 1.8534062626673118 
usa 	 192.8988921357295 1.8534062626673118 
canada 	 234.18932033771412 1.8534062626673118 
expatusa 	 1071.124594243007 1.7268346873780738 
canadian 	 526.1550778905143 1.7268346873780738 
provides 	 318.48461537202417 1.7268346873780738 
choice 	 415.34705958580037 1.7268346873780738 
benefir 	 1071.124594243007 1.7268346873780738 
levels 	 410.81517195661246 1.7268346873780738 
available 	 280.15212544741604 1.7268346873780738 
quality 	 389.73200857411985 1.7268346873780738 
health 	 286.7418266363823 1.7268346873780738 
care 	 176.9059770431974 1.8534062626673118 
home 	 39.97088022334452 1.8534062626673118 
schemes 	 783.0352079173032 1.7268346873780738 
offer 	 434.71729123640205 1.7268346873780738 
short 	 176.9059770431974 1.8534062626673118 
periods 	 267.44425863842133 1.8534062626673118 
medicus 	 218.61824864285387 1.923914725134008 
ensure 	 481.16979522823215 1.7268346873780738 
clients 	 160.38993174274404 1.8998232955278334 
receive 	 406.39519430293603 1.7268346873780738 
world 	 198.46427339000095 1.7268346873780738 
association 	 347.4184173006226 1.7268346873780738 
crispin 	 535.5622971215035 1.8534062626673118 
speers 	 535.5622971215035 1.8534062626673118 
partners 	 611.998659257392 1.7268346873780738 
csp 	 357.0415314143357 1.8998232955278334 
developed 	 357.09644990800194 1.7268346873780738 
range 	 406.39519430293603 1.7268346873780738 
plans 	 103.54798197205727 1.8998232955278334 
term 	 350.58664160141535 1.7268346873780738 
spent 	 553.7480495795936 1.7268346873780738 
planning 	 424.7702878796909 1.7268346873780738 
occasional 	 947.051248922777 1.7268346873780738 
holidays 	 783.0352079173032 1.7268346873780738 
appropriate 	 429.6747042593634 1.7268346873780738 
overseas 	 219.6539541990243 1.8998232955278334 
arranged 	 874.4729945714155 1.7268346873780738 
international 	 120.75405267495114 1.8534062626673118 
reinsurance 	 1071.124594243007 1.7268346873780738 
brokers 	 822.9779036025467 1.7268346873780738 
specialising 	 1071.124594243007 1.7268346873780738 
niche 	 874.4729945714155 1.7268346873780738 
market 	 169.11845880262553 1.8534062626673118 
speciality 	 1071.124594243007 1.7268346873780738 
programs 	 291.27371426557016 1.7268346873780738 
require 	 487.92531393716183 1.7268346873780738 
secure 	 553.7480495795936 1.7268346873780738 
insurers 	 822.9779036025467 1.7268346873780738 
know 	 445.2497407405071 1.7268346873780738 
understand 	 439.90606033671423 1.7268346873780738 
business 	 162.66848131615208 1.7268346873780738 
situated 	 750.3996492511852 1.7268346873780738 
heart 	 517.8279950918686 1.7268346873780738 
london 	 574.8312129620863 1.7268346873780738 
placed 	 494.94582159159916 1.7268346873780738 
negotiate 	 722.8066775621061 1.7268346873780738 
insuarnce 	 1071.124594243007 1.7268346873780738 
companies 	 389.73200857411985 1.7268346873780738 
addition 	 397.8697735338594 1.7268346873780738 
underwriters 	 535.5622971215035 1.8534062626673118 
lloyds 	 357.0415314143357 1.8998232955278334 
benefit 	 353.8119540863948 1.7268346873780738 
policies 	 335.2781725559844 1.7268346873780738 
underwritten 	 1071.124594243007 1.7268346873780738 
client's 	 783.0352079173032 1.7268346873780738 
contract 	 502.2529586107249 1.7268346873780738 
claims 	 445.2497407405071 1.7268346873780738 
respect 	 424.7702878796909 1.7268346873780738 
handled 	 626.3263039309551 1.7268346873780738 
enables 	 641.9013404120988 1.7268346873780738 
fast 	 598.7333322418758 1.7268346873780738 
responce 	 1071.124594243007 1.7268346873780738 
time 	 170.67620631376116 1.7268346873780738 
medicus's 	 874.4729945714155 1.7268346873780738 
page 	 87.86659588504891 1.7268346873780738 
index 	 77.83997504676275 1.7268346873780738 
