term 	 tf-idf weight 	 BM25 ranking 
 car 	 133.0110532997893 1.9129377623486856 
graphic 	 704.3113061844846 1.6919768291488704 
images 	 98.17954009424575 1.9129377623486856 
gif 	 17.7974529847024 1.9129377623486856 
maintenance 	 262.6447548488105 1.833139163594296 
tips 	 252.78611488826263 1.8855773320498757 
masthead 	 947.1142354308638 1.6919768291488704 
maintips480x60 	 1006.3767423559307 1.6919768291488704 
cooling 	 901.1466638601366 1.6919768291488704 
system 	 111.10213473162237 1.833139163594296 
tune 	 947.1142354308638 1.6919768291488704 
checklist 	 1089.9025546262126 1.6919768291488704 
flush 	 1232.6908738215614 1.6919768291488704 
dirt 	 544.9512773131063 1.833139163594296 
bugs 	 1089.9025546262126 1.6919768291488704 
leaves 	 661.5375970401662 1.6919768291488704 
front 	 500.289173154742 1.6919768291488704 
radiator 	 308.17271845539034 1.9129377623486856 
brush 	 1089.9025546262126 1.6919768291488704 
garden 	 804.325916235515 1.6919768291488704 
hose 	 335.4589141186436 1.8855773320498757 
inspect 	 315.70474514362127 1.8855773320498757 
cap 	 1089.9025546262126 1.6919768291488704 
replace 	 114.84084398680301 1.9411039039134197 
rubber 	 947.1142354308638 1.6919768291488704 
gasket 	 1232.6908738215614 1.6919768291488704 
broken 	 704.3113061844846 1.6919768291488704 
dried 	 1006.3767423559307 1.6919768291488704 
missing 	 780.0626108903001 1.6919768291488704 
check 	 182.08558157515643 1.8855773320498757 
condition 	 244.4208919084255 1.833139163594296 
level 	 305.7300817335267 1.6919768291488704 
coolant 	 616.3454369107807 1.833139163594296 
rusty 	 1232.6908738215614 1.6919768291488704 
clean 	 344.52253196040897 1.833139163594296 
mixture 	 901.1466638601366 1.6919768291488704 
water 	 477.99717471885407 1.6919768291488704 
ethylene 	 1232.6908738215614 1.6919768291488704 
glycol 	 1232.6908738215614 1.6919768291488704 
anti 	 399.8223126476439 1.6919768291488704 
freeze 	 947.1142354308638 1.6919768291488704 
hoses 	 246.5381747643123 1.9297384975162506 
leaks 	 503.18837117796534 1.833139163594296 
cracks 	 363.30085154207086 1.8855773320498757 
soft 	 863.5884231605819 1.6919768291488704 
mushy 	 1232.6908738215614 1.6919768291488704 
tighten 	 544.9512773131063 1.833139163594296 
clamps 	 1006.3767423559307 1.6919768291488704 
look 	 329.99338707874165 1.6919768291488704 
heater 	 410.89695794052045 1.8855773320498757 
