term 	 tf-idf weight 	 BM25 ranking 
 sld001 	 100.52499290241767 1.9669726538127252 
jpg 	 50.38290363972774 1.9669726538127252 
slide 	 50.26249645120883 1.983348841008253 
p2hnext 	 113.69478933305662 1.9669726538127252 
gif 	 2.188683538571816 1.988868334817703 
sld002 	 113.69478933305662 1.9669726538127252 
htm 	 4.155047375351526 1.988868334817703 
p2hup 	 113.69478933305662 1.9669726538127252 
index 	 8.262343720047443 1.9669726538127252 
view 	 31.16248631783662 1.9669726538127252 
text 	 49.716168563313616 1.9669726538127252 
version 	 43.13692006567477 1.9669726538127252 
p2htext 	 113.69478933305662 1.9669726538127252 
tsld001 	 113.69478933305662 1.9669726538127252 
