term 	 tf-idf weight 	 BM25 ranking 
 address 	 107.40069684184897 1.9148260524552851 
directions 	 264.1767371328889 1.8749028335560989 
pcmdi 	 105.50311642172157 1.9564864714787027 
lawrence 	 484.9134813255588 1.7645337475966116 
livermore 	 82.56865670077708 1.967186374027824 
national 	 172.10212832851846 1.7645337475966116 
laboratory 	 242.4567406627794 1.8749028335560989 
llnl 	 101.62365764606892 1.9564864714787027 
mailing 	 609.7419458764135 1.7645337475966116 
box 	 389.99357375278026 1.7645337475966116 
street 	 322.2020905255469 1.7645337475966116 
east 	 37.30838342670783 1.967186374027824 
avenue 	 467.1282429414449 1.7645337475966116 
bldg 	 737.6839227948811 1.7645337475966116 
tel 	 528.3534742657778 1.7645337475966116 
fax 	 358.32577357448787 1.7645337475966116 
llnlmap 	 903.5743783837657 1.7645337475966116 
gif 	 26.091411657185073 1.8749028335560989 
site 	 301.2377873525603 1.7645337475966116 
map 	 400.41149734730993 1.7645337475966116 
jpg 	 400.41149734730993 1.7645337475966116 
san 	 123.69797972224181 1.9148260524552851 
francisco 	 430.11475177846415 1.7645337475966116 
international 	 67.91010038703025 1.9148260524552851 
airport 	 105.50311642172157 1.9564864714787027 
hour 	 76.49401542160555 1.9564864714787027 
traffic 	 180.4973973970706 1.9148260524552851 
rush 	 220.18308453540556 1.9148260524552851 
add 	 152.9880308432111 1.9148260524552851 
miles 	 152.9880308432111 1.9148260524552851 
exit 	 220.18308453540556 1.9148260524552851 
south 	 89.5552642852433 1.9148260524552851 
mateo 	 903.5743783837657 1.7645337475966116 
bridge 	 571.7934672059966 1.7645337475966116 
north 	 88.80957163405787 1.9148260524552851 
continue 	 87.59414245454728 1.935432101491383 
oakland 	 737.6839227948811 1.7645337475966116 
minutes 	 123.664699504333 1.935432101491383 
jose 	 694.2439298546623 1.7645337475966116 
called 	 264.2242961895796 1.7645337475966116 
hwy 	 903.5743783837657 1.7645337475966116 
exits 	 737.6839227948811 1.7645337475966116 
vasco 	 903.5743783837657 1.7645337475966116 
road 	 400.41149734730993 1.7645337475966116 
proceed 	 555.8840293416649 1.7645337475966116 
railroad 	 516.2670254070737 1.7645337475966116 
overpass 	 451.7871891918829 1.8749028335560989 
left 	 328.76834242844745 1.7645337475966116 
west 	 134.33289642786494 1.8749028335560989 
gate 	 330.27462680310833 1.8749028335560989 
drive 	 458.96409252963326 1.7645337475966116 
light 	 304.0602994373954 1.7645337475966116 
badge 	 798.909154119214 1.7645337475966116 
office 	 123.82987984192974 1.8749028335560989 
building 	 298.4670674136626 1.7645337475966116 
passing 	 505.07672161186173 1.7645337475966116 
guarded 	 903.5743783837657 1.7645337475966116 
entrance 	 571.7934672059966 1.7645337475966116 
visitors 	 660.5492536062167 1.7645337475966116 
badged 	 903.5743783837657 1.7645337475966116 
prior 	 354.2988682650815 1.7645337475966116 
entry 	 516.2670254070737 1.7645337475966116 
return 	 229.2222524669236 1.7645337475966116 
home 	 67.43690406396674 1.7645337475966116 
page 	 37.061050219671465 1.8749028335560989 
html 	 29.667672163313192 1.8749028335560989 
update 	 475.7591634312771 1.7645337475966116 
november 	 362.4630186768931 1.7645337475966116 
maintained 	 528.3534742657778 1.7645337475966116 
anna 	 571.7934672059966 1.7645337475966116 
mccravy 	 737.6839227948811 1.7645337475966116 
lll 	 737.6839227948811 1.7645337475966116 
http 	 33.12629213367591 1.8749028335560989 
www 	 32.83194478229378 1.8749028335560989 
gov 	 116.7921899393964 1.9148260524552851 
mccravy1 	 737.6839227948811 1.7645337475966116 
disclaimers 	 609.7419458764135 1.7645337475966116 
disclaimer 	 609.7419458764135 1.7645337475966116 
