term 	 tf-idf weight 	 BM25 ranking 
 refining 	 1691.5434322366068 1.5314017381373934 
ability 	 422.1853314833325 1.7023403993281825 
tell 	 701.6172937677065 1.6611359767042346 
truth 	 1111.9290921124154 1.5314017381373934 
marc 	 3029.340120015265 1.2407055143771513 
lebovitz 	 8287.75174875176 0.8992918449565849 
collision 	 5806.1648838709025 0.8992918449565849 
course 	 1643.315219869754 1.2407055143771513 
lucia 	 1831.9357259190588 1.5314017381373934 
cordell 	 2071.93793718794 1.5314017381373934 
getsi 	 407.09682798201305 1.8726618909134278 
child 	 603.1048400839732 1.6066909990897695 
childhood 	 2142.2934320327854 1.2407055143771513 
intelligent 	 6367.73405860071 0.8992918449565849 
independent 	 2617.0845300741494 0.8992918449565849 
adventurous 	 7327.742903676235 0.8992918449565849 
tennessee 	 932.1110320516917 1.6611359767042346 
girl 	 5592.66619231015 0.8992918449565849 
magical 	 7327.742903676235 0.8992918449565849 
illuminating 	 6766.173728946427 0.8992918449565849 
world 	 153.5603456118164 1.7819003618499667 
books 	 232.12106553790818 1.839204628118025 
met 	 1507.762100209933 1.2407055143771513 
head 	 1539.2447942580873 1.2407055143771513 
william 	 3249.6949175307145 0.8992918449565849 
edgar 	 2703.862606762593 1.2407055143771513 
magness 	 4143.87587437588 1.2407055143771513 
community 	 2134.6797585126706 0.8992918449565849 
house 	 1242.5399655225797 1.2407055143771513 
library 	 517.7210034600704 1.7023403993281825 
middle 	 1624.8474587653573 1.2407055143771513 
town 	 1914.8043656546504 1.2407055143771513 
mcminnville 	 8287.75174875176 0.8992918449565849 
probably 	 4209.703762606239 0.8992918449565849 
surprise 	 5407.725213525186 0.8992918449565849 
knew 	 2622.2978545705478 1.2407055143771513 
sam 	 5806.1648838709025 0.8992918449565849 
georgia 	 4966.666795926016 0.8992918449565849 
flung 	 8287.75174875176 0.8992918449565849 
enthusiastically 	 8287.75174875176 0.8992918449565849 
reading 	 394.50922596898863 1.7819003618499667 
ventures 	 4966.666795926016 0.8992918449565849 
halfhearted 	 8287.75174875176 0.8992918449565849 
decided 	 1943.0735968599272 1.2407055143771513 
stronger 	 6058.68024003053 0.8992918449565849 
carry 	 4006.6579508504915 0.8992918449565849 
boulders 	 8287.75174875176 0.8992918449565849 
illinois 	 425.46780276979695 1.7346106183264414 
university 	 664.9156037980092 1.6066909990897695 
distinguished 	 2903.0824419354512 1.2407055143771513 
professor 	 2703.862606762593 1.2407055143771513 
english 	 1026.1631961720582 1.4204639176615979 
recalls 	 2019.5600800101768 1.4204639176615979 
cure 	 5407.725213525186 0.8992918449565849 
vertigo 	 7327.742903676235 0.8992918449565849 
started 	 1052.4259406515598 1.5314017381373934 
climb 	 3383.0868644732136 1.2407055143771513 
cliffs 	 7327.742903676235 0.8992918449565849 
near 	 3363.594683588921 0.8992918449565849 
home 	 206.18126297702855 1.4204639176615979 
ropes 	 7327.742903676235 0.8992918449565849 
tools 	 4363.751267233899 0.8992918449565849 
terrible 	 3029.340120015265 1.2407055143771513 
fear 	 1788.5466875748366 1.2407055143771513 
top 	 1293.7011787111499 0.8992918449565849 
lie 	 5806.1648838709025 0.8992918449565849 
crawl 	 8287.75174875176 0.8992918449565849 
edge 	 4537.102220225198 0.8992918449565849 
snake 	 6766.173728946427 0.8992918449565849 
look 	 554.6612149321082 1.5314017381373934 
hours 	 1812.0235121102462 1.2407055143771513 
characteristically 	 8287.75174875176 0.8992918449565849 
mind 	 1344.0628714004533 1.2407055143771513 
know 	 574.1814626867806 1.6611359767042346 
pitched 	 8287.75174875176 0.8992918449565849 
camp 	 4363.751267233899 0.8992918449565849 
mcminnville's 	 8287.75174875176 0.8992918449565849 
fixture 	 6367.73405860071 0.8992918449565849 
ruler 	 6058.68024003053 0.8992918449565849 
measured 	 5098.671394955006 0.8992918449565849 
stacks 	 7327.742903676235 0.8992918449565849 
read 	 269.66343168514334 1.839204628118025 
completed 	 4071.0881725048175 0.8992918449565849 
foot 	 5098.671394955006 0.8992918449565849 
week 	 1606.8594344310993 1.2407055143771513 
eventually 	 4447.716368449662 0.8992918449565849 
shelf 	 3663.8714518381175 1.2407055143771513 
aware 	 2142.2934320327854 1.2407055143771513 
knowledge 	 1507.762100209933 1.2407055143771513 
larger 	 4447.716368449662 0.8992918449565849 
perused 	 8287.75174875176 0.8992918449565849 
discovered 	 1544.2191157448754 1.4204639176615979 
book 	 203.27877028044855 1.7997423231886367 
appeared 	 4447.716368449662 0.8992918449565849 
loved 	 6058.68024003053 0.8992918449565849 
horse 	 636.7734058600711 1.7819003618499667 
dog 	 6367.73405860071 0.8992918449565849 
nancy 	 6367.73405860071 0.8992918449565849 
drew 	 5244.5957091410955 0.8992918449565849 
mother 	 581.5840246435454 1.7023403993281825 
forever 	 3183.867029300355 1.2407055143771513 
amber 	 8287.75174875176 0.8992918449565849 
inherit 	 7327.742903676235 0.8992918449565849 
wind 	 5407.725213525186 0.8992918449565849 
school 	 257.1670625464307 1.7819003618499667 
church 	 3672.648502159101 0.8992918449565849 
sermons 	 7327.742903676235 0.8992918449565849 
porch 	 8287.75174875176 0.8992918449565849 
sitting 	 1802.575071175062 1.4204639176615979 
trees 	 4537.102220225198 0.8992918449565849 
night 	 1861.5088446678815 1.2407055143771513 
bed 	 3383.0868644732136 1.2407055143771513 
blanket 	 8287.75174875176 0.8992918449565849 
flashlight 	 8287.75174875176 0.8992918449565849 
morning 	 2549.335697477503 1.2407055143771513 
literary 	 2181.8756336169495 1.2407055143771513 
admirably 	 8287.75174875176 0.8992918449565849 
sufficiently 	 7327.742903676235 0.8992918449565849 
repaid 	 8287.75174875176 0.8992918449565849 
adult 	 2223.858184224831 1.2407055143771513 
published 	 3286.630439739508 0.8992918449565849 
volumes 	 3183.867029300355 1.2407055143771513 
poetry 	 138.65962085962016 1.93914215502483 
translations 	 3029.340120015265 1.2407055143771513 
poems 	 1311.1489272852739 1.5314017381373934 
fiction 	 5098.671394955006 0.8992918449565849 
critical 	 2712.639657083577 0.8992918449565849 
essays 	 4537.102220225198 0.8992918449565849 
refereed 	 8287.75174875176 0.8992918449565849 
journals 	 5098.671394955006 0.8992918449565849 
writing 	 422.1853314833325 1.7023403993281825 
awards 	 2181.8756336169495 1.2407055143771513 
won 	 4284.586864065571 0.8992918449565849 
capricorn 	 8287.75174875176 0.8992918449565849 
prize 	 1699.5571316516687 1.4204639176615979 
intensive 	 1311.1489272852739 1.5314017381373934 
care 	 684.3988218011966 1.5314017381373934 
ann 	 5098.671394955006 0.8992918449565849 
stanford 	 5407.725213525186 0.8992918449565849 
pablo 	 7327.742903676235 0.8992918449565849 
neruda 	 7327.742903676235 0.8992918449565849 
bread 	 6766.173728946427 0.8992918449565849 
loaf 	 8287.75174875176 0.8992918449565849 
