term 	 tf-idf weight 	 BM25 ranking 
 benefit 	 93.39449626023548 1.9198345257599951 
schedule 	 695.7753744740044 1.7137581709943293 
extended 	 138.887304080038 1.9198345257599951 
stay_ 	 1130.9639570498791 1.7137581709943293 
cover 	 149.50015718670684 1.894521983548449 
personal 	 90.09374151245892 1.894521983548449 
accident 	 632.1821217525951 1.7137581709943293 
medical 	 360.309380151698 1.7137581709943293 
expenses 	 273.3784666825787 1.8458478900207809 
hospital 	 475.93987142073064 1.7137581709943293 
hrs 	 461.6631172458031 1.8458478900207809 
max 	 368.974752836195 1.8458478900207809 
cancellation 	 792.3214173657766 1.7137581709943293 
curtailment 	 999.9591399240494 1.7137581709943293 
baggage 	 923.3262344916062 1.7137581709943293 
single 	 407.35073311344 1.7137581709943293 
article 	 411.50474648328856 1.7137581709943293 
limit 	 185.18307210671733 1.894521983548449 
jewellery 	 1130.9639570498791 1.7137581709943293 
valuables 	 999.9591399240494 1.7137581709943293 
money 	 357.13283478990195 1.7137581709943293 
documents 	 470.1240279327142 1.7137581709943293 
liability 	 555.549216320152 1.7137581709943293 
hijack 	 1130.9639570498791 1.7137581709943293 
catastrophe 	 868.9543227982197 1.7137581709943293 
legal 	 322.67406055584456 1.7137581709943293 
premiums 	 307.7754114972021 1.894521983548449 
person 	 181.77011402830288 1.8458478900207809 
inclusive 	 461.6631172458031 1.8458478900207809 
ipt 	 1130.9639570498791 1.7137581709943293 
maximum 	 530.3117831141172 1.7137581709943293 
age 	 122.27575580971633 1.894521983548449 
time 	 60.070396635569566 1.894521983548449 
insurance 	 109.63770148284395 1.9198345257599951 
quotations 	 923.3262344916062 1.7137581709943293 
available 	 295.803082176322 1.7137581709943293 
period 	 181.77011402830288 1.8458478900207809 
exceeding 	 868.9543227982197 1.7137581709943293 
europe 	 193.9244562324907 1.8458478900207809 
excluding 	 413.39009579991705 1.8458478900207809 
usa 	 101.83768327836 1.9198345257599951 
including 	 55.31342082755642 1.894521983548449 
months 	 34.29206220694071 1.9725445145837026 
additional 	 470.1240279327142 1.7137581709943293 
notes 	 333.4770007715948 1.7137581709943293 
effect 	 298.09401931693515 1.7137581709943293 
stay 	 191.48832999580725 1.894521983548449 
protection 	 190.289392694264 1.8458478900207809 
plan 	 342.0047630396036 1.7137581709943293 
please 	 168.13852599249321 1.8458478900207809 
complete 	 420.0971351837957 1.7137581709943293 
application 	 162.65873014453518 1.8458478900207809 
form 	 145.6514347866046 1.8458478900207809 
return 	 286.90732262416265 1.7137581709943293 
appropriate 	 453.6788776816742 1.7137581709943293 
premium 	 231.92512482466813 1.894521983548449 
medicus 	 923.3262344916062 1.7137581709943293 
arrange 	 868.9543227982197 1.7137581709943293 
certificate 	 347.8876872370022 1.8458478900207809 
containing 	 646.1885284896485 1.7137581709943293 
full 	 325.31746028907037 1.7137581709943293 
terms 	 339.11921080688455 1.7137581709943293 
conditions 	 357.13283478990195 1.7137581709943293 
issued 	 530.3117831141172 1.7137581709943293 
plans 	 327.9983563025501 1.7137581709943293 
include 	 322.67406055584456 1.7137581709943293 
manual 	 323.0942642448243 1.8458478900207809 
bar 	 363.54022805660577 1.7137581709943293 
waitressing 	 1130.9639570498791 1.7137581709943293 
fruit 	 923.3262344916062 1.7137581709943293 
picking 	 1130.9639570498791 1.7137581709943293 
similar 	 373.57798504094194 1.7137581709943293 
light 	 380.578785388528 1.7137581709943293 
casual 	 923.3262344916062 1.7137581709943293 
requiring 	 619.1424690415613 1.7137581709943293 
machinery 	 826.7801915998341 1.7137581709943293 
power 	 272.2812432008483 1.7137581709943293 
tools 	 595.4866350232542 1.7137581709943293 
persons 	 459.0031734283798 1.7137581709943293 
undertaking 	 923.3262344916062 1.7137581709943293 
hazardous 	 737.94950567239 1.7137581709943293 
occupations 	 923.3262344916062 1.7137581709943293 
specialist 	 763.1869388784248 1.7137581709943293 
sports 	 239.16767037510613 1.7137581709943293 
leisure 	 792.3214173657766 1.7137581709943293 
activities 	 339.11921080688455 1.7137581709943293 
contact 	 305.1383129336119 1.7137581709943293 
agent 	 515.1837113638189 1.7137581709943293 
quotation 	 999.9591399240494 1.7137581709943293 
shown 	 508.0507893750608 1.7137581709943293 
tax 	 448.50047156012056 1.7137581709943293 
variations 	 695.7753744740044 1.7137581709943293 
standard 	 201.64303016333895 1.8458478900207809 
free 	 239.16767037510613 1.7137581709943293 
refer 	 661.316600239947 1.7137581709943293 
provided 	 433.765740222345 1.7137581709943293 
accompanied 	 661.316600239947 1.7137581709943293 
parent 	 564.7705573481747 1.7137581709943293 
guardian 	 792.3214173657766 1.7137581709943293 
insured 	 396.1607086828883 1.8458478900207809 
child 	 411.50474648328856 1.7137581709943293 
discounts 	 695.7753744740044 1.7137581709943293 
calculated 	 715.6885119333335 1.7137581709943293 
geographical 	 737.94950567239 1.7137581709943293 
limits 	 584.6836948075039 1.7137581709943293 
included 	 433.765740222345 1.7137581709943293 
canary 	 1130.9639570498791 1.7137581709943293 
islands 	 646.1885284896485 1.7137581709943293 
azores 	 1130.9639570498791 1.7137581709943293 
madeira 	 1130.9639570498791 1.7137581709943293 
iceland 	 1130.9639570498791 1.7137581709943293 
territories 	 695.7753744740044 1.7137581709943293 
west 	 336.27705198498643 1.7137581709943293 
urals 	 826.7801915998341 1.7137581709943293 
known 	 344.935054294901 1.7137581709943293 
ussr 	 695.7753744740044 1.7137581709943293 
countries 	 336.27705198498643 1.7137581709943293 
bordering 	 999.9591399240494 1.7137581709943293 
mediterranean 	 868.9543227982197 1.7137581709943293 
