term 	 tf-idf weight 	 BM25 ranking 
 jpg 	 461.40132806908565 1.7334480656289308 
sweden 	 226.46069486242658 1.9024850928310069 
uppsala 	 520.6024564197855 1.857208709115301 
uppsala_ 	 1041.204912839571 1.7334480656289308 
fourth 	 495.62891926789905 1.7334480656289308 
largest 	 438.1668657524187 1.7334480656289308 
city 	 289.9619810842531 1.7334480656289308 
population 	 360.51290989507373 1.7334480656289308 
people 	 203.88483500477048 1.7334480656289308 
located 	 461.40132806908565 1.7334480656289308 
minutes 	 570.0041778477865 1.7334480656289308 
train 	 658.8878363830689 1.7334480656289308 
north 	 307.0105721389285 1.7334480656289308 
stockholm 	 1041.204912839571 1.7334480656289308 
university_ 	 1041.204912839571 1.7334480656289308 
http 	 76.34403750012727 1.7334480656289308 
www 	 75.6656740678029 1.7334480656289308 
enrollment 	 799.9896940047101 1.7334480656289308 
students 	 144.27086571480118 1.9024850928310069 
modern 	 146.1487933110228 1.857208709115301 
university 	 139.22420584940267 1.9024850928310069 
roots 	 443.69113925915565 1.7334480656289308 
middle 	 408.26492104718 1.7334480656289308 
ages 	 528.8725304646105 1.7334480656289308 
home 	 77.70875037834577 1.7334480656289308 
institution 	 488.2235463590286 1.7334480656289308 
nobel 	 679.3820845872797 1.7334480656289308 
prize 	 640.5551066586072 1.7334480656289308 
recipients 	 640.5551066586072 1.7334480656289308 
research 	 199.69186103001394 1.7334480656289308 
development 	 202.4759204242947 1.7334480656289308 
education 	 94.49039382405627 1.857208709115301 
bring 	 417.672617548208 1.7334480656289308 
advanced 	 438.1668657524187 1.7334480656289308 
scientific 	 467.72929815481785 1.7334480656289308 
technology 	 325.912860473415 1.7334480656289308 
deep 	 640.5551066586072 1.7334480656289308 
tradition 	 443.69113925915565 1.7334480656289308 
knowledge 	 378.8456396195355 1.7334480656289308 
college 	 438.1668657524187 1.7334480656289308 
academic 	 474.2961152238333 1.7334480656289308 
program_ 	 850.0463746113201 1.7334480656289308 
programs 	 141.56878849779108 1.857208709115301 
available 	 90.77554902765436 1.9024850928310069 
swedish 	 182.3596912984724 1.9259613354355152 
culture 	 170.39685932582756 1.857208709115301 
society 	 132.06845009683678 1.857208709115301 
fall 	 120.17096996502457 1.9024850928310069 
receive 	 395.0433732330216 1.7334480656289308 
credit 	 417.672617548208 1.7334480656289308 
hours 	 455.2954384219247 1.7334480656289308 
excellent 	 594.9037246412637 1.7334480656289308 
program 	 51.32631276399612 1.9259613354355152 
studies 	 93.20148136074904 1.857208709115301 
credits 	 461.40132806908565 1.7334480656289308 
divided 	 582.0089374865162 1.7334480656289308 
history 	 191.59737830954262 1.7334480656289308 
literature 	 218.6394323836239 1.7334480656289308 
art 	 196.95164691755772 1.7334480656289308 
architecture 	 223.3213291916907 1.7334480656289308 
music 	 223.3213291916907 1.7334480656289308 
various 	 106.29332409238077 1.857208709115301 
majors 	 460.29865171107036 1.857208709115301 
full 	 299.4986142343823 1.7334480656289308 
study 	 211.10578818254547 1.7334480656289308 
major 	 233.0808963889723 1.7334480656289308 
minor 	 519.9474972411767 1.7334480656289308 
field 	 364.0281809683221 1.7334480656289308 
subjects 	 558.7744751698492 1.7334480656289308 
studied 	 623.9711353726547 1.7334480656289308 
business 	 158.12466898888528 1.7334480656289308 
biology 	 850.0463746113201 1.7334480656289308 
economics 	 220.1861092342247 1.7334480656289308 
math 	 623.9711353726547 1.7334480656289308 
political 	 164.77516001959964 1.7334480656289308 
science 	 190.28416452898597 1.7334480656289308 
international 	 78.25402296253817 1.9024850928310069 
communication 	 427.6181815563591 1.7334480656289308 
enroll 	 850.0463746113201 1.7334480656289308 
language 	 375.0213098504686 1.7334480656289308 
instruction 	 594.9037246412637 1.7334480656289308 
community 	 268.1835942102561 1.7334480656289308 
cost 	 176.8442529032014 1.857208709115301 
application 	 299.4986142343823 1.7334480656289308 
deadline_ 	 850.0463746113201 1.7334480656289308 
monday 	 364.7193825969448 1.857208709115301 
february 	 519.9474972411767 1.7334480656289308 
spring 	 279.3872375849246 1.857208709115301 
october 	 375.0213098504686 1.7334480656289308 
prerequisites_ 	 850.0463746113201 1.7334480656289308 
undergraduate 	 729.4387651938896 1.7334480656289308 
student 	 204.13246052359 1.857208709115301 
isu 	 243.14625506462986 1.9024850928310069 
cum 	 380.58135803801883 1.857208709115301 
gpa 	 380.58135803801883 1.857208709115301 
housing_ 	 850.0463746113201 1.7334480656289308 
residence 	 511.4580086756955 1.7334480656289308 
hall 	 170.4860028918985 1.9024850928310069 
cost_ 	 850.0463746113201 1.7334480656289308 
estimated 	 467.72929815481785 1.7334480656289308 
semester 	 761.1627160760377 1.7334480656289308 
estimate 	 658.8878363830689 1.7334480656289308 
includes 	 238.17394290919196 1.7334480656289308 
board 	 382.7559165377937 1.7334480656289308 
airfare 	 799.9896940047101 1.7334480656289308 
oisp 	 399.9948470023551 1.857208709115301 
administration 	 297.0650081307775 1.7334480656289308 
fee 	 558.7744751698492 1.7334480656289308 
reduced 	 528.8725304646105 1.7334480656289308 
tuition 	 658.8878363830689 1.7334480656289308 
card 	 558.7744751698492 1.7334480656289308 
local 	 272.32664708296306 1.7334480656289308 
transportation 	 449.39656843035607 1.7334480656289308 
books 	 408.26492104718 1.7334480656289308 
supplies 	 702.6165469039466 1.7334480656289308 
financial 	 292.2975866220456 1.7334480656289308 
aid 	 390.8503992582651 1.7334480656289308 
qualify 	 608.8311557764591 1.7334480656289308 
duration_ 	 850.0463746113201 1.7334480656289308 
approximately 	 481.1205193125042 1.7334480656289308 
august 	 403.7451864130127 1.7334480656289308 
december 	 422.5743501404132 1.7334480656289308 
january 	 403.7451864130127 1.7334480656289308 
june 	 364.0281809683221 1.7334480656289308 
apply_ 	 850.0463746113201 1.7334480656289308 
contact 	 280.92098651030943 1.7334480656289308 
advisor 	 658.8878363830689 1.7334480656289308 
fell 	 320.2775533293036 1.857208709115301 
phone 	 395.0433732330216 1.7334480656289308 
iliinois 	 920.5973034221407 1.7334480656289308 
office 	 285.3827694370301 1.7334480656289308 
original 	 427.6181815563591 1.7334480656289308 
design 	 325.912860473415 1.7334480656289308 
produced 	 461.40132806908565 1.7334480656289308 
graphics 	 528.8725304646105 1.7334480656289308 
