term 	 tf-idf weight 	 BM25 ranking 
 reflexology 	 333.31971330801645 1.894521983548449 
step 	 453.6788776816742 1.7137581709943293 
direction 	 530.3117831141172 1.7137581709943293 
yvette 	 923.3262344916062 1.7137581709943293 
eastman 	 868.9543227982197 1.7137581709943293 
touchpoint 	 142.85130570343563 1.9533904845972054 
icon 	 826.7801915998341 1.7137581709943293 
touchpnt 	 999.9591399240494 1.7137581709943293 
gif 	 65.31492454580105 1.7137581709943293 
ancient 	 494.54504518243544 1.7137581709943293 
skill 	 792.3214173657766 1.7137581709943293 
compression 	 461.6631172458031 1.8458478900207809 
technique 	 254.0253946875304 1.8458478900207809 
feet 	 154.78561726039032 1.9198345257599951 
influences 	 443.46017286159207 1.7137581709943293 
entire 	 508.0507893750608 1.7137581709943293 
body 	 57.61229433238256 1.9533904845972054 
aim 	 632.1821217525951 1.7137581709943293 
reflexologists 	 1130.9639570498791 1.7137581709943293 
understand 	 232.24090894871225 1.8458478900207809 
language 	 407.35073311344 1.7137581709943293 
interpret 	 826.7801915998341 1.7137581709943293 
evaluate 	 646.1885284896485 1.7137581709943293 
body's 	 868.9543227982197 1.7137581709943293 
vitality 	 923.3262344916062 1.7137581709943293 
improve 	 481.9403754021863 1.7137581709943293 
ill 	 303.47234427328016 1.8458478900207809 
health 	 60.55218461930307 1.9353493455707715 
maintain 	 237.96993571036532 1.8458478900207809 
stamina 	 1130.9639570498791 1.7137581709943293 
vigour 	 1130.9639570498791 1.7137581709943293 
reflexologist 	 565.4819785249396 1.8458478900207809 
foot 	 139.15507489480086 1.9353493455707715 
map 	 501.1773046267655 1.7137581709943293 
learns 	 999.9591399240494 1.7137581709943293 
read 	 515.1837113638189 1.7137581709943293 
easily 	 574.4649899874217 1.7137581709943293 
book 	 305.1383129336119 1.7137581709943293 
key 	 330.71782768099695 1.7137581709943293 
reading 	 538.3555502392696 1.7137581709943293 
carry 	 546.7569333651574 1.7137581709943293 
unfinished 	 999.9591399240494 1.7137581709943293 
business 	 171.75610597068572 1.7137581709943293 
engraved 	 1130.9639570498791 1.7137581709943293 
remembers' 	 1130.9639570498791 1.7137581709943293 
physical 	 357.13283478990195 1.7137581709943293 
imbalance 	 434.47716139910983 1.8458478900207809 
emotional 	 475.93987142073064 1.7137581709943293 
trauma 	 792.3214173657766 1.7137581709943293 
spirit 	 584.6836948075039 1.7137581709943293 
experience 	 169.55960540344228 1.8458478900207809 
created 	 350.9355582763567 1.7137581709943293 
resolved 	 677.761750490987 1.7137581709943293 
stamps 	 923.3262344916062 1.7137581709943293 
identify 	 287.2324949937109 1.8458478900207809 
imbalances 	 1130.9639570498791 1.7137581709943293 
effect 	 298.09401931693515 1.7137581709943293 
merely 	 619.1424690415613 1.7137581709943293 
looking 	 424.5443991943224 1.7137581709943293 
shape 	 646.1885284896485 1.7137581709943293 
speak 	 677.761750490987 1.7137581709943293 
structure 	 330.71782768099695 1.7137581709943293 
spine 	 999.9591399240494 1.7137581709943293 
flexibility 	 763.1869388784248 1.7137581709943293 
muscles 	 923.3262344916062 1.7137581709943293 
joints 	 826.7801915998341 1.7137581709943293 
lines 	 459.0031734283798 1.7137581709943293 
congestion 	 923.3262344916062 1.7137581709943293 
organs 	 792.3214173657766 1.7137581709943293 
lungs 	 923.3262344916062 1.7137581709943293 
stomach 	 999.9591399240494 1.7137581709943293 
intestines 	 1130.9639570498791 1.7137581709943293 
callouses 	 1130.9639570498791 1.7137581709943293 
describe 	 574.4649899874217 1.7137581709943293 
structural 	 538.3555502392696 1.7137581709943293 
functions 	 470.1240279327142 1.7137581709943293 
differentiate 	 923.3262344916062 1.7137581709943293 
