term 	 tf-idf weight 	 BM25 ranking 
 official 	 190.71059397456216 1.8617922905727156 
learn 	 45.79410767678391 1.970740926291666 
home 	 7.5029138296333855 1.970740926291666 
web 	 172.37729442888062 1.8617922905727156 
site 	 83.78799383316247 1.928423022768639 
feedback 	 44.95886581826373 1.97555784233533 
page 	 41.233486337117924 1.8617922905727156 
ccnlearn 	 386.2019212436532 1.8617922905727156 
gif 	 14.514427676844676 1.928423022768639 
bbar 	 193.1009606218266 1.928423022768639 
cgi 	 259.85941991444616 1.8617922905727156 
bin 	 301.2274446626609 1.8617922905727156 
imagemap 	 280.96983189004226 1.8617922905727156 
send 	 44.380669012259396 1.928423022768639 
comments 	 47.54005270423807 1.928423022768639 
regarding 	 160.13750228964358 1.8617922905727156 
website 	 51.0635546655486 1.970740926291666 
improvements 	 309.23349976622416 1.8617922905727156 
corrections 	 410.3672153296028 1.8617922905727156 
please 	 74.72823377444142 1.928423022768639 
email 	 280.96983189004226 1.8617922905727156 
mailto 	 61.02103632739035 1.8617922905727156 
webmaster 	 301.2274446626609 1.8617922905727156 
learnathome 	 193.1009606218266 1.928423022768639 
com 	 20.27247894598346 1.928423022768639 
messages 	 150.61372233133045 1.928423022768639 
pertaining 	 318.08378308148156 1.8617922905727156 
matters 	 287.1949015509549 1.8617922905727156 
processed 	 386.2019212436532 1.8617922905727156 
mechanism 	 293.918488995532 1.8617922905727156 
critique 	 214.1957224009717 1.8617922905727156 
only_ 	 502.65064757772404 1.8617922905727156 
read 	 228.97053838391952 1.8617922905727156 
development 	 97.74699606690089 1.8617922905727156 
team 	 239.26913343967541 1.8617922905727156 
thank 	 176.07142608128368 1.928423022768639 
understanding 	 206.43636350996644 1.8617922905727156 
direct 	 186.70983785946476 1.8617922905727156 
questions 	 135.6170279704942 1.8617922905727156 
concerning 	 164.52110555597145 1.8617922905727156 
organizations 	 90.52238513632 1.928423022768639 
contacting 	 352.14285216256735 1.8617922905727156 
directly 	 201.63505674741074 1.8617922905727156 
time 	 80.09386218075942 1.8617922905727156 
assistance 	 204.00141041261324 1.8617922905727156 
improving 	 259.85941991444616 1.8617922905727156 
http 	 18.427871120720376 1.928423022768639 
www 	 18.264128223262766 1.928423022768639 
htm 	 55.10904939939919 1.8617922905727156 
christian 	 206.43636350996644 1.8617922905727156 
community 	 129.46794203253742 1.8617922905727156 
network 	 208.94401241453966 1.8617922905727156 
christcom 	 386.2019212436532 1.8617922905727156 
net 	 194.9114693028337 1.8617922905727156 
