term 	 tf-idf weight 	 BM25 ranking 
 illinois 	 165.88636353479447 1.8874119667456188 
university 	 108.01878040039861 1.9235059249189137 
research 	 77.46667022716058 1.8874119667456188 
office 	 110.70883297126169 1.8874119667456188 
uro 	 79.36183650190868 1.9738348144161166 
usi 	 807.8313978927707 1.7868244419032464 
header 	 373.28316153556364 1.7868244419032464 
jpeg 	 511.2060799523811 1.7868244419032464 
institutional 	 236.18450008569536 1.8874119667456188 
animal 	 216.7659601952001 1.8874119667456188 
care 	 266.8414178863871 1.7868244419032464 
committee 	 282.43565764783614 1.7868244419032464 
membership 	 327.8594095916999 1.7868244419032464 
roster 	 659.518738922576 1.7868244419032464 
home 	 7.536408980658534 1.970612224755205 
htm 	 11.071014388272157 1.970612224755205 
services 	 95.12270789740701 1.8874119667456188 
ser 	 807.8313978927707 1.7868244419032464 
info 	 279.708292159971 1.7868244419032464 
college 	 339.95705101480763 1.7868244419032464 
rsh 	 807.8313978927707 1.7868244419032464 
coord 	 807.8313978927707 1.7868244419032464 
res 	 620.6816591415854 1.7868244419032464 
coor 	 807.8313978927707 1.7868244419032464 
isu 	 141.4859673867458 1.9420755843643525 
scholar 	 565.9438695469833 1.7868244419032464 
schl 	 714.2565285171781 1.7868244419032464 
sch 	 714.2565285171781 1.7868244419032464 
proposal 	 327.8594095916999 1.7868244419032464 
sub 	 255.60303997619056 1.8874119667456188 
prop 	 807.8313978927707 1.7868244419032464 
sponsored 	 527.1067897659929 1.7868244419032464 
prj 	 403.91569894638536 1.8874119667456188 
spon 	 807.8313978927707 1.7868244419032464 
funded 	 433.5319203904002 1.7868244419032464 
prgm 	 807.8313978927707 1.7868244419032464 
fund 	 373.28316153556364 1.7868244419032464 
pgm 	 807.8313978927707 1.7868244419032464 
grad 	 269.2771326309236 1.9235059249189137 
school 	 250.66825591168333 1.7868244419032464 
http 	 29.616221444014887 1.8874119667456188 
www 	 29.35306321595802 1.8874119667456188 
ilstu 	 263.55339488299643 1.8874119667456188 
edu 	 73.81713279141697 1.8874119667456188 
homepage 	 403.4075409629819 1.7868244419032464 
larry 	 484.1155360649907 1.7868244419032464 
alferink 	 807.8313978927707 1.7868244419032464 
psychology 	 178.26712018764167 1.7868244419032464 
faculty 	 112.8896645986777 1.9420755843643525 
randy 	 219.83957964085863 1.9235059249189137 
brunswick 	 659.518738922576 1.7868244419032464 
veterinarian 	 807.8313978927707 1.7868244419032464 
hou 	 714.2565285171781 1.7868244419032464 
tak 	 659.518738922576 1.7868244419032464 
cheung 	 714.2565285171781 1.7868244419032464 
biological 	 295.2786398570836 1.8874119667456188 
sciences 	 242.05776803249535 1.8874119667456188 
roy 	 545.1335277703034 1.7868244419032464 
hall 	 396.8208688001086 1.7868244419032464 
community 	 104.036739133289 1.8874119667456188 
representative 	 114.74770842909199 1.9235059249189137 
chris 	 620.6816591415854 1.7868244419032464 
horvath 	 511.2060799523811 1.7868244419032464 
philosophy 	 173.2665485107945 1.7868244419032464 
ann 	 496.98241033857454 1.7868244419032464 
mcguigan 	 807.8313978927707 1.7868244419032464 
academic 	 367.98836525987065 1.7868244419032464 
peper 	 807.8313978927707 1.7868244419032464 
gale 	 807.8313978927707 1.7868244419032464 
taylor 	 461.56323463546323 1.7868244419032464 
laboratory 	 433.5319203904002 1.7868244419032464 
veterinarians 	 807.8313978927707 1.7868244419032464 
carleton 	 714.2565285171781 1.7868244419032464 
philips 	 807.8313978927707 1.7868244419032464 
iacuc 	 807.8313978927707 1.7868244419032464 
chairperson 	 659.518738922576 1.7868244419032464 
winter 	 527.1067897659929 1.7868244419032464 
agriculture 	 425.3475964451815 1.7868244419032464 
bruce 	 378.7941307957981 1.7868244419032464 
yount 	 807.8313978927707 1.7868244419032464 
original 	 331.77272706958894 1.7868244419032464 
design 	 252.8634262293737 1.7868244419032464 
produced 	 357.98378901911815 1.7868244419032464 
graphics 	 410.33213570530125 1.7868244419032464 
