term 	 tf-idf weight 	 BM25 ranking 
 pcmdi 	 3223.783968012075 1.1907655565171638 
report 	 1516.0998733777985 1.08137937674991 
climatology 	 4204.986556483283 1.08137937674991 
east 	 205.40645681144312 1.8317757215336696 
asian 	 657.3002359901319 1.7095508399957569 
winter 	 278.01448650894963 1.8816000148924457 
monsoon 	 350.7428291377458 1.8893136254135652 
cold 	 62.10618598609271 1.9639278604471264 
surges 	 193.34651259867437 1.9444768725776844 
results 	 1668.1926983906155 1.08137937674991 
ncep 	 3286.8907141774644 1.3464181157442343 
ncar 	 2683.4386784733383 1.3464181157442343 
reanalysis 	 2300.823499924225 1.4927647116974994 
zhang 	 3286.8907141774644 1.3464181157442343 
kenneth 	 13788.327675332514 0.45475642748501155 
sperber 	 20343.084089989257 0.45475642748501155 
james 	 9682.480452977297 0.45475642748501155 
boyle 	 1565.3392291094472 1.5586481573174213 
program 	 4536.774082242875 0.45475642748501155 
climate 	 2281.063906281301 1.08137937674991 
model 	 4022.092976503444 0.7410208563151437 
diagnosis 	 12595.78197600425 0.45475642748501155 
intercomparison 	 8409.973112966565 0.7410208563151437 
lawrence 	 6173.815681115144 0.7410208563151437 
livermore 	 5606.648741977711 0.9377991096513584 
national 	 1095.5839129522408 1.08137937674991 
laboratory 	 6173.815681115144 0.7410208563151437 
october 	 2762.3696099138924 0.9377991096513584 
table 	 968.9063058464807 1.585563205096617 
contents 	 787.4482318410924 1.5586481573174213 
abstract 	 6430.529783435789 0.7410208563151437 
introduction 	 3945.182720708607 0.7410208563151437 
description 	 2348.8381099724375 0.7410208563151437 
circulation 	 790.1464353412252 1.6965831779193357 
mean 	 1081.3414172846813 1.5279943784743184 
variance 	 4068.6168179978517 1.1907655565171638 
slp 	 821.7226785443661 1.7835554369207023 
surface 	 262.7155608985168 1.865154906466463 
air 	 252.37626223825546 1.8317757215336696 
temperature 	 393.51098646985093 1.8317757215336696 
siberian 	 423.81425187477623 1.8677784560561173 
criteria 	 1223.0699028006716 1.5279943784743184 
statistics 	 2422.905938269219 1.1907655565171638 
trajectories 	 3130.6784582188943 1.276873025892708 
spatial 	 5606.648741977711 0.9377991096513584 
evolution 	 1260.6419283105947 1.3464181157442343 
cont 	 17677.93318073627 0.45475642748501155 
temporal 	 3130.6784582188943 1.276873025892708 
distribution 	 1318.514954411215 1.3464181157442343 
interannual 	 884.4819169560546 1.7425589785774307 
variation 	 441.9483295184067 1.8434046748341233 
meridional 	 1095.6302380591546 1.721455490021026 
wind 	 272.95967766333234 1.8836274827643318 
scale 	 565.1023113097842 1.7095508399957569 
features 	 1310.1067263187063 1.4037601275705256 
summary 	 1578.0730882834428 1.1907655565171638 
discussion 	 2853.2334084111894 0.7410208563151437 
acknowledgments 	 11504.117499621125 0.7410208563151437 
references 	 7279.953249692242 0.7410208563151437 
paper 	 1470.9103556712714 0.9377991096513584 
based 	 394.2233928698563 1.5586481573174213 
addition 	 2848.8068514668335 0.9377991096513584 
documenting 	 20343.084089989257 0.45475642748501155 
frequency 	 574.5136531388548 1.7519553363121583 
intensity 	 621.0484190449828 1.7606899311487656 
preferred 	 15012.782271483278 0.45475642748501155 
propagation 	 2876.029374905281 1.4037601275705256 
tracks 	 8838.966590368134 0.7410208563151437 
patterns 	 701.8658173173234 1.585563205096617 
associated 	 524.9654878940615 1.6824034691948748 
fields 	 1574.4727470005312 1.4037601275705256 
discussed 	 2533.3463006744655 0.9377991096513584 
study 	 777.4921030286278 1.276873025892708 
examines 	 5150.551992043669 0.45475642748501155 
relationship 	 629.3311329649954 1.4518519050513192 
enso 	 1695.257007499105 1.5586481573174213 
average 	 1168.6867124347284 1.4927647116974994 
thirteen 	 18784.070749313367 0.45475642748501155 
season 	 1345.3768930807387 1.4927647116974994 
april 	 4022.092976503444 0.7410208563151437 
strong 	 321.9973000970845 1.79023624557557 
averaged 	 2260.3426766654734 1.4518519050513192 
measured 	 7077.397658340071 0.7410208563151437 
maximum 	 1078.8618021554396 1.4927647116974994 
pressure 	 322.7493484325766 1.7965169813571822 
hpa 	 697.2192424012802 1.8132885003444732 
originate 	 6261.356916437789 0.9377991096513584 
primary 	 9449.378782093107 0.45475642748501155 
source 	 2362.3446955232766 1.08137937674991 
regions 	 558.9434740524587 1.6824034691948748 
northwest 	 3753.1955678708196 1.08137937674991 
lake 	 1564.6085341420953 1.3464181157442343 
baikal 	 5752.058749810562 1.08137937674991 
north 	 848.0284841050145 1.4037601275705256 
balkhash 	 7669.411666414083 0.9377991096513584 
typical 	 2572.211913374316 1.1907655565171638 
surge 	 300.3561826059488 1.8855866833787143 
occurs 	 1723.5409594165642 1.4037601275705256 
period 	 821.7590692990295 1.4518519050513192 
days 	 580.247650878672 1.6093842062467973 
trajectory 	 8838.966590368134 0.7410208563151437 
correlation 	 1121.1474109006156 1.5586481573174213 
analyses 	 4198.593992001416 0.9377991096513584 
indicate 	 3363.442232701847 1.08137937674991 
time 	 333.2910174080303 1.5279943784743184 
centers 	 1436.205550928394 1.4037601275705256 
propagate 	 4601.64699984845 1.1907655565171638 
southeastward 	 3834.7058332070415 1.276873025892708 
