term 	 tf-idf weight 	 BM25 ranking 
 robomedia 	 947.7528544517016 1.7072938994542497 
home 	 259.92237195515656 1.3207131139347685 
page 	 71.4222888339364 1.7721331733049832 
image 	 263.289381070171 1.7721331733049832 
banner_fin 	 2843.258563355105 1.3207131139347685 
gif 	 50.2821244519262 1.7721331733049832 
super 	 169.7305366882199 1.9336957120621494 
power 	 55.89689013858684 1.9336957120621494 
tour 	 216.30217216931828 1.8918824067808981 
picture 	 1739.134732151522 1.3207131139347685 
hosp_3 	 3482.650915359945 1.3207131139347685 
jpg 	 771.653945218988 1.5908789089820932 
robots 	 156.6488650141022 1.9238832727945967 
help 	 500.8856134609496 1.5908789089820932 
kids 	 470.02624172195056 1.8134558155081293 
hurt 	 2272.4159381022805 1.3207131139347685 
welcome 	 1683.664207505405 1.3207131139347685 
describes 	 1171.94102167261 1.3207131139347685 
electronic 	 1633.0235860974406 1.3207131139347685 
personality 	 1710.7388566049126 1.3207131139347685 
eps 	 3482.650915359945 1.3207131139347685 
index 	 84.3628779836423 1.7072938994542497 
htm 	 54.5467121606298 1.8631060437294706 
interact 	 1101.9331056751325 1.5908789089820932 
children 	 40.73119926469194 1.9626134199075358 
hospitals 	 294.8312382475128 1.8420917744941454 
special 	 96.21641113133002 1.9021652833981952 
care 	 191.73050025910777 1.8420917744941454 
environments 	 2203.866211350265 1.3207131139347685 
graphics 	 1768.9874294850765 1.3207131139347685 
hosp_2 	 3482.650915359945 1.3207131139347685 
biggest 	 1906.5656983184585 1.3207131139347685 
teaching 	 793.2193651157212 1.5908789089820932 
elementary 	 1833.7207491192269 1.3207131139347685 
schools 	 782.2369296727126 1.5908789089820932 
dollar 	 1397.0428931784888 1.3207131139347685 
machine 	 1739.134732151522 1.3207131139347685 
program 	 76.3011852583544 1.8918824067808981 
mdm 	 1337.9137985940843 1.5908789089820932 
motivates 	 3482.650915359945 1.3207131139347685 
bodies 	 916.8603745596134 1.5908789089820932 
live 	 1484.0703623495897 1.3207131139347685 
healthy 	 2203.866211350265 1.3207131139347685 
lives 	 1413.438343573106 1.3207131139347685 
achieve 	 1522.884742307817 1.3207131139347685 
personal 	 277.43152148281 1.7072938994542497 
please 	 258.87995271860063 1.7721331733049832 
visit 	 742.0351811747948 1.5908789089820932 
site 	 1161.0622002595371 1.3207131139347685 
extensive 	 1609.265185286652 1.3207131139347685 
information 	 161.1450691207458 1.7072938994542497 
successful 	 1586.4387302314424 1.3207131139347685 
attend 	 1989.8503893173304 1.3207131139347685 
regular 	 1768.9874294850765 1.3207131139347685 
american 	 645.2860732568746 1.3207131139347685 
situations 	 544.3411953658135 1.7072938994542497 
including 	 255.49532477490348 1.5908789089820932 
physically 	 1906.5656983184585 1.3207131139347685 
mentally 	 2036.4352451833288 1.3207131139347685 
challenged 	 2675.8275971881685 1.3207131139347685 
