term 	 tf-idf weight 	 BM25 ranking 
 powerpoint 	 65.82329908755909 1.9807450225640821 
internet 	 11.386940293399244 1.9807450225640821 
elizabeth 	 92.22788985210097 1.961857263889738 
japel 	 131.64659817511819 1.961857263889738 
david 	 55.4004083135242 1.961857263889738 
norling 	 131.64659817511819 1.961857263889738 
christensen 	 131.64659817511819 1.961857263889738 
rod 	 116.3973602027994 1.961857263889738 
mitchell 	 96.23896410156799 1.961857263889738 
slide 	 58.1986801013997 1.9807450225640821 
tsld002 	 131.64659817511819 1.961857263889738 
htm 	 4.811107487249135 1.9871220208430402 
index 	 9.566924307423355 1.961857263889738 
view 	 36.08287889433714 1.961857263889738 
graphic 	 75.21771231096437 1.961857263889738 
version 	 49.94801270762342 1.961857263889738 
sld001 	 116.3973602027994 1.961857263889738 
