term 	 tf-idf weight 	 BM25 ranking 
 press 	 128.5509688658103 1.8694820773502734 
releases 	 308.455084381581 1.8694820773502734 
regional 	 48.53712118240283 1.9656913070897666 
housing 	 118.03405828176138 1.9325398489820107 
market 	 74.63887287937104 1.9325398489820107 
prospects 	 40.289195403992295 1.9724585545724655 
october 	 170.26829585164953 1.8694820773502734 
http 	 4.332743507550326 1.9826972448163593 
www 	 4.29424443344571 1.9826972448163593 
camecon 	 48.24257442118842 1.9826972448163593 
demon 	 43.19817138649927 1.9826972448163593 
hou_pres 	 472.7309661742881 1.8694820773502734 
htm 	 6.478593604988893 1.9826972448163593 
construction 	 189.63297003625536 1.8694820773502734 
september 	 187.4684510753943 1.8694820773502734 
con_pres 	 472.7309661742881 1.8694820773502734 
energy 	 168.56930563919343 1.8694820773502734 
environment 	 144.17920258887398 1.8694820773502734 
july 	 91.65479806502299 1.9325398489820107 
uke3_pre 	 472.7309661742881 1.8694820773502734 
economic 	 118.12869296544899 1.8694820773502734 
reg_pres 	 472.7309661742881 1.8694820773502734 
industry 	 124.60014564041205 1.8694820773502734 
british 	 194.1484847296113 1.8694820773502734 
economy 	 159.07790500367042 1.8694820773502734 
june 	 82.63858131177427 1.9325398489820107 
ind_pres 	 472.7309661742881 1.8694820773502734 
h_press 	 472.7309661742881 1.8694820773502734 
european 	 149.27774575874207 1.8694820773502734 
eupress 	 472.7309661742881 1.8694820773502734 
return 	 119.92422480057593 1.8694820773502734 
hompage 	 472.7309661742881 1.8694820773502734 
index 	 34.35395546756568 1.8694820773502734 
