term 	 tf-idf weight 	 BM25 ranking 
 http 	 71.07893146563573 1.749528764818594 
www 	 70.44735171829925 1.749528764818594 
camecon 	 791.422486707091 1.749528764818594 
demon 	 708.6687356570006 1.749528764818594 
gifs 	 1581.3203692979787 1.4728490283025826 
regional 	 66.35454541391779 1.9533904845972054 
gif 	 139.96055259814509 1.4728490283025826 
service 	 204.9338018744019 1.7868244419032466 
medium 	 2505.787263460731 1.1656201349247535 
term 	 793.2267589305767 1.4728490283025826 
analysis 	 498.2901662802345 1.4728490283025826 
forecasts 	 210.84271590639713 1.9089039407820374 
business 	 105.15679957388922 1.814452798181283 
government 	 238.93283528067158 1.696415843360129 
forecasting 	 944.7380003427814 1.6147155026778333 
developed 	 807.955654819781 1.4728490283025826 
mind 	 1572.1168604106385 1.1656201349247535 
increasing 	 1922.1448781148024 1.1656201349247535 
range 	 1838.995013326135 1.1656201349247535 
businesses 	 2343.2440001363884 1.1656201349247535 
including 	 177.7931383742885 1.696415843360129 
financial 	 1360.695661861247 1.1656201349247535 
institutions 	 1800.4162936448386 1.1656201349247535 
chartered 	 4846.988387356624 1.1656201349247535 
surveyors 	 4285.539171103069 1.1656201349247535 
utilities 	 3162.6407385959574 1.1656201349247535 
companies 	 1763.5917706426653 1.1656201349247535 
telecommunications 	 2601.1915223424016 1.1656201349247535 
retailers 	 3957.1124335354552 1.1656201349247535 
management 	 1349.8230153922127 1.1656201349247535 
consultants 	 1635.4005833109104 1.4728490283025826 
central 	 1417.3621186328442 1.1656201349247535 
annual 	 595.2313032001629 1.696415843360129 
output 	 692.3448519531948 1.696415843360129 
employment 	 229.49541685818397 1.8526476410425603 
sectors 	 363.086652048743 1.8357413399873832 
standard 	 246.9098328530681 1.814452798181283 
planning 	 320.3574796858004 1.7868244419032466 
regions 	 141.2985843378387 1.9089039407820374 
south 	 144.11873656499418 1.866398552515959 
east 	 145.5498643016657 1.877802055822614 
divided 	 2709.3519503682646 1.1656201349247535 
london 	 520.2383044684802 1.749528764818594 
rest 	 417.6312105767885 1.7868244419032466 
full 	 697.1088434765794 1.4728490283025826 
disaggregation 	 2423.494193678312 1.4728490283025826 
investment 	 393.43129151003984 1.749528764818594 
manufacturing 	 492.39856284636153 1.749528764818594 
services 	 126.83027719654267 1.8526476410425603 
dwellings 	 1615.6627957855414 1.6147155026778333 
plus 	 433.5319203904002 1.7868244419032466 
consumers' 	 714.2565285171781 1.7868244419032466 
expenditure 	 659.518738922576 1.7868244419032466 
categories 	 677.3379875920662 1.696415843360129 
food 	 581.9296187334858 1.6147155026778333 
drink 	 1181.1145594283344 1.6147155026778333 
tobacco 	 1054.2135795319857 1.6147155026778333 
durables 	 4846.988387356624 1.1656201349247535 
optional 	 1300.5957611712008 1.4728490283025826 
english 	 1800.4162936448386 1.1656201349247535 
welsh 	 4846.988387356624 1.1656201349247535 
counties 	 3270.801166621821 1.1656201349247535 
scottish 	 4846.988387356624 1.1656201349247535 
forecast 	 496.98241033857454 1.7868244419032466 
reports 	 344.2431252872759 1.7868244419032466 
february 	 484.0890491555783 1.749528764818594 
july 	 469.8758634979027 1.696415843360129 
summaries 	 3270.801166621821 1.1656201349247535 
macro 	 3724.089954849513 1.1656201349247535 
economic 	 121.11929278735909 1.866398552515959 
prospects 	 344.2431252872759 1.7868244419032466 
position 	 1175.5827979024868 1.1656201349247535 
region 	 464.74900738108397 1.696415843360129 
comprehensive 	 1819.4759965470962 1.1656201349247535 
tables 	 1326.733862231917 1.4728490283025826 
sector 	 1252.8936317303655 1.4728490283025826 
commentary 	 1452.346608194972 1.4728490283025826 
written 	 891.9188300616639 1.1656201349247535 
local 	 422.57583168045994 1.6147155026778333 
economists 	 3162.6407385959574 1.1656201349247535 
familiar 	 3270.801166621821 1.1656201349247535 
follows 	 1252.8936317303655 1.4728490283025826 
martin 	 2709.3519503682646 1.1656201349247535 
allen 	 2981.8944620314473 1.1656201349247535 
leeds 	 4285.539171103069 1.1656201349247535 
metropolitan 	 3162.6407385959574 1.1656201349247535 
university 	 243.0422559008969 1.8357413399873832 
esmond 	 4846.988387356624 1.1656201349247535 
birnie 	 4846.988387356624 1.1656201349247535 
queen's 	 1978.5562167677276 1.4728490283025826 
belfast 	 1978.5562167677276 1.4728490283025826 
martyn 	 4846.988387356624 1.1656201349247535 
booth 	 4285.539171103069 1.1656201349247535 
west 	 288.23747312998836 1.749528764818594 
midlands 	 1071.3847927757672 1.696415843360129 
enterprise 	 1354.6759751841323 1.4728490283025826 
board 	 890.8973919414163 1.4728490283025826 
steve 	 3067.236479714287 1.1656201349247535 
bradley 	 4285.539171103069 1.1656201349247535 
lancaster 	 3395.6632172818995 1.1656201349247535 
christopher 	 2834.2140010283442 1.1656201349247535 
collinge 	 4846.988387356624 1.1656201349247535 
birmingham 	 2423.494193678312 1.4728490283025826 
prof 	 1978.5562167677276 1.4728490283025826 
peter 	 1678.2497529598259 1.1656201349247535 
gripaios 	 4846.988387356624 1.1656201349247535 
plymouth 	 3543.343678285003 1.1656201349247535 
polytechnic 	 4285.539171103069 1.1656201349247535 
david 	 2039.7423060888457 1.1656201349247535 
hitchens 	 4846.988387356624 1.1656201349247535 
max 	 3162.6407385959574 1.1656201349247535 
munday 	 4846.988387356624 1.1656201349247535 
wales 	 1978.5562167677276 1.4728490283025826 
barbara 	 2769.3794078127794 1.1656201349247535 
smith 	 2343.2440001363884 1.1656201349247535 
colin 	 3957.1124335354552 1.1656201349247535 
wren 	 4846.988387356624 1.1656201349247535 
newcastle 	 4846.988387356624 1.1656201349247535 
tyne 	 4846.988387356624 1.1656201349247535 
integrated 	 1384.6897039063897 1.4728490283025826 
national 	 115.39960591564567 1.8357413399873832 
model 	 211.82674323587707 1.8357413399873832 
providing 	 1662.2096248499204 1.1656201349247535 
consistent 	 1490.9472310157237 1.4728490283025826 
adding 	 2380.9252128006515 1.1656201349247535 
results 	 1405.7072412966434 1.1656201349247535 
calculation 	 3957.1124335354552 1.1656201349247535 
changes 	 1339.0943817246962 1.1656201349247535 
variables 	 1171.6220000681942 1.4728490283025826 
exchange 	 1922.1448781148024 1.1656201349247535 
rates 	 529.8696912668951 1.696415843360129 
tax 	 1922.1448781148024 1.1656201349247535 
