term 	 tf-idf weight 	 BM25 ranking 
 morrison 	 148.8222768067993 1.9391634570661753 
knudsen 	 173.42900171667736 1.9391634570661753 
financials 	 141.61982530959685 1.959026860685948 
montage 	 424.8594759287905 1.881918741896497 
jpg 	 188.27295570635104 1.881918741896497 
merger 	 310.5893841459694 1.881918741896497 
washington 	 150.00420415433027 1.881918741896497 
construction 	 85.21481564920336 1.9391634570661753 
resulted 	 215.80430840797325 1.881918741896497 
company 	 65.91646729529451 1.9391634570661753 
operational 	 232.58791165053358 1.881918741896497 
focus 	 170.42963129840672 1.881918741896497 
proven 	 261.37593432621327 1.881918741896497 
management 	 118.31781986771247 1.881918741896497 
professionals 	 205.3954617403501 1.881918741896497 
financial 	 119.27085431129447 1.881918741896497 
strength 	 228.00567664976606 1.881918741896497 
essentially 	 223.70132850079915 1.881918741896497 
debt 	 223.70132850079915 1.881918741896497 
free 	 89.84605606683881 1.881918741896497 
unlimited 	 268.85653093791893 1.881918741896497 
bonding 	 424.8594759287905 1.881918741896497 
capacity 	 196.31929236314826 1.881918741896497 
established 	 170.42963129840672 1.881918741896497 
line 	 115.5331492338295 1.881918741896497 
credit 	 170.42963129840672 1.881918741896497 
revenue 	 232.58791165053358 1.881918741896497 
backlog 	 424.8594759287905 1.881918741896497 
employees 	 176.60743906467042 1.881918741896497 
combined 	 277.21912646952217 1.881918741896497 
form 	 109.43123671797807 1.881918741896497 
backbone 	 424.8594759287905 1.881918741896497 
engineering 	 199.2176539740864 1.881918741896497 
force 	 156.182011920594 1.881918741896497 
experience 	 127.39398924491431 1.881918741896497 
countries 	 126.32629995203193 1.881918741896497 
information 	 58.97577271944821 1.881918741896497 
mail 	 125.27442886128694 1.881918741896497 
com 	 17.13507149005745 1.9391634570661753 
mailto 	 51.57730451481803 1.881918741896497 
organization 	 103.81248695830865 1.881918741896497 
corporg 	 424.8594759287905 1.881918741896497 
htm 	 9.316053588946053 1.9752129961390945 
core 	 219.64308111816283 1.881918741896497 
operating 	 185.7814719997509 1.881918741896497 
markets 	 212.16248450645716 1.881918741896497 
busunits 	 424.8594759287905 1.881918741896497 
major 	 95.10772208975307 1.881918741896497 
office 	 116.44929097717896 1.881918741896497 
locations 	 248.4311037938425 1.881918741896497 
offices 	 166.59085858821712 1.881918741896497 
news 	 129.57877701025382 1.881918741896497 
releases 	 277.21912646952217 1.881918741896497 
press 	 115.5331492338295 1.881918741896497 
mkicon 	 346.8580034333547 1.881918741896497 
gif 	 24.536294406094573 1.881918741896497 
return 	 107.77999950431507 1.881918741896497 
home 	 31.708742970474425 1.881918741896497 
page 	 34.85211345161158 1.881918741896497 
header 	 196.31929236314826 1.881918741896497 
