term 	 tf-idf weight 	 BM25 ranking 
 center 	 1039.0369333535534 1.2568985609024892 
democracy 	 1487.010494380737 1.2568985609024892 
technology 	 626.5393783238926 1.5436754168409856 
images 	 1275.380821806804 1.2568985609024892 
cdtlgo 	 3268.281750660765 1.2568985609024892 
gif 	 231.19409799545448 1.2568985609024892 
index 	 290.9214709848284 1.2568985609024892 
html 	 262.88308181796725 1.2568985609024892 
text 	 1750.5324615187794 1.2568985609024892 
safe 	 508.35592367934544 1.7424568960292612 
bill 	 751.3761985740786 1.5436754168409856 
amend 	 3075.8224441905236 1.2568985609024892 
title 	 96.63893519056136 1.8623668295316955 
united 	 76.86620977947477 1.9060903730725434 
code 	 300.5504794296315 1.7885189687002212 
affirm 	 3268.281750660765 1.2568985609024892 
rights 	 616.3772946846896 1.2568985609024892 
americans 	 1823.5867878433592 1.2568985609024892 
sell 	 476.4019353307823 1.7424568960292612 
encryption 	 109.85080157823299 1.9586433638094827 
relax 	 3539.5379079851273 1.2568985609024892 
export 	 258.69933321839954 1.8623668295316955 
controls 	 1034.7973328735982 1.5436754168409856 
enacted 	 2701.439482061726 1.2568985609024892 
senate 	 2237.7240182671226 1.2568985609024892 
house 	 1200.3743493640518 1.2568985609024892 
representatives 	 1750.5324615187794 1.2568985609024892 
america 	 1310.2930906779154 1.2568985609024892 
congress 	 767.6965084887535 1.5436754168409856 
assembled 	 3075.8224441905236 1.2568985609024892 
section 	 243.70227599702392 1.8442362522113787 
short 	 1322.3474708592073 1.2568985609024892 
act 	 93.92004530862384 1.912999954304118 
cited 	 2399.0614342776207 1.2568985609024892 
security 	 290.2525137121773 1.7424568960292612 
freedom 	 257.3633995448352 1.7885189687002212 
sec 	 1266.6550647708998 1.5436754168409856 
sale 	 677.8078982391272 1.6707422070399303 
amended 	 1089.427250220255 1.6707422070399303 
inserting 	 2001.6266858898653 1.5436754168409856 
chapter 	 287.9753872412914 1.8206042405655167 
following 	 328.4961206399859 1.6707422070399303 
encrypted 	 800.6506743559462 1.7885189687002212 
wire 	 467.4277144776936 1.8206042405655167 
electronic 	 208.5705954752172 1.876716744846371 
communications 	 143.33745064446234 1.7885189687002212 
definitions 	 677.8078982391272 1.6707422070399303 
prohibition 	 1025.274148063508 1.6707422070399303 
mandatory 	 1095.7838936211758 1.5436754168409856 
key 	 167.2337314577377 1.8442362522113787 
escrow 	 1769.7689539925636 1.5436754168409856 
unlawful 	 1231.411972283357 1.5436754168409856 
furtherance 	 1089.427250220255 1.6707422070399303 
criminal 	 548.0393936038395 1.6707422070399303 
terms 	 400.12478312135056 1.6707422070399303 
person' 	 2001.6266858898653 1.5436754168409856 
state' 	 4003.2533717797305 1.2568985609024892 
communication' 	 4003.2533717797305 1.2568985609024892 
investigate 	 2069.5946657471964 1.2568985609024892 
law 	 111.91591335830609 1.7885189687002212 
enforcement 	 625.7117864256517 1.6707422070399303 
officer' 	 4003.2533717797305 1.2568985609024892 
judge 	 1823.5867878433592 1.2568985609024892 
competent 	 1199.5307171388104 1.5436754168409856 
jurisdiction' 	 4003.2533717797305 1.2568985609024892 
storage' 	 4003.2533717797305 1.2568985609024892 
meanings 	 2701.439482061726 1.2568985609024892 
encrypt' 	 4003.2533717797305 1.2568985609024892 
encryption' 	 2001.6266858898653 1.5436754168409856 
refer 	 2340.8508230715584 1.2568985609024892 
scrambling 	 2001.6266858898653 1.5436754168409856 
information 	 69.46266188258953 1.8623668295316955 
mathematical 	 844.4367098472666 1.6707422070399303 
formulas 	 2001.6266858898653 1.5436754168409856 
algorithms 	 1402.2831434330808 1.5436754168409856 
preserve 	 1231.411972283357 1.5436754168409856 
confidentiality 	 1350.719741030863 1.5436754168409856 
integrity 	 1350.719741030863 1.5436754168409856 
authenticity 	 1463.2697041806587 1.5436754168409856 
prevent 	 842.3380264033566 1.5436754168409856 
unauthorized 	 1537.9112220952618 1.5436754168409856 
recipients 	 1231.411972283357 1.5436754168409856 
