term 	 tf-idf weight 	 BM25 ranking 
 amnesty 	 158.3163242915744 1.935407760780072 
international 	 54.13694260985938 1.9315089954335567 
irish 	 1097.4948023554348 1.5580222207964043 
section 	 818.5336534608562 1.5580222207964043 
womens 	 242.62047159154938 1.9221056421255562 
rights 	 12.322939187455491 1.976636263210131 
human 	 27.486249598177587 1.9689691835846916 
women 	 39.92287987855027 1.9661958807023912 
girl 	 864.1375921692218 1.6819172276427026 
child 	 698.9048868843155 1.5580222207964043 
inalienable 	 1568.189001438125 1.5580222207964043 
integral 	 1698.3433011408458 1.5580222207964043 
indivisible 	 1280.5623640670588 1.6819172276427026 
universal 	 731.6632015702899 1.6819172276427026 
declaration 	 325.22621126272026 1.8272189445383347 
world 	 64.71003733691245 1.9019037010979132 
conference 	 90.13144982895336 1.9315089954335567 
june 	 1343.138460814154 1.2760330860213833 
protection 	 430.9198945669047 1.6819172276427026 
promotion 	 515.4212831308091 1.7515598544493258 
recognises 	 3396.6866022816916 1.2760330860213833 
inter 	 2147.4122865881805 1.2760330860213833 
dependent 	 1918.426972579514 1.2760330860213833 
promote 	 471.77592179568467 1.7515598544493258 
enshrined 	 3841.6870922011763 1.2760330860213833 
education 	 348.6369703163455 1.5580222207964043 
programmes 	 2808.427952418484 1.2760330860213833 
campaigning 	 1296.2063882538325 1.5580222207964043 
ratification 	 2808.427952418484 1.2760330860213833 
implementation 	 399.232309434924 1.7515598544493258 
treaties 	 2691.377512956765 1.2760330860213833 
specifically 	 1457.5738253770107 1.2760330860213833 
targeted 	 2592.412776507665 1.2760330860213833 
network 	 1596.929237739696 1.2760330860213833 
founded 	 2194.9896047108696 1.2760330860213833 
following 	 315.2384296724528 1.6819172276427026 
decision 	 1142.274430552176 1.2760330860213833 
council 	 1489.6805153859432 1.2760330860213833 
meeting 	 1473.426482660029 1.2760330860213833 
internationals 	 1920.8435461005881 1.5580222207964043 
supreme 	 1749.989114791385 1.2760330860213833 
governing 	 1857.2378371451375 1.2760330860213833 
body 	 684.9461659516593 1.5580222207964043 
increase 	 1343.138460814154 1.2760330860213833 
focus 	 513.6893112374512 1.6819172276427026 
reasons 	 1412.2373472256527 1.2760330860213833 
amnestys 	 1920.8435461005881 1.5580222207964043 
specific 	 692.5006844437045 1.2760330860213833 
targeting 	 2808.427952418484 1.2760330860213833 
lie 	 2691.377512956765 1.2760330860213833 
reality 	 552.7061243913574 1.6819172276427026 
todays 	 2951.6861123622066 1.2760330860213833 
casualties 	 3396.6866022816916 1.2760330860213833 
war 	 1061.3562877373517 1.2760330860213833 
children 	 303.27947081364687 1.7515598544493258 
worlds 	 731.6632015702899 1.6819172276427026 
poor 	 1442.1031972632538 1.2760330860213833 
refugees 	 2506.6856224427215 1.2760330860213833 
double 	 2103.118863093557 1.2760330860213833 
jeopardy 	 3136.37800287625 1.2760330860213833 
discriminated 	 3136.37800287625 1.2760330860213833 
victims 	 1828.6998055746622 1.2760330860213833 
violations 	 487.83931689408035 1.7515598544493258 
countries 	 1142.274430552176 1.2760330860213833 
treat 	 2431.0689135513235 1.2760330860213833 
consequences 	 1577.7636353976006 1.2760330860213833 
discrimination 	 583.3297049304616 1.6819172276427026 
terrible 	 2808.427952418484 1.2760330860213833 
die 	 993.0342118159193 1.5580222207964043 
day 	 891.6201484147696 1.2760330860213833 
various 	 392.1857130305084 1.5580222207964043 
forms 	 387.2434883093924 1.6819172276427026 
gender 	 1296.2063882538325 1.5580222207964043 
based 	 789.8821895108902 1.2760330860213833 
violence 	 389.7884091812432 1.7515598544493258 
form 	 494.7524927671966 1.5580222207964043 
abuse 	 818.5336534608562 1.5580222207964043 
childrens 	 2808.427952418484 1.2760330860213833 
fund 	 1775.1688126357915 1.2760330860213833 
unicef 	 3136.37800287625 1.2760330860213833 
infant 	 2808.427952418484 1.2760330860213833 
girls 	 983.8953707874022 1.6819172276427026 
born 	 2103.118863093557 1.2760330860213833 
female 	 1702.4117966686954 1.2760330860213833 
millions 	 1986.0684236318386 1.2760330860213833 
mutilated 	 3396.6866022816916 1.2760330860213833 
battered 	 2951.6861123622066 1.2760330860213833 
death 	 1161.7304649281773 1.2760330860213833 
burned 	 3136.37800287625 1.2760330860213833 
alive 	 2363.427462498999 1.2760330860213833 
stripped 	 2951.6861123622066 1.2760330860213833 
legal 	 1096.0674437928687 1.2760330860213833 
bought 	 2592.412776507665 1.2760330860213833 
sold 	 2022.7641253170855 1.2760330860213833 
unacknowledged 	 3841.6870922011763 1.2760330860213833 
trade 	 1369.8923319033186 1.2760330860213833 
slaves 	 2808.427952418484 1.2760330860213833 
domestic 	 1397.809773768631 1.2760330860213833 
sexual 	 591.7229375452638 1.6819172276427026 
purposes 	 779.5768183624864 1.5580222207964043 
risk 	 1523.4777922835842 1.2760330860213833 
range 	 1457.5738253770107 1.2760330860213833 
violent 	 2147.4122865881805 1.2760330860213833 
abuses 	 2431.0689135513235 1.2760330860213833 
private 	 1234.8826794303752 1.2760330860213833 
organisations 	 2808.427952418484 1.2760330860213833 
individuals 	 1457.5738253770107 1.2760330860213833 
global 	 1541.0679337123536 1.2760330860213833 
status 	 1061.3562877373517 1.2760330860213833 
necessitated 	 2951.6861123622066 1.2760330860213833 
specification 	 1920.8435461005881 1.5580222207964043 
clarification 	 3396.6866022816916 1.2760330860213833 
existing 	 1658.1183731740723 1.2760330860213833 
humanitarian 	 2951.6861123622066 1.2760330860213833 
law 	 536.9956380869395 1.2760330860213833 
concept 	 646.379841850357 1.5580222207964043 
sent 	 1828.6998055746622 1.2760330860213833 
delegation 	 1097.4948023554348 1.5580222207964043 
fourth 	 365.73996111493244 1.7961842829177168 
ngos 	 1698.3433011408458 1.5580222207964043 
lobby 	 2022.7641253170855 1.2760330860213833 
desperately 	 3396.6866022816916 1.2760330860213833 
required 	 1330.1683227163064 1.2760330860213833 
standards 	 1383.699315655177 1.2760330860213833 
text 	 1679.88316934986 1.2760330860213833 
results 	 1114.1531468054877 1.2760330860213833 
reviewed 	 2022.7641253170855 1.2760330860213833 
question 	 1257.4113067492103 1.2760330860213833 
discussed 	 1268.9791872819299 1.2760330860213833 
beijing 	 448.5629188261275 1.8272189445383347 
undertook 	 1698.3433011408458 1.5580222207964043 
campaign 	 1426.996617925909 1.2760330860213833 
ran 	 2592.412776507665 1.2760330860213833 
march 	 698.9048868843155 1.5580222207964043 
september 	 761.7388961417921 1.5580222207964043 
culminated 	 3841.6870922011763 1.2760330860213833 
attendance 	 2592.412776507665 1.2760330860213833 
fwcw 	 1920.8435461005881 1.5580222207964043 
message 	 2061.6851325232365 1.2760330860213833 
respect 	 1523.4777922835842 1.2760330860213833 
armed 	 2022.7641253170855 1.2760330860213833 
conflict 	 671.569230407077 1.5580222207964043 
universality 	 1568.189001438125 1.5580222207964043 
simultaneously 	 2431.0689135513235 1.2760330860213833 
carried 	 1986.0684236318386 1.2760330860213833 
demonstrations 	 2951.6861123622066 1.2760330860213833 
exhibitions 	 3841.6870922011763 1.2760330860213833 
vigils 	 3841.6870922011763 1.2760330860213833 
staff 	 1304.9886248719 1.2760330860213833 
attended 	 2194.9896047108696 1.2760330860213833 
objectives 	 1523.4777922835842 1.2760330860213833 
primary 	 1577.7636353976006 1.2760330860213833 
objective 	 993.0342118159193 1.5580222207964043 
platform 	 328.89118958066035 1.8500513607359235 
action 	 129.2759683700714 1.892620746574699 
adopted 	 2147.4122865881805 1.2760330860213833 
include 	 548.0337218964344 1.5580222207964043 
statement 	 728.7869126885054 1.5580222207964043 
current 	 904.7226440020044 1.2760330860213833 
impediments 	 3396.6866022816916 1.2760330860213833 
enjoyment 	 1404.213976209242 1.5580222207964043 
practical 	 1559.1536367249728 1.2760330860213833 
steps 	 1749.989114791385 1.2760330860213833 
governments 	 146.97133114579563 1.9019037010979132 
implement 	 2302.2383270646224 1.2760330860213833 
ensure 	 862.8799121131984 1.5580222207964043 
real 	 426.919778102304 1.6819172276427026 
measurable 	 2808.427952418484 1.2760330860213833 
advance 	 1951.3572675763214 1.2760330860213833 
situation 	 623.0240891256975 1.5580222207964043 
region 	 1473.426482660029 1.2760330860213833 
kirsten 	 3841.6870922011763 1.2760330860213833 
timothy 	 3396.6866022816916 1.2760330860213833 
deputy 	 1658.1183731740723 1.2760330860213833 
director 	 1523.4777922835842 1.2760330860213833 
division 	 1637.0673069217123 1.2760330860213833 
advancement 	 1296.2063882538325 1.5580222207964043 
coordinator 	 2592.412776507665 1.2760330860213833 
battlefield 	 3396.6866022816916 1.2760330860213833 
fight 	 2147.4122865881805 1.2760330860213833 
equality 	 2103.118863093557 1.2760330860213833 
home 	 143.35924638763788 1.5580222207964043 
context 	 1577.7636353976006 1.2760330860213833 
cultural 	 426.919778102304 1.6819172276427026 
religious 	 761.7388961417921 1.5580222207964043 
traditional 	 1356.3760431983103 1.2760330860213833 
norms 	 2592.412776507665 1.2760330860213833 
govern 	 2506.6856224427215 1.2760330860213833 
societies 	 2061.6851325232365 1.2760330860213833 
exposing 	 2691.377512956765 1.2760330860213833 
public 	 692.5006844437045 1.2760330860213833 
scrutiny 	 2592.412776507665 1.2760330860213833 
change 	 1028.4259927405442 1.2760330860213833 
occur 	 1857.2378371451375 1.2760330860213833 
reaffirmed 	 3136.37800287625 1.2760330860213833 
commitment 	 1801.3765331177954 1.2760330860213833 
charter 	 2592.412776507665 1.2760330860213833 
instruments 	 2147.4122865881805 1.2760330860213833 
furthermore 	 2808.427952418484 1.2760330860213833 
commit 	 2363.427462498999 1.2760330860213833 
ensuring 	 2808.427952418484 1.2760330860213833 
full 	 552.5233055703259 1.5580222207964043 
fundamental 	 629.0345623942462 1.6819172276427026 
freedoms 	 835.5618741475739 1.6819172276427026 
document 	 1702.4117966686954 1.2760330860213833 
produced 	 1702.4117966686954 1.2760330860213833 
sets 	 2147.4122865881805 1.2760330860213833 
actions 	 1383.699315655177 1.2760330860213833 
undertaken 	 2506.6856224427215 1.2760330860213833 
review 	 866.1910817577501 1.2760330860213833 
national 	 243.90632756492022 1.6819172276427026 
laws 	 1268.9791872819299 1.2760330860213833 
conventions 	 2506.6856224427215 1.2760330860213833 
represents 	 1887.1036871827387 1.2760330860213833 
step 	 770.5339668561768 1.5580222207964043 
acknowledging 	 1698.3433011408458 1.5580222207964043 
includes 	 878.7797203890876 1.2760330860213833 
indivisibility 	 3841.6870922011763 1.2760330860213833 
significance 	 1541.0679337123536 1.2760330860213833 
regional 	 1577.7636353976006 1.2760330860213833 
particularities 	 3841.6870922011763 1.2760330860213833 
historical 	 1069.8597233108649 1.2760330860213833 
backgrounds 	 2592.412776507665 1.2760330860213833 
borne 	 3841.6870922011763 1.2760330860213833 
mind 	 1246.048178251395 1.2760330860213833 
duty 	 1725.7598242263969 1.2760330860213833 
regardless 	 1986.0684236318386 1.2760330860213833 
political 	 607.9635214516263 1.2760330860213833 
economic 	 959.9825428331424 1.2760330860213833 
systems 	 1012.5733354575258 1.2760330860213833 
protect 	 721.0515986316269 1.5580222207964043 
advanced 	 1616.6846426037516 1.2760330860213833 
concepts 	 1577.7636353976006 1.2760330860213833 
valuation 	 3396.6866022816916 1.2760330860213833 
unpaid 	 3136.37800287625 1.2760330860213833 
equal 	 943.5518435913693 1.5580222207964043 
inheritance 	 2951.6861123622066 1.2760330860213833 
condemnation 	 2691.377512956765 1.2760330860213833 
genital 	 3841.6870922011763 1.2760330860213833 
mutilation 	 3841.6870922011763 1.2760330860213833 
curb 	 2691.377512956765 1.2760330860213833 
weaknesses 	 2022.7641253170855 1.2760330860213833 
reluctance 	 2691.377512956765 1.2760330860213833 
identify 	 1951.3572675763214 1.2760330860213833 
prevalent 	 2363.427462498999 1.2760330860213833 
peace 	 1489.6805153859432 1.2760330860213833 
rape 	 2194.9896047108696 1.2760330860213833 
cruel 	 2808.427952418484 1.2760330860213833 
inhuman 	 3396.6866022816916 1.2760330860213833 
degrading 	 3841.6870922011763 1.2760330860213833 
punishment 	 2147.4122865881805 1.2760330860213833 
views 	 1142.274430552176 1.2760330860213833 
forward 	 1887.1036871827387 1.2760330860213833 
struggle 	 1658.1183731740723 1.2760330860213833 
continues 	 2103.118863093557 1.2760330860213833 
attending 	 2431.0689135513235 1.2760330860213833 
agreed 	 1749.989114791385 1.2760330860213833 
priority 	 2147.4122865881805 1.2760330860213833 
essential 	 1577.7636353976006 1.2760330860213833 
refrain 	 3396.6866022816916 1.2760330860213833 
violating 	 2363.427462498999 1.2760330860213833 
actively 	 1404.213976209242 1.5580222207964043 
strategic 	 2103.118863093557 1.2760330860213833 
paragraphs 	 3396.6866022816916 1.2760330860213833 
addition 	 1426.996617925909 1.2760330860213833 
broad 	 1658.1183731740723 1.2760330860213833 
individual 	 1078.4773023640994 1.2760330860213833 
commitments 	 1475.8430561811033 1.5580222207964043 
plenary 	 3136.37800287625 1.2760330860213833 
speeches 	 2506.6856224427215 1.2760330860213833 
close 	 1506.3567776568366 1.2760330860213833 
agencies 	 1426.996617925909 1.2760330860213833 
worldwide 	 629.0345623942462 1.6819172276427026 
fulfil 	 3396.6866022816916 1.2760330860213833 
disseminate 	 3396.6866022816916 1.2760330860213833 
information 	 177.75796284453403 1.6819172276427026 
relating 	 2022.7641253170855 1.2760330860213833 
educate 	 2691.377512956765 1.2760330860213833 
mean 	 1986.0684236318386 1.2760330860213833 
including 	 563.6700979570036 1.2760330860213833 
organising 	 3396.6866022816916 1.2760330860213833 
entitled 	 2061.6851325232365 1.2760330860213833 
dublin 	 3396.6866022816916 1.2760330860213833 
check 	 1702.4117966686954 1.2760330860213833 
page 	 105.04721519218138 1.6819172276427026 
upcoming 	 2592.412776507665 1.2760330860213833 
emphasises 	 3841.6870922011763 1.2760330860213833 
importance 	 1523.4777922835842 1.2760330860213833 
principle 	 959.213486289757 1.5580222207964043 
endorsed 	 3136.37800287625 1.2760330860213833 
continue 	 1489.6805153859432 1.2760330860213833 
urge 	 2363.427462498999 1.2760330860213833 
developing 	 1506.3567776568366 1.2760330860213833 
plans 	 1114.1531468054877 1.2760330860213833 
ongoing 	 2061.6851325232365 1.2760330860213833 
lobbying 	 2431.0689135513235 1.2760330860213833 
activities 	 1151.9287478202111 1.2760330860213833 
please 	 1142.274430552176 1.2760330860213833 
contact 	 1036.5015709173485 1.2760330860213833 
sophie 	 3841.6870922011763 1.2760330860213833 
magennis 	 3841.6870922011763 1.2760330860213833 
smagenni 	 1920.8435461005881 1.5580222207964043 
iol 	 627.27560057525 1.7961842829177168 
mailto 	 233.18753167967026 1.5580222207964043 
index 	 279.18024569844516 1.2760330860213833 
html 	 252.27345071320622 1.2760330860213833 
webmaster 	 1151.1191635323112 1.5580222207964043 
january 	 1489.6805153859432 1.2760330860213833 
ireland 	 2103.118863093557 1.2760330860213833 
line 	 1044.6800254664583 1.2760330860213833 
http 	 281.6831728452971 1.2760330860213833 
www 	 279.18024569844516 1.2760330860213833 
