term 	 tf-idf weight 	 BM25 ranking 
 menu 	 320.7443828324258 1.850123381370271 
image 	 82.93766299461286 1.9221445113395885 
gif 	 15.839157187032882 1.9221445113395885 
index 	 59.793276921395965 1.7833044703687349 
html 	 9.005088129040981 1.9602995308126367 
history 	 75.70298711943136 1.8854464231845736 
lynden 	 79.0272998708969 1.9718115667462983 
page 	 134.99058027032655 1.6089755643305488 
tribune 	 200.49784187826666 1.9221445113395885 
flag 	 1041.3457184215172 1.6089755643305488 
bkbut 	 1454.9670025349924 1.6089755643305488 
hist 	 421.4505092936692 1.850123381370271 
return 	 417.4577445589668 1.6089755643305488 
look 	 220.26257632682996 1.7833044703687349 
lynden's 	 1645.5824771889775 1.6089755643305488 
rich 	 962.2331484972774 1.6089755643305488 
line 	 223.74377492466982 1.7833044703687349 
decade 	 369.6136695188934 1.7833044703687349 
growth 	 506.2204274313059 1.6089755643305488 
world 	 304.9032133086607 1.6089755643305488 
war 	 64.9472583728909 1.9328935378336305 
altered 	 1152.8486231512622 1.6089755643305488 
dairy 	 484.9890008449975 1.850123381370271 
poultry 	 671.7320489026235 1.7833044703687349 
industry 	 144.57822806376927 1.850123381370271 
census 	 1264.3515278810075 1.6089755643305488 
figures 	 239.85870798089903 1.850123381370271 
cent 	 1343.464097805247 1.6089755643305488 
increase 	 287.6659476042775 1.7833044703687349 
totals 	 1454.9670025349924 1.6089755643305488 
article 	 598.7502925021395 1.6089755643305488 
march 	 598.7502925021395 1.6089755643305488 
predicted 	 1073.7360532270225 1.6089755643305488 
experience 	 493.4274231317103 1.6089755643305488 
percent 	 760.3916253502222 1.6089755643305488 
population 	 569.7761506962372 1.6089755643305488 
post 	 271.7829256250239 1.7833044703687349 
period 	 528.960649288712 1.6089755643305488 
dec 	 919.8417115447812 1.6089755643305488 
publisher 	 1202.9870512695998 1.6089755643305488 
sol 	 1343.464097805247 1.6089755643305488 
lewis 	 900.8686718858696 1.6089755643305488 
wrote 	 919.8417115447812 1.6089755643305488 
blacks 	 821.7561019616298 1.6089755643305488 
out' 	 1645.5824771889775 1.6089755643305488 
grim 	 1343.464097805247 1.6089755643305488 
reality 	 710.2531972318845 1.6089755643305488 
brought 	 719.5761239426971 1.6089755643305488 
home 	 61.40777687943991 1.7833044703687349 
farm 	 821.7561019616298 1.6089755643305488 
shop 	 866.4488075735179 1.6089755643305488 
whatcom 	 1454.9670025349924 1.6089755643305488 
county 	 217.5266837372719 1.850123381370271 
boys 	 1202.9870512695998 1.6089755643305488 
enlisted 	 1645.5824771889775 1.6089755643305488 
