term 	 tf-idf weight 	 BM25 ranking 
 baron's 	 118.87621713913096 1.9578969848278929 
treasure 	 335.6278601284129 1.8787940888018049 
blrule 	 356.6286514173929 1.8787940888018049 
jpg 	 64.52547308245833 1.9578969848278929 
cigar 	 29.030761898406872 1.988338824720436 
store 	 31.697614715859252 1.9817361468443793 
indians 	 138.21497717231045 1.937503302096845 
rich 	 255.42916305564088 1.8787940888018049 
tradition 	 186.1462825627492 1.8787940888018049 
indian 	 37.63836836062414 1.9787245522895094 
alive 	 268.73863670159955 1.8787940888018049 
baron 	 159.6691904412378 1.937503302096845 
centuries 	 249.58604539547272 1.8787940888018049 
concept 	 146.99603880086002 1.8787940888018049 
purchased 	 276.4299543446209 1.8787940888018049 
add 	 221.88330301101476 1.8787940888018049 
character 	 196.23125727184888 1.8787940888018049 
hand 	 177.2869400014377 1.8787940888018049 
painted 	 386.2276043092889 1.8787940888018049 
lover's 	 386.2276043092889 1.8787940888018049 
dream 	 249.58604539547272 1.8787940888018049 
image 	 66.04853889389169 1.937503302096845 
indianlarge 	 436.8273484901649 1.8787940888018049 
v15spce 	 218.41367424508246 1.937503302096845 
gif 	 8.40915254293382 1.9578969848278929 
indiansmall 	 436.8273484901649 1.8787940888018049 
feet 	 119.56984190485178 1.937503302096845 
tall 	 193.11380215464445 1.937503302096845 
desktop 	 356.6286514173929 1.8787940888018049 
shown 	 196.23125727184888 1.8787940888018049 
logo 	 181.58229650311185 1.8787940888018049 
index 	 15.872397146406929 1.937503302096845 
html 	 9.561766304290785 1.9578969848278929 
gifts 	 159.6691904412378 1.937503302096845 
accessories 	 294.77590760912705 1.8787940888018049 
home 	 32.60194699781173 1.8787940888018049 
