term 	 tf-idf weight 	 BM25 ranking 
 internet 	 113.86940293399243 1.8228038141610874 
idustrial 	 1316.465981751182 1.674450677451218 
park 	 752.1771231096437 1.674450677451218 
tour 	 735.8733692358251 1.674450677451218 
cdi41e5 	 1316.465981751182 1.674450677451218 
gif 	 5.430568178411273 1.972605919178993 
http 	 6.8947817118341534 1.972605919178993 
www 	 6.833517362445253 1.972605919178993 
mbindustries 	 658.232990875591 1.8228038141610874 
com 	 9.653561402849267 1.9652645624166067 
mbpdk 	 1316.465981751182 1.674450677451218 
colorbay 	 1163.973602027994 1.674450677451218 
cyber 	 1011.481222304806 1.674450677451218 
community 	 113.0275684411041 1.878274321791182 
please 	 391.4336054851694 1.674450677451218 
patient 	 617.2941390746339 1.674450677451218 
misery 	 166.61531494744273 1.925142169025794 
bay 	 127.28732840247048 1.925142169025794 
major 	 294.6999839400799 1.674450677451218 
reconstruction 	 833.0765747372136 1.674450677451218 
currently 	 464.8017593514459 1.674450677451218 
heated 	 1074.7712782441977 1.674450677451218 
meetings 	 680.5841950140257 1.674450677451218 
residents 	 657.4048815693038 1.674450677451218 
dda 	 1163.973602027994 1.674450677451218 
dust 	 962.3896410156799 1.674450677451218 
settles 	 1316.465981751182 1.674450677451218 
able 	 451.4643425518302 1.674450677451218 
pleasantly 	 1316.465981751182 1.674450677451218 
walk 	 888.365748959013 1.674450677451218 
enjoy 	 735.8733692358251 1.674450677451218 
week 	 510.48241960265966 1.674450677451218 
changes 	 363.7046468881891 1.674450677451218 
cdi21f1 	 387.99120067599796 1.878274321791182 
new1t 	 1316.465981751182 1.674450677451218 
questions 	 177.5937271042186 1.8228038141610874 
reguarding 	 1316.465981751182 1.674450677451218 
miserybay's 	 1316.465981751182 1.674450677451218 
service 	 333.96619564717344 1.674450677451218 
page 	 107.99246421626123 1.674450677451218 
dedicated 	 858.988842581618 1.674450677451218 
frequently 	 568.2025577855077 1.674450677451218 
faq 	 769.7865187978219 1.674450677451218 
htm 	 12.027768718122838 1.968113031890619 
meet 	 455.82092055698973 1.674450677451218 
people 	 257.78542356925004 1.674450677451218 
learned 	 769.7865187978219 1.674450677451218 
school 	 204.24820852063087 1.8228038141610874 
odds 	 962.3896410156799 1.674450677451218 
cdi30e1 	 193.99560033799898 1.937226885924563 
camera 	 461.1394492605049 1.8228038141610874 
signature 	 962.3896410156799 1.674450677451218 
collection 	 636.4366420123524 1.674450677451218 
index 	 10.62991589713706 1.9577087988843724 
johns 	 1074.7712782441977 1.674450677451218 
michigan 	 693.1590460588143 1.674450677451218 
miserybay 	 111.04571861987662 1.952547824338935 
local 	 344.32104803593035 1.674450677451218 
gaines 	 214.95425564883956 1.925142169025794 
elementary 	 693.1590460588143 1.674450677451218 
black 	 254.23695954467564 1.674450677451218 
corridale 	 1316.465981751182 1.674450677451218 
sheep 	 1074.7712782441977 1.674450677451218 
wool 	 1316.465981751182 1.674450677451218 
woman 	 608.3133002801777 1.674450677451218 
oxygen 	 1163.973602027994 1.674450677451218 
im4u 	 1163.973602027994 1.674450677451218 
net 	 510.48241960265966 1.674450677451218 
jodys 	 1316.465981751182 1.674450677451218 
rose 	 269.96575376416394 1.878274321791182 
publishing 	 720.6949375086956 1.674450677451218 
picture 	 657.4048815693038 1.674450677451218 
viedo 	 1316.465981751182 1.674450677451218 
peace 	 255.24120980132983 1.8228038141610874 
education 	 238.94122576198137 1.674450677451218 
center 	 341.6862860056529 1.674450677451218 
village 	 182.41143940951872 1.878274321791182 
divine 	 809.8972612924919 1.674450677451218 
mercy 	 1074.7712782441977 1.674450677451218 
sfo 	 1011.481222304806 1.674450677451218 
region 	 504.9125018461159 1.674450677451218 
dmercy 	 1316.465981751182 1.674450677451218 
conventual 	 658.232990875591 1.8228038141610874 
friars 	 1316.465981751182 1.674450677451218 
marytown 	 329.1164954377955 1.9072951715792936 
org 	 186.9962655881499 1.878274321791182 
press 	 357.9900398794717 1.674450677451218 
ewtn 	 1316.465981751182 1.674450677451218 
mtnpress 	 1316.465981751182 1.674450677451218 
catalog 	 288.4436381695625 1.674450677451218 
html 	 43.2244230193967 1.8228038141610874 
bonaventure 	 1316.465981751182 1.674450677451218 
franciscan 	 1316.465981751182 1.674450677451218 
province 	 962.3896410156799 1.674450677451218 
mbay 	 1163.973602027994 1.674450677451218 
services 	 155.01478324021883 1.8228038141610874 
mbpsearch 	 1316.465981751182 1.674450677451218 
search 	 266.91536436873565 1.674450677451218 
bay's 	 1316.465981751182 1.674450677451218 
site 	 438.8894915070415 1.674450677451218 
ais 	 922.2788985210098 1.674450677451218 
lsa 	 1316.465981751182 1.674450677451218 
funstuff 	 1163.973602027994 1.674450677451218 
publications 	 408.49641704126174 1.674450677451218 
mailto 	 159.81699990506996 1.674450677451218 
mail 	 388.1742866124384 1.674450677451218 
