term 	 tf-idf weight 	 BM25 ranking 
 scrimp 	 157.07832736803877 1.9546558396175362 
process 	 54.77834855117074 1.9399946018893388 
page 	 25.7709289606987 1.911322189662233 
seeman 	 628.3133094721551 1.8301742664208671 
composite 	 423.9927438213471 1.8301742664208671 
resin 	 628.3133094721551 1.8301742664208671 
infusion 	 628.3133094721551 1.8301742664208671 
molding 	 628.3133094721551 1.8301742664208671 
tested 	 358.99362693869364 1.8301742664208671 
hull 	 211.99637191067356 1.911322189662233 
forming 	 367.39811124441496 1.8301742664208671 
method 	 226.3059628408 1.8301742664208671 
reduces 	 423.9927438213471 1.8301742664208671 
emissions 	 440.1785652032092 1.8301742664208671 
hand 	 255.00176301576656 1.8301742664208671 
labor 	 226.3059628408 1.8301742664208671 
intensiveness 	 628.3133094721551 1.8301742664208671 
nist 	 314.15665473607754 1.911322189662233 
net 	 243.6393366285421 1.8301742664208671 
posting 	 482.7524015545665 1.8301742664208671 
discusses 	 141.66676570804324 1.8301742664208671 
status 	 173.58630874209024 1.8301742664208671 
article 	 114.3068740231357 1.911322189662233 
titled 	 423.9927438213471 1.8301742664208671 
performance 	 235.85799955240134 1.8301742664208671 
composites 	 555.5328555133608 1.8301742664208671 
commercial 	 240.98096679019167 1.8301742664208671 
structures 	 264.41103967818367 1.8301742664208671 
http 	 15.356559267266979 1.9399946018893388 
spidey 	 628.3133094721551 1.8301742664208671 
gov 	 121.81966831427106 1.911322189662233 
atp 	 628.3133094721551 1.8301742664208671 
prev_comp 	 628.3133094721551 1.8301742664208671 
comp 	 555.5328555133608 1.8301742664208671 
htm 	 17.221577937312247 1.9546558396175362 
describes 	 211.43265854918224 1.8301742664208671 
ongoing 	 168.59574681848898 1.911322189662233 
arpa 	 555.5328555133608 1.8301742664208671 
project 	 115.48669895536878 1.911322189662233 
sbir 	 314.15665473607754 1.911322189662233 
involving 	 278.4318359037586 1.8301742664208671 
gsfc 	 512.9590191620035 1.8301742664208671 
nasa 	 271.18758439762865 1.8301742664208671 
abstracts 	 482.7524015545665 1.8301742664208671 
html 	 41.259676518515036 1.8301742664208671 
aircraft 	 367.39811124441496 1.8301742664208671 
industry 	 82.80389425470422 1.911322189662233 
sailboat 	 628.3133094721551 1.8301742664208671 
built 	 278.4318359037586 1.8301742664208671 
technology 	 196.67155373395732 1.8301742664208671 
nice 	 423.9927438213471 1.8301742664208671 
photos 	 512.9590191620035 1.8301742664208671 
construction 	 252.04382093426344 1.8301742664208671 
available 	 164.33504565351222 1.8301742664208671 
web 	 215.47161803610078 1.8301742664208671 
site 	 209.4699845829062 1.8301742664208671 
paw 	 628.3133094721551 1.8301742664208671 
com 	 50.68119736495865 1.8301742664208671 
sail 	 482.7524015545665 1.8301742664208671 
jboats 	 628.3133094721551 1.8301742664208671 
j32updte 	 628.3133094721551 1.8301742664208671 
patent 	 482.7524015545665 1.8301742664208671 
granted 	 386.5418747077802 1.8301742664208671 
bag 	 512.9590191620035 1.8301742664208671 
basic 	 217.55089390219965 1.8301742664208671 
describing 	 376.5343058283261 1.8301742664208671 
current 	 147.9686567292998 1.8301742664208671 
fiberglass 	 256.47950958100176 1.911322189662233 
boat 	 204.98597379788612 1.911322189662233 
hulls 	 555.5328555133608 1.8301742664208671 
found 	 196.67155373395732 1.8301742664208671 
july 	 243.6393366285421 1.8301742664208671 
issue 	 149.0567493680322 1.8301742664208671 
machine 	 313.7614207489859 1.8301742664208671 
design 	 196.67155373395732 1.8301742664208671 
pages 	 122.1837450836261 1.8301742664208671 
artwork 	 459.3223286665745 1.8301742664208671 
pfd 	 459.3223286665745 1.8301742664208671 
gif 	 36.28606919211169 1.8301742664208671 
return 	 159.39295701342368 1.8301742664208671 
recreational 	 397.604728851852 1.8301742664208671 
building 	 207.54332502274553 1.8301742664208671 
home 	 46.893211435208656 1.8301742664208671 
index2 	 397.604728851852 1.8301742664208671 
