term 	 tf-idf weight 	 BM25 ranking 
 atemi_title_transp 	 442.8112847708521 1.8772356500518168 
gif 	 8.524346413384968 1.9573325355029672 
click 	 30.34853687632704 1.9573325355029672 
download 	 310.22108404797603 1.8772356500518168 
free 	 46.82118414750755 1.9366742901239224 
internet 	 76.60305288286763 1.8772356500518168 
encryption 	 340.22550204798017 1.8772356500518168 
software 	 207.63530132510414 1.8772356500518168 
free_stuff 	 221.40564238542606 1.9366742901239224 
html 	 4.1540354590069555 1.9814882727975027 
info 	 51.10719412305643 1.9573325355029672 
netshadetm 	 442.8112847708521 1.8772356500518168 
windows 	 265.3670345837727 1.8772356500518168 
netshade 	 195.75919670470807 1.9366742901239224 
networking 	 361.51397540941196 1.8772356500518168 
products 	 166.22373301788286 1.8772356500518168 
product_info 	 221.40564238542606 1.9366742901239224 
stuff 	 340.22550204798017 1.8772356500518168 
sales 	 201.71214095726245 1.8772356500518168 
sales_info 	 442.8112847708521 1.8772356500518168 
product 	 191.12267852785257 1.8772356500518168 
links 	 121.20778494464427 1.9366742901239224 
atemi 	 88.56225695417042 1.974179179513502 
corporation 	 82.24123810476424 1.9366742901239224 
hill 	 280.21666604797184 1.8772356500518168 
suite 	 298.8139337407589 1.8772356500518168 
champaign 	 323.7128792507287 1.8772356500518168 
fax 	 175.60335923517948 1.8772356500518168 
mail 	 130.56771458782018 1.8772356500518168 
support 	 51.38620793044622 1.9366742901239224 
com 	 11.906059063514096 1.9573325355029672 
mailto 	 53.75662724079626 1.8772356500518168 
site 	 147.62646532509578 1.8772356500518168 
modified 	 221.12709652785676 1.8772356500518168 
december 	 179.7155282206355 1.8772356500518168 
note 	 201.71214095726245 1.8772356500518168 
registered 	 217.51662437931878 1.8772356500518168 
trademark 	 361.51397540941196 1.8772356500518168 
atemiconnect 	 442.8112847708521 1.8772356500518168 
trademarks 	 288.93261068654425 1.8772356500518168 
rsapx100 	 442.8112847708521 1.8772356500518168 
http 	 16.234076939682236 1.9366742901239224 
www 	 16.089827244302914 1.9366742901239224 
rsa 	 391.51839340941615 1.8772356500518168 
ribbon_transp 	 442.8112847708521 1.8772356500518168 
eff 	 442.8112847708521 1.8772356500518168 
org 	 188.69623163895125 1.8772356500518168 
