term 	 tf-idf weight 	 BM25 ranking 
 premium 	 8316.172332998814 0.6674774321664897 
cigars 	 2207.1893795942206 1.429315492051634 
blrule 	 11035.946897971104 0.6674774321664897 
jpg 	 5990.262069586577 0.6674774321664897 
name 	 1106.1106471754151 1.3341436061272363 
macanudo 	 13517.712058072364 0.6674774321664897 
cigar 	 823.4993178236442 1.7147320361417098 
spcegf5 	 16.91828793250609 1.995015318179691 
gif 	 0.7520894605466586 1.9961608404194524 
length 	 1930.8728648916879 1.3341436061272363 
ring 	 2470.4979534709328 1.3341436061272363 
wrapper 	 3379.428014518091 1.3341436061272363 
box 	 1458.6017932243885 1.3341436061272363 
price 	 648.1378075672435 1.3341436061272363 
single 	 1217.2027858508743 1.3341436061272363 
ascot 	 13517.712058072364 0.6674774321664897 
tin 	 11951.892577187447 0.6674774321664897 
spacegif 	 57.522178970520706 1.9831528549998363 
claro 	 2252.9520096787273 1.5006835638186373 
hampton 	 11951.892577187447 0.6674774321664897 
court 	 4158.370711153891 0.6674774321664897 
miniatures 	 13517.712058072364 0.6674774321664897 
natural 	 422.85969919751955 1.7147320361417098 
petit 	 4505.904019357455 1.200875200990148 
corona 	 4505.904019357455 1.200875200990148 
portofino 	 13517.712058072364 0.6674774321664897 
prince 	 4410.126807708807 1.0009118339559835 
philip 	 4940.9959069418655 1.0009118339559835 
maduro 	 6758.856029036182 1.0009118339559835 
rothschild 	 13517.712058072364 0.6674774321664897 
baron 	 1235.2489767354664 1.6005832546330019 
logo 	 1404.775369179896 1.3341436061272363 
http 	 110.12846788811461 1.6369059005933935 
www 	 109.14990914378464 1.6369059005933935 
cigarbaron 	 1228.8829143702148 1.6927821938824186 
com 	 121.1521956057583 1.6369059005933935 
index 	 122.79364778675772 1.6005832546330019 
html 	 73.97270575819482 1.7147320361417098 
baron's 	 2758.986724492776 1.3341436061272363 
choice 	 655.2157874331865 1.6005832546330019 
home 	 168.1456581462482 1.5006835638186373 
montecruz 	 13517.712058072364 0.6674774321664897 
docs 	 5975.946288593724 1.0009118339559835 
tubos 	 13517.712058072364 0.6674774321664897 
padron 	 13517.712058072364 0.6674774321664897 
churchill 	 11035.946897971104 0.6674774321664897 
delicias 	 13517.712058072364 0.6674774321664897 
primo 	 13517.712058072364 0.6674774321664897 
del 	 7254.4341345326975 0.6674774321664897 
rey 	 11951.892577187447 0.6674774321664897 
cazadores 	 13517.712058072364 0.6674774321664897 
chavon 	 13517.712058072364 0.6674774321664897 
soberanos 	 13517.712058072364 0.6674774321664897 
