term 	 tf-idf weight 	 BM25 ranking 
 cdi8302 	 1292.5302366284332 1.6794209898650796 
gif 	 4.665351753271503 1.9764204848550178 
colorbay 	 1142.810445627485 1.6794209898650796 
writing 	 153.6327848863535 1.8803551172632027 
services 	 50.73211087861707 1.9383330241067307 
misery 	 163.58594558476196 1.926453169987418 
bay 	 89.26643810043385 1.9469087365440776 
publications 	 100.26730236467334 1.9089039407820374 
offers 	 447.5332674559536 1.6794209898650796 
complete 	 240.0555058193118 1.8257448598472685 
editorial 	 817.9297279238098 1.6794209898650796 
business 	 196.29269253792654 1.6794209898650796 
questions 	 174.36475024777826 1.8257448598472685 
cdi21f1 	 285.70261140687126 1.9089039407820374 
cdif260 	 323.1325591571083 1.9089039407820374 
graphic 	 246.16705847224705 1.8803551172632027 
htm 	 23.618164028313938 1.9383330241067307 
text 	 565.1943373513548 1.6794209898650796 
scanned 	 1292.5302366284332 1.6794209898650796 
submitted 	 738.5011754167411 1.6794209898650796 
electronically 	 993.0906546265368 1.6794209898650796 
cdi30e1 	 190.46840760458082 1.9383330241067307 
save 	 722.4938534315373 1.6794209898650796 
countless 	 1055.2299822761215 1.6794209898650796 
hours 	 565.1943373513548 1.6794209898650796 
avoid 	 588.781384415793 1.6794209898650796 
costly 	 843.3708636255885 1.6794209898650796 
mistakes 	 817.9297279238098 1.6794209898650796 
retype 	 1292.5302366284332 1.6794209898650796 
information 	 44.85481305422821 1.9089039407820374 
newsletter 	 265.05728551390644 1.8803551172632027 
try_ 	 1292.5302366284332 1.6794209898650796 
regulat 	 1292.5302366284332 1.6794209898650796 
basis 	 426.9462686182194 1.6794209898650796 
consistantly 	 1292.5302366284332 1.6794209898650796 
special 	 357.09183512658564 1.6794209898650796 
rates 	 565.1943373513548 1.6794209898650796 
dread 	 1142.810445627485 1.6794209898650796 
press 	 87.87028251587033 1.9089039407820374 
releases 	 281.1236212085295 1.8803551172632027 
announce 	 944.8916475426674 1.6794209898650796 
business' 	 944.8916475426674 1.6794209898650796 
accomplishments 	 905.5101912751733 1.6794209898650796 
experience 	 387.5648123507252 1.6794209898650796 
doing 	 268.6423016758367 1.8257448598472685 
break 	 624.865066703037 1.6794209898650796 
sweat 	 1292.5302366284332 1.6794209898650796 
gladly 	 1292.5302366284332 1.6794209898650796 
quote 	 993.0906546265368 1.6794209898650796 
requests 	 408.9648639619049 1.8257448598472685 
references 	 817.9297279238098 1.6794209898650796 
available 	 338.060665344368 1.6794209898650796 
charges 	 183.59633348654717 1.8803551172632027 
hour 	 218.843805709494 1.8803551172632027 
min 	 944.8916475426674 1.6794209898650796 
charge 	 298.62652922845086 1.8257448598472685 
editing 	 1055.2299822761215 1.6794209898650796 
scanning 	 646.2651183142166 1.8257448598472685 
graphics 	 328.265708564241 1.8257448598472685 
html 	 84.87704883808807 1.6794209898650796 
ect 	 1292.5302366284332 1.6794209898650796 
ship 	 905.5101912751733 1.6794209898650796 
art 	 244.49169962179582 1.6794209898650796 
send 	 76.08114687815896 1.8803551172632027 
snail 	 1292.5302366284332 1.6794209898650796 
mail 	 47.63957153879926 1.9533904845972052 
internet 	 223.59810030674876 1.6794209898650796 
know 	 537.2846033516734 1.6794209898650796 
handle 	 707.5913931903557 1.6794209898650796 
printing 	 905.5101912751733 1.6794209898650796 
printer 	 1292.5302366284332 1.6794209898650796 
separate 	 557.8716021894076 1.6794209898650796 
project 	 475.1452757020887 1.6794209898650796 
fill 	 795.1718565417193 1.6794209898650796 
form 	 332.9175652265248 1.6794209898650796 
answer 	 668.2099369228615 1.6794209898650796 
name 	 423.0542714296409 1.6794209898650796 
company 	 401.06920945869336 1.6794209898650796 
address 	 230.44917732953024 1.8257448598472685 
city 	 359.9528041045901 1.6794209898650796 
providence 	 1292.5302366284332 1.6794209898650796 
zip 	 1292.5302366284332 1.6794209898650796 
code 	 485.19359907922563 1.6794209898650796 
phone 	 163.46622340676757 1.8803551172632027 
ext 	 1055.2299822761215 1.6794209898650796 
fax 	 170.85732249909356 1.8803551172632027 
favorite 	 905.5101912751733 1.6794209898650796 
web 	 221.62794997998938 1.8257448598472685 
site 	 215.45484128527494 1.8257448598472685 
publication 	 693.6510726246404 1.6794209898650796 
html's 	 1292.5302366284332 1.6794209898650796 
newsletters 	 1142.810445627485 1.6794209898650796 
pricing 	 817.9297279238098 1.6794209898650796 
please 	 192.15831541999222 1.8257448598472685 
campaign 	 480.1110116386236 1.6794209898650796 
tie 	 1055.2299822761215 1.6794209898650796 
release 	 543.9312816236921 1.6794209898650796 
logos 	 1055.2299822761215 1.6794209898650796 
brochures 	 1142.810445627485 1.6794209898650796 
write 	 439.0615934148449 1.6794209898650796 
miserybay 	 174.44272888649712 1.926453169987418 
com 	 20.851692630154417 1.926453169987418 
faq 	 377.89520013711257 1.8257448598472685 
cyber 	 993.0906546265368 1.6794209898650796 
community 	 332.9175652265248 1.6794209898650796 
index 	 93.92980229106567 1.6794209898650796 
http 	 94.77190862084764 1.6794209898650796 
www 	 93.92980229106567 1.6794209898650796 
computer 	 501.2009210644295 1.6794209898650796 
files 	 656.531417128482 1.6794209898650796 
quark 	 1292.5302366284332 1.6794209898650796 
im4u 	 1142.810445627485 1.6794209898650796 
net 	 501.2009210644295 1.6794209898650796 
box 	 557.8716021894076 1.6794209898650796 
gaines 	 1055.2299822761215 1.6794209898650796 
michigan 	 680.5561543122905 1.6794209898650796 
