term 	 tf-idf weight 	 BM25 ranking 
 italy 	 198.8708952249277 1.8725758077861772 
pleasure 	 186.79054779326765 1.9119870948738702 
motor 	 1058.4218593265791 1.5232075279131518 
boats 	 301.5712533168033 1.8904191509906605 
isa9207 	 2342.496874081338 1.4375319749104702 
usdoc 	 4684.993748162676 1.1219901757488229 
international 	 265.4940127713699 1.703723665272767 
trade 	 419.88219449650006 1.703723665272767 
administration 	 755.8938640798951 1.4375319749104702 
source 	 2176.1833320008964 1.1219901757488229 
key 	 516.4914222425447 1.5862328514592021 
program 	 1044.8149414372083 1.1219901757488229 
market 	 77.82481240469009 1.9297614577679085 
research 	 2032.4958958859465 0.7796986419535596 
reports 	 2257.97990697691 1.1219901757488229 
update 	 5579.930320773456 0.7796986419535596 
monthly 	 5579.930320773456 0.7796986419535596 
title 	 2046.6075243346388 0.7796986419535596 
data 	 743.7629682581074 1.4375319749104702 
type 	 1088.0916660004482 1.4375319749104702 
text 	 2317.0351190954843 1.1219901757488229 
updated 	 1897.239350458466 0.7796986419535596 
keywords 	 9369.987496325351 0.7796986419535596 
prospects 	 1505.3199379846067 1.3143213523459647 
cc475 	 10597.551153097014 0.7796986419535596 
competition 	 2317.0351190954843 1.1219901757488229 
distribution 	 1062.7847782728109 1.4375319749104702 
users 	 2646.054648316448 1.1219901757488229 
isa 	 8651.908789865793 0.7796986419535596 
access 	 1272.3424133049423 1.3143213523459647 
assessment 	 1158.5175595477422 1.4375319749104702 
plb 	 9369.987496325351 0.7796986419535596 
accessories 	 3575.6721395600275 1.1219901757488229 
boat 	 230.4953394260675 1.9008339006234631 
sporting 	 8651.908789865793 0.7796986419535596 
recreation 	 2289.174053669201 0.7796986419535596 
spt 	 2305.4967498600213 0.7796986419535596 
contacts 	 1303.934590680912 1.5232075279131518 
promotion 	 1895.7655086701207 1.3143213523459647 
country 	 2881.8198210297473 0.7796986419535596 
eec 	 10597.551153097014 0.7796986419535596 
europe 	 726.8575915084466 1.5232075279131518 
european 	 669.2933866803347 1.5232075279131518 
community 	 1364.807888926332 1.1219901757488229 
economic 	 882.7253807671315 1.3143213523459647 
oecd 	 6196.781476322466 0.7796986419535596 
organization 	 1294.7317915715819 1.1219901757488229 
cooperation 	 2843.648263005181 1.1219901757488229 
development 	 686.944166803498 1.3143213523459647 
developmet 	 10597.551153097014 0.7796986419535596 
west 	 3151.040524155613 0.7796986419535596 
western 	 1562.4015036150645 1.1219901757488229 
countries 	 1050.3468413852045 1.3143213523459647 
summary 	 3634.287957542233 0.7796986419535596 
article 	 1927.975941856889 1.1219901757488229 
derived 	 6055.025841032632 0.7796986419535596 
report 	 2793.251366192022 0.7796986419535596 
titled 	 7151.344279120055 0.7796986419535596 
dated 	 4325.954394932896 1.1219901757488229 
july 	 2054.6917389007053 1.1219901757488229 
prepared 	 5123.314968199437 0.7796986419535596 
susanna 	 10597.551153097014 0.7796986419535596 
lezzi 	 10597.551153097014 0.7796986419535596 
american 	 981.7883468538874 1.1219901757488229 
consulate 	 8142.423839553689 0.7796986419535596 
genoa 	 963.4137411906377 1.7508823007832064 
consists 	 6055.025841032632 0.7796986419535596 
pages 	 2060.8325004104936 0.7796986419535596 
contains 	 5123.314968199437 0.7796986419535596 
following 	 869.606322351891 1.3143213523459647 
subtopics 	 9369.987496325351 0.7796986419535596 
overview 	 1536.7330397137996 1.1219901757488229 
statistical 	 2739.351384931453 1.1219901757488229 
sales 	 402.28851535508085 1.7692469141414282 
competitive 	 882.0182161054828 1.5862328514592021 
situation 	 1718.6536788810129 1.1219901757488229 
opportunities 	 2229.866434619349 1.1219901757488229 
italian 	 112.59807014112545 1.935546562831552 
motorboats 	 961.3231988739768 1.703723665272767 
including 	 518.307239606362 1.3143213523459647 
inboard 	 1081.488598733224 1.672748920333066 
outboard 	 786.537162715072 1.7508823007832064 
pneumatic 	 2649.3877882742536 1.4375319749104702 
experienced 	 716.2228943894407 1.3143213523459647 
exceptional 	 6914.860182782025 0.7796986419535596 
growth 	 465.7227932368014 1.6345413893037837 
quinquennium 	 10597.551153097014 0.7796986419535596 
surging 	 9369.987496325351 0.7796986419535596 
half 	 2257.97990697691 1.1219901757488229 
times 	 2881.8198210297473 0.7796986419535596 
volume 	 2900.7971234725 1.1219901757488229 
demand 	 354.26159275760364 1.7692469141414282 
reached 	 1586.874687801116 1.3143213523459647 
peak 	 3575.6721395600275 1.1219901757488229 
phase 	 2843.648263005181 1.1219901757488229 
trend 	 1323.027324158224 1.4375319749104702 
accentuated 	 3532.5170510323387 1.3143213523459647 
laws 	 1166.8546940167694 1.3143213523459647 
issued 	 1656.4059398502677 1.3143213523459647 
parliament 	 2202.618130869939 1.1219901757488229 
somewhat 	 2739.351384931453 1.1219901757488229 
alleviated 	 10597.551153097014 0.7796986419535596 
tax 	 1400.871843268031 1.3143213523459647 
burdens 	 8651.908789865793 0.7796986419535596 
motorboat 	 1766.2585255161694 1.5862328514592021 
owners 	 1826.234256620969 1.3143213523459647 
period 	 1703.253290709653 1.1219901757488229 
astonishing 	 5298.775576548507 1.1219901757488229 
expansion 	 4202.615529804093 0.7796986419535596 
entered 	 6706.26642663457 0.7796986419535596 
cycle 	 5123.314968199437 0.7796986419535596 
characterized 	 6055.025841032632 0.7796986419535596 
stability 	 5801.594246945 0.7796986419535596 
inflection 	 3532.5170510323387 1.3143213523459647 
rate 	 1908.5136199574133 1.1219901757488229 
affected 	 4459.732869238698 0.7796986419535596 
sector 	 1826.234256620969 1.3143213523459647 
imports 	 618.6954277578441 1.7692469141414282 
increase 	 926.2843512857736 1.4375319749104702 
current 	 1247.8690050837615 1.1219901757488229 
terms 	 3177.6726049682147 0.7796986419535596 
covered 	 2413.731092130485 1.1219901757488229 
approximately 	 544.1024519172701 1.703723665272767 
particular 	 1673.233466700837 1.1219901757488229 
exports 	 2116.9595416570337 1.3143213523459647 
continue 	 1027.3458694503527 1.4375319749104702 
play 	 2202.618130869939 1.1219901757488229 
preponderant 	 10597.551153097014 0.7796986419535596 
role 	 1160.9856436324892 1.1219901757488229 
maintaining 	 5292.109296632896 0.7796986419535596 
import 	 710.9120657512952 1.672748920333066 
share 	 435.2366664001793 1.7293418180397342 
covering 	 3175.43931248555 1.1219901757488229 
notwithstanding 	 4684.993748162676 1.1219901757488229 
party's 	 7151.344279120055 0.7796986419535596 
atmosphere 	 5478.702769862906 0.7796986419535596 
prevailing 	 6914.860182782025 0.7796986419535596 
domestic 	 481.99398546422225 1.672748920333066 
powerboat 	 10597.551153097014 0.7796986419535596 
suppliers 	 1549.4473220352445 1.5232075279131518 
slow 	 5687.296526010362 0.7796986419535596 
currently 	 935.4135406947848 1.4375319749104702 
affecting 	 2484.6089097754016 1.1219901757488229 
stars 	 4684.993748162676 1.1219901757488229 
stripes 	 5298.775576548507 1.1219901757488229 
production 	 486.9689139284717 1.672748920333066 
costs 	 1259.6465834895002 1.3143213523459647 
viewed 	 5292.109296632896 0.7796986419535596 
invasion 	 2646.054648316448 1.1219901757488229 
expected 	 743.2888115397831 1.5862328514592021 
medium 	 1095.7405539725812 1.5232075279131518 
size 	 979.3844134510862 1.5232075279131518 
especially 	 1024.4886931425333 1.3143213523459647 
cabin 	 3873.6183050881114 1.1219901757488229 
cruisers 	 2649.3877882742536 1.4375319749104702 
day 	 1229.7969492543277 1.1219901757488229 
millions 	 5478.702769862906 0.7796986419535596 
percent 	 2448.4610336277156 1.1219901757488229 
gain 	 5123.314968199437 0.7796986419535596 
previous 	 670.1358371606143 1.5862328514592021 
est 	 1856.0862832735322 1.4375319749104702 
avg 	 9369.987496325351 0.7796986419535596 
annual 	 650.7127394861039 1.672748920333066 
real 	 1766.530203315842 1.1219901757488229 
local 	 923.9281455630799 1.3143213523459647 
