term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 513.8156093515854 1.7522379327157482 
cpjlogo 	 957.4298049099505 1.7522379327157482 
gif 	 55.29305781655115 1.7522379327157482 
board 	 351.9594634830287 1.7522379327157482 
directors 	 302.9369362680777 1.8679390423917337 
honorary 	 699.9197389204944 1.7522379327157482 
chair 	 196.33873001030108 1.9099779621743043 
walter 	 312.35957912058836 1.8679390423917337 
cronkite 	 260.5506129076843 1.9099779621743043 
http 	 23.400471264406825 1.9099779621743043 
asu 	 781.651838723053 1.7522379327157482 
edu 	 174.97394439446987 1.7522379327157482 
html 	 20.957296009404462 1.9099779621743043 
cbs 	 423.2631280101796 1.8679390423917337 
news 	 48.668085262067166 1.9539526622929428 
kati 	 699.9197389204944 1.7522379327157482 
marton 	 624.7191582411767 1.7522379327157482 
vice 	 462.86301237261995 1.7522379327157482 
gene 	 735.622707130768 1.7522379327157482 
roberts 	 781.651838723053 1.7522379327157482 
york 	 88.17082348804584 1.9099779621743043 
times 	 86.78546421320526 1.9099779621743043 
franz 	 624.7191582411767 1.7522379327157482 
allina 	 957.4298049099505 1.7522379327157482 
terry 	 781.651838723053 1.7522379327157482 
anderson 	 624.7191582411767 1.7522379327157482 
peter 	 331.5061240414471 1.7522379327157482 
arnett 	 957.4298049099505 1.7522379327157482 
cnn 	 323.0420905305502 1.8679390423917337 
tom 	 504.11566986095585 1.7522379327157482 
brokaw 	 846.5262560203593 1.7522379327157482 
nbc 	 390.8259193615265 1.8679390423917337 
josh 	 846.5262560203593 1.7522379327157482 
friedman 	 646.0841810611004 1.7522379327157482 
newsday 	 781.651838723053 1.7522379327157482 
james 	 402.9120604619942 1.7522379327157482 
goodale 	 957.4298049099505 1.7522379327157482 
cheryl 	 957.4298049099505 1.7522379327157482 
gould 	 735.622707130768 1.7522379327157482 
katharine 	 957.4298049099505 1.7522379327157482 
graham 	 670.7482898334616 1.7522379327157482 
washington 	 338.03764316468795 1.7522379327157482 
post 	 316.2564952727551 1.7522379327157482 
rea 	 781.651838723053 1.7522379327157482 
hederman 	 957.4298049099505 1.7522379327157482 
review 	 215.87316679320875 1.7522379327157482 
books 	 375.41601935372876 1.7522379327157482 
karen 	 735.622707130768 1.7522379327157482 
elliot 	 957.4298049099505 1.7522379327157482 
house 	 287.0850461857224 1.7522379327157482 
dow 	 670.7482898334616 1.7522379327157482 
jones 	 504.11566986095585 1.7522379327157482 
charlayne 	 957.4298049099505 1.7522379327157482 
hunter 	 646.0841810611004 1.7522379327157482 
gault 	 478.71490245497523 1.8679390423917337 
www 	 34.78881566335765 1.8679390423917337 
igc 	 846.5262560203593 1.7522379327157482 
apc 	 735.622707130768 1.7522379327157482 
org 	 135.997284064109 1.9099779621743043 
globalvision 	 957.4298049099505 1.7522379327157482 
newshour 	 957.4298049099505 1.7522379327157482 
jim 	 524.1417727335968 1.7522379327157482 
lehrer 	 957.4298049099505 1.7522379327157482 
alberto 	 957.4298049099505 1.7522379327157482 
ibarguen 	 957.4298049099505 1.7522379327157482 
miami 	 781.651838723053 1.7522379327157482 
herald 	 957.4298049099505 1.7522379327157482 
isaacson 	 957.4298049099505 1.7522379327157482 
time 	 152.55973748716082 1.7522379327157482 
magazine 	 247.48516182328206 1.8679390423917337 
bill 	 359.4026659846116 1.7522379327157482 
kovach 	 957.4298049099505 1.7522379327157482 
nieman 	 957.4298049099505 1.7522379327157482 
foundation 	 407.99185219232703 1.7522379327157482 
jane 	 699.9197389204944 1.7522379327157482 
kramer 	 957.4298049099505 1.7522379327157482 
yorker 	 957.4298049099505 1.7522379327157482 
anthony 	 646.0841810611004 1.7522379327157482 
lewis 	 524.1417727335968 1.7522379327157482 
john 	 113.80206287878038 1.9099779621743043 
macarthur 	 735.622707130768 1.7522379327157482 
harper's 	 846.5262560203593 1.7522379327157482 
david 	 402.9120604619942 1.7522379327157482 
marash 	 957.4298049099505 1.7522379327157482 
abc 	 349.9598694602472 1.8679390423917337 
