term 	 tf-idf weight 	 BM25 ranking 
 welcome 	 679.8300494222856 1.6560711487949864 
irish 	 401.7309634790143 1.811858775604862 
section's 	 703.1125129807449 1.811858775604862 
anti 	 456.10797802037047 1.6560711487949864 
death 	 47.249335281779445 1.9548903445416446 
penalty 	 140.45327280897877 1.9330900875863983 
page 	 38.451862258820285 1.8705121843738832 
amnesty 	 328.38718356429894 1.8705121843738832 
international 	 317.06371372752534 1.6560711487949864 
opposes 	 1243.3354385299026 1.6560711487949864 
reservation 	 1148.051138124484 1.6560711487949864 
pix 	 621.6677192649513 1.811858775604862 
echair 	 1406.2250259614898 1.6560711487949864 
gif 	 40.605839334029746 1.811858775604862 
time 	 112.03605721713372 1.811858775604862 
abolish 	 1148.051138124484 1.6560711487949864 
world 	 260.55365500921914 1.6560711487949864 
wide 	 501.440339559626 1.6560711487949864 
abolition 	 1028.007116539476 1.6560711487949864 
compelling 	 985.1615506928968 1.6560711487949864 
passing 	 786.046553501904 1.6560711487949864 
shown 	 631.7033624504724 1.6560711487949864 
special 	 388.502690994202 1.6560711487949864 
power 	 338.5507521280389 1.6560711487949864 
reduce 	 591.777088803554 1.6560711487949864 
crime 	 285.3591157557388 1.811858775604862 
political 	 111.27058219714344 1.811858775604862 
violence 	 570.7182315114776 1.6560711487949864 
country 	 191.19922584471783 1.811858775604862 
disproportionately 	 1406.2250259614898 1.6560711487949864 
poor 	 527.8726656648982 1.6560711487949864 
racial 	 726.987662855891 1.6560711487949864 
ethnic 	 539.3383542447147 1.6560711487949864 
minorities 	 714.2818658573763 1.6560711487949864 
tool 	 631.7033624504724 1.6560711487949864 
repression 	 865.117529107889 1.6560711487949864 
arbitrary 	 985.1615506928968 1.6560711487949864 
irrevocable 	 621.6677192649513 1.811858775604862 
imposed 	 726.987662855891 1.6560711487949864 
inflicted 	 1080.4458510983154 1.6560711487949864 
arbitrarily 	 1406.2250259614898 1.6560711487949864 
punishment 	 393.023276750952 1.811858775604862 
resulting 	 577.5303026766918 1.6560711487949864 
inevitably 	 1243.3354385299026 1.6560711487949864 
execution 	 288.37250970262966 1.8705121843738832 
people 	 275.3617024489716 1.6560711487949864 
innocent 	 514.003558269738 1.811858775604862 
violation 	 740.4198901082789 1.6560711487949864 
fundamental 	 690.7622530964853 1.6560711487949864 
human 	 120.73399356208846 1.8705121843738832 
rights 	 72.17173106671751 1.8705121843738832 
purpose 	 444.05405383929605 1.6560711487949864 
cited 	 842.7196368538728 1.6560711487949864 
idea 	 623.1569660703168 1.6560711487949864 
government 	 138.6400402245872 1.811858775604862 
justify 	 985.1615506928968 1.6560711487949864 
cruel 	 1028.007116539476 1.6560711487949864 
conflicts 	 640.5723395264415 1.6560711487949864 
concept 	 473.2064262767412 1.6560711487949864 
significance 	 564.0980754243039 1.6560711487949864 
precisely 	 1080.4458510983154 1.6560711487949864 
means 	 421.65616158527973 1.6560711487949864 
protect 	 527.8726656648982 1.6560711487949864 
society 	 178.36830903883128 1.811858775604862 
violates 	 948.9361409334912 1.6560711487949864 
values 	 527.8726656648982 1.6560711487949864 
worth 	 740.4198901082789 1.6560711487949864 
protecting 	 769.8332287024704 1.6560711487949864 
military 	 425.244017536015 1.6560711487949864 
fight 	 786.046553501904 1.6560711487949864 
local 	 367.7974831292892 1.6560711487949864 
virginia 	 131.007758916984 1.9330900875863983 
