term 	 tf-idf weight 	 BM25 ranking 
 button 	 125.62667648004015 1.8301742664208671 
jpg 	 55.686367180751716 1.9635594350117032 
direct 	 233.38729732433094 1.8301742664208671 
htm 	 8.610788968656124 1.9770679612985742 
variable 	 211.99637191067356 1.911322189662233 
rate 	 32.32942326297143 1.9738348144161166 
metromortgage 	 125.66266189443101 1.9635594350117032 
equal 	 308.63845351119556 1.8301742664208671 
prime 	 117.92899977620067 1.911322189662233 
vary 	 386.5418747077802 1.8301742664208671 
monthly 	 165.41295417312614 1.911322189662233 
payment 	 114.6560127854743 1.9399946018893388 
remains 	 313.7614207489859 1.8301742664208671 
fixed 	 64.96485497861154 1.9635594350117032 
rates 	 54.94944946471505 1.9635594350117032 
portion 	 183.69905562220748 1.911322189662233 
applied 	 127.50088150788328 1.911322189662233 
principal 	 343.96803835642294 1.8301742664208671 
alternatively 	 459.3223286665745 1.8301742664208671 
increase 	 219.6721781705392 1.8301742664208671 
total 	 240.98096679019167 1.8301742664208671 
advantage 	 271.18758439762865 1.8301742664208671 
pay 	 76.20458268209048 1.9399946018893388 
mortgage 	 160.9174671848555 1.9399946018893388 
faster 	 376.5343058283261 1.8301742664208671 
save 	 351.21228986255284 1.8301742664208671 
mort_adv 	 555.5328555133608 1.8301742664208671 
time 	 50.05866386297464 1.911322189662233 
full 	 180.7319223828169 1.8301742664208671 
penalty 	 376.5343058283261 1.8301742664208671 
convert 	 555.5328555133608 1.8301742664208671 
closed 	 165.41295417312614 1.911322189662233 
onsider 	 440.1785652032092 1.8301742664208671 
lock 	 555.5328555133608 1.8301742664208671 
anticipate 	 628.3133094721551 1.8301742664208671 
move 	 264.41103967818367 1.8301742664208671 
downward 	 482.7524015545665 1.8301742664208671 
expecting 	 628.3133094721551 1.8301742664208671 
able 	 215.47161803610078 1.8301742664208671 
sizeable 	 628.3133094721551 1.8301742664208671 
near 	 255.00176301576656 1.8301742664208671 
term 	 205.65138194496433 1.8301742664208671 
cf_mort1 	 628.3133094721551 1.8301742664208671 
of_mort3 	 628.3133094721551 1.8301742664208671 
rewriteable 	 628.3133094721551 1.8301742664208671 
r5_mort4 	 628.3133094721551 1.8301742664208671 
progressive 	 358.99362693869364 1.8301742664208671 
advance 	 319.14721665967875 1.8301742664208671 
prg_mrt5 	 628.3133094721551 1.8301742664208671 
accounts 	 319.14721665967875 1.8301742664208671 
services 	 147.9686567292998 1.8301742664208671 
as1 	 440.1785652032092 1.8301742664208671 
current 	 147.9686567292998 1.8301742664208671 
currates 	 628.3133094721551 1.8301742664208671 
mtg 	 628.3133094721551 1.8301742664208671 
tels2 	 459.3223286665745 1.8301742664208671 
daniel 	 397.604728851852 1.8301742664208671 
tollfree 	 459.3223286665745 1.8301742664208671 
copyright 	 81.89260732909146 1.8301742664208671 
surrey 	 397.604728851852 1.8301742664208671 
metro 	 367.39811124441496 1.8301742664208671 
savings 	 303.75385186953184 1.8301742664208671 
september 	 249.16692864451142 1.8301742664208671 
