term 	 tf-idf weight 	 BM25 ranking 
 lslogo 	 1382.5466897413999 1.5998760641830831 
gif 	 32.59986533767495 1.8460988424297673 
optest 	 1497.2933153360104 1.5998760641830831 
controversial 	 818.6889531340715 1.5998760641830831 
day 	 393.03504984638596 1.5998760641830831 
course 	 95.93774259373706 1.9310086918449436 
outstanding 	 1014.8496052325361 1.5998760641830831 
authorities 	 730.9151084240849 1.5998760641830831 
field 	 592.0688230691676 1.5998760641830831 
january 	 656.6660215797849 1.5998760641830831 
cocoa 	 1301.1326632375458 1.5998760641830831 
beach 	 946.6007431533567 1.5998760641830831 
learn 	 771.4126471743955 1.5998760641830831 
lqg 	 338.690793486895 1.9047267734887539 
kalman 	 220.99440222781627 1.9047267734887539 
theory 	 49.933678057936106 1.9555387236066697 
history 	 311.621023342532 1.5998760641830831 
design 	 176.6922212911426 1.8460988424297673 
regulators 	 325.28316580938645 1.8823100544658142 
observers 	 267.9098530120812 1.8823100544658142 
attend 	 967.5732992728599 1.5998760641830831 
estimation 	 330.07512851482363 1.8460988424297673 
controls 	 437.73937997493016 1.7777012715532379 
practitioners 	 1142.7613952518213 1.5998760641830831 
wish 	 875.4787599498603 1.5998760641830831 
performance 	 211.8978218200939 1.8460988424297673 
systems 	 89.27048409173825 1.9047267734887539 
merely 	 927.0757605225494 1.5998760641830831 
feedback 	 454.4056795203084 1.7777012715532379 
gain 	 818.6889531340715 1.5998760641830831 
matrices 	 1693.453967434475 1.5998760641830831 
continuing 	 760.7321343552497 1.5998760641830831 
research 	 162.39309388360329 1.7777012715532379 
material 	 544.3485954498383 1.5998760641830831 
heavily 	 1041.82238611716 1.5998760641830831 
mathematical 	 1071.6394120483249 1.5998760641830831 
essential 	 695.4939389681012 1.5998760641830831 
ideas 	 575.251995075931 1.5998760641830831 
statistics 	 891.6545910665657 1.5998760641830831 
power 	 101.92538601301595 1.8823100544658142 
spectra 	 374.3233288340026 1.8823100544658142 
matrix 	 650.5663316187729 1.7777012715532379 
algebra 	 1693.453967434475 1.5998760641830831 
calculus 	 1497.2933153360104 1.5998760641830831 
covered 	 771.4126471743955 1.5998760641830831 
summary 	 580.7473133734907 1.5998760641830831 
require 	 771.4126471743955 1.5998760641830831 
believe 	 730.9151084240849 1.5998760641830831 
process 	 442.92207542803766 1.5998760641830831 
measurement 	 571.3806976259107 1.7777012715532379 
noise 	 276.50933794827995 1.9047267734887539 
white 	 597.9040813475418 1.5998760641830831 
gaussian 	 1693.453967434475 1.5998760641830831 
physical 	 534.7544563256204 1.5998760641830831 
property 	 642.5130725571559 1.5998760641830831 
forces 	 603.8621961505283 1.5998760641830831 
accept 	 750.4400910548922 1.5998760641830831 
minimizing 	 593.1930188214676 1.7777012715532379 
trace 	 571.3806976259107 1.7777012715532379 
weighted 	 691.2733448706999 1.7777012715532379 
covariance 	 423.3634918586188 1.8823100544658142 
variables 	 818.6889531340715 1.5998760641830831 
relies 	 1301.1326632375458 1.5998760641830831 
error 	 473.30037157667834 1.7777012715532379 
residuals 	 1693.453967434475 1.5998760641830831 
relation 	 569.8613558992245 1.5998760641830831 
engineering 	 198.5161833615016 1.8823100544658142 
desires 	 1142.7613952518213 1.5998760641830831 
tenuous 	 1693.453967434475 1.5998760641830831 
designed 	 534.7544563256204 1.5998760641830831 
optimal 	 208.364477223432 1.9047267734887539 
stationary 	 593.1930188214676 1.7777012715532379 
based 	 348.1879433513737 1.5998760641830831 
knowledge 	 616.1684828294744 1.5998760641830831 
measures 	 712.6507069421523 1.5998760641830831 
sensitive 	 875.4787599498603 1.5998760641830831 
actual 	 712.6507069421523 1.5998760641830831 
measure 	 794.0647334460064 1.5998760641830831 
greatly 	 1041.82238611716 1.5998760641830831 
improved 	 875.4787599498603 1.5998760641830831 
relative 	 687.2904660329708 1.5998760641830831 
derived 	 967.5732992728599 1.5998760641830831 
gains 	 218.86968998746508 1.8823100544658142 
papers 	 422.83086700934774 1.7777012715532379 
seminars 	 650.5663316187729 1.7777012715532379 
subject 	 250.19176836022675 1.5998760641830831 
offered 	 721.6355885651784 1.5998760641830831 
current 	 398.8107605180175 1.5998760641830831 
status 	 467.8564321334432 1.5998760641830831 
obscure 	 1186.3860376429352 1.5998760641830831 
relations 	 503.5259561468315 1.5998760641830831 
introduced 	 875.4787599498603 1.5998760641830831 
caveat 	 1693.453967434475 1.5998760641830831 
analog 	 1382.5466897413999 1.5998760641830831 
oversampling 	 1693.453967434475 1.5998760641830831 
limit 	 831.8541175587461 1.5998760641830831 
system 	 305.2612051363993 1.5998760641830831 
infinite 	 1497.2933153360104 1.5998760641830831 
computational 	 1693.453967434475 1.5998760641830831 
resources 	 530.0766638734278 1.5998760641830831 
discussion 	 420.0078307310099 1.5998760641830831 
directions 	 990.2253855444709 1.5998760641830831 
future 	 429.60196985522765 1.5998760641830831 
materials 	 335.7820990780797 1.7777012715532379 
include 	 483.15745575293124 1.5998760641830831 
extensive 	 782.5121089967741 1.5998760641830831 
notes 	 499.33328686963665 1.5998760641830831 
reference 	 679.3181078513958 1.5998760641830831 
plus 	 908.8113590406168 1.5998760641830831 
set 	 420.0078307310099 1.5998760641830831 
graphics 	 860.1777363303722 1.5998760641830831 
displayed 	 1142.7613952518213 1.5998760641830831 
tuition 	 1071.6394120483249 1.5998760641830831 
registration 	 1041.82238611716 1.5998760641830831 
discounts 	 1041.82238611716 1.5998760641830831 
apply 	 750.4400910548922 1.5998760641830831 
outline 	 794.0647334460064 1.5998760641830831 
properties 	 1041.82238611716 1.5998760641830831 
random 	 1186.3860376429352 1.5998760641830831 
processes 	 730.9151084240849 1.5998760641830831 
ergodicity 	 1693.453967434475 1.5998760641830831 
expectation 	 1301.1326632375458 1.5998760641830831 
stationarity 	 1693.453967434475 1.5998760641830831 
autocorrelation 	 1693.453967434475 1.5998760641830831 
sided 	 1497.2933153360104 1.5998760641830831 
fourier 	 1693.453967434475 1.5998760641830831 
transforms 	 1382.5466897413999 1.5998760641830831 
theoretical 	 946.6007431533567 1.5998760641830831 
effect 	 446.35242045869126 1.5998760641830831 
integrals 	 1693.453967434475 1.5998760641830831 
perfect 	 1041.82238611716 1.5998760641830831 
regulator 	 748.6466576680052 1.7777012715532379 
terminal 	 380.9204650839404 1.8460988424297673 
settling 	 433.7108877458486 1.8460988424297673 
time 	 89.94667856013855 1.8460988424297673 
rites 	 1237.9830382156244 1.5998760641830831 
certainty 	 1301.1326632375458 1.5998760641830831 
equivalence 	 1497.2933153360104 1.5998760641830831 
examples 	 229.09682201099025 1.8460988424297673 
observer 	 691.2733448706999 1.7777012715532379 
dynamic 	 990.2253855444709 1.5998760641830831 
separation 	 507.42480261626804 1.7777012715532379 
theorem 	 846.7269837172375 1.7777012715532379 
combined 	 1104.9720111390814 1.5998760641830831 
words 	 760.7321343552497 1.5998760641830831 
software 	 794.0647334460064 1.5998760641830831 
scaling 	 1382.5466897413999 1.5998760641830831 
optimizing 	 1693.453967434475 1.5998760641830831 
functions 	 703.942327539461 1.5998760641830831 
discontinuous 	 1497.2933153360104 1.5998760641830831 
derivatives 	 1693.453967434475 1.5998760641830831 
lyapunov 	 1693.453967434475 1.5998760641830831 
equations 	 1693.453967434475 1.5998760641830831 
