term 	 tf-idf weight 	 BM25 ranking 
 nggsm 	 748.6466576680052 1.7777012715532379 
gif 	 16.299932668837474 1.9199702535606151 
images 	 179.83695693638543 1.8460988424297673 
volume 	 927.0757605225494 1.5998760641830831 
issue 	 401.7434292490772 1.5998760641830831 
line 	 115.12634237033011 1.8823100544658142 
women's 	 360.6569204630843 1.5998760641830831 
conference 	 48.899497343098595 1.962249810620729 
brings 	 1071.6394120483249 1.5998760641830831 
nation's 	 1071.6394120483249 1.5998760641830831 
influential 	 946.6007431533567 1.5998760641830831 
women 	 82.96390191049868 1.9310086918449436 
beach 	 473.30037157667834 1.7777012715532379 
lesley 	 691.2733448706999 1.7777012715532379 
stahl 	 748.6466576680052 1.7777012715532379 
betty 	 433.7108877458486 1.8460988424297673 
ford 	 253.71240130813402 1.8823100544658142 
olivia 	 748.6466576680052 1.7777012715532379 
goldsmith 	 748.6466576680052 1.7777012715532379 
deliver 	 1142.7613952518213 1.5998760641830831 
keynote 	 499.0977717786701 1.8460988424297673 
addresses 	 268.7030347755085 1.8460988424297673 
women_ 	 1693.453967434475 1.5998760641830831 
fifth 	 990.2253855444709 1.5998760641830831 
consecutive 	 1071.6394120483249 1.5998760641830831 
call 	 267.3772281628102 1.7777012715532379 
action 	 284.93067794961223 1.7777012715532379 
governor 	 483.78664963642996 1.7777012715532379 
pete 	 1497.2933153360104 1.5998760641830831 
wilsons 	 1693.453967434475 1.5998760641830831 
drew 	 1071.6394120483249 1.5998760641830831 
sell 	 806.1091043265255 1.5998760641830831 
crowds 	 1497.2933153360104 1.5998760641830831 
convention 	 908.8113590406168 1.5998760641830831 
center 	 439.5328133618171 1.5998760641830831 
entitled 	 908.8113590406168 1.5998760641830831 
passing 	 946.6007431533567 1.5998760641830831 
torch 	 1497.2933153360104 1.5998760641830831 
mentoring 	 1301.1326632375458 1.5998760641830831 
attended 	 967.5732992728599 1.5998760641830831 
participants 	 338.28320174417865 1.8460988424297673 
largest 	 356.32535347107614 1.7777012715532379 
conferences 	 1071.6394120483249 1.5998760641830831 
history 	 311.621023342532 1.5998760641830831 
delivering 	 1186.3860376429352 1.5998760641830831 
minutes 	 927.0757605225494 1.5998760641830831 
anchorperson 	 1693.453967434475 1.5998760641830831 
lady 	 520.91119305858 1.7777012715532379 
daughter 	 1014.8496052325361 1.5998760641830831 
susan 	 618.9915191078122 1.7777012715532379 
bales 	 1693.453967434475 1.5998760641830831 
wives 	 1237.9830382156244 1.5998760641830831 
club 	 908.8113590406168 1.5998760641830831 
author 	 730.9151084240849 1.5998760641830831 
addition 	 629.0343346931967 1.5998760641830831 
provided 	 649.501081920231 1.5998760641830831 
nearly 	 990.2253855444709 1.5998760641830831 
panels 	 1382.5466897413999 1.5998760641830831 
choose 	 860.1777363303722 1.5998760641830831 
ranging 	 908.8113590406168 1.5998760641830831 
topic 	 373.7007038007599 1.5998760641830831 
womens 	 748.6466576680052 1.7777012715532379 
roles 	 679.3181078513958 1.5998760641830831 
film 	 350.6381751076751 1.5998760641830831 
industry 	 446.35242045869126 1.5998760641830831 
personal 	 202.3534035557609 1.7777012715532379 
management 	 471.60483130369903 1.5998760641830831 
skills 	 782.5121089967741 1.5998760641830831 
write 	 575.251995075931 1.5998760641830831 
effectively 	 927.0757605225494 1.5998760641830831 
analysis 	 348.1879433513737 1.5998760641830831 
election 	 679.3181078513958 1.5998760641830831 
cycle 	 818.6889531340715 1.5998760641830831 
diversity 	 1014.8496052325361 1.5998760641830831 
panelists 	 1497.2933153360104 1.5998760641830831 
speakers 	 967.5732992728599 1.5998760641830831 
brought 	 740.5092475483028 1.5998760641830831 
diverse 	 1071.6394120483249 1.5998760641830831 
media 	 245.0617185205332 1.5998760641830831 
cover 	 671.5641981561594 1.5998760641830831 
event 	 818.6889531340715 1.5998760641830831 
including 	 248.4713983206106 1.5998760641830831 
daily 	 642.5130725571559 1.5998760641830831 
variety 	 592.0688230691676 1.5998760641830831 
sports 	 358.11878685796313 1.5998760641830831 
illustrated 	 1041.82238611716 1.5998760641830831 
los 	 875.4787599498603 1.5998760641830831 
angeles 	 927.0757605225494 1.5998760641830831 
times 	 460.50536948132043 1.5998760641830831 
estylo 	 1693.453967434475 1.5998760641830831 
magazine 	 875.4787599498603 1.5998760641830831 
usa 	 609.948452228061 1.5998760641830831 
highlighted 	 1382.5466897413999 1.5998760641830831 
entertainment 	 990.2253855444709 1.5998760641830831 
televisions 	 1693.453967434475 1.5998760641830831 
worlds 	 967.5732992728599 1.5998760641830831 
intriguing 	 1497.2933153360104 1.5998760641830831 
special 	 233.9282160667216 1.7777012715532379 
air 	 687.2904660329708 1.5998760641830831 
march 	 616.1684828294744 1.5998760641830831 
interviews 	 1041.82238611716 1.5998760641830831 
political 	 267.99638095141785 1.5998760641830831 
strategist 	 1497.2933153360104 1.5998760641830831 
estrich 	 1693.453967434475 1.5998760641830831 
woman 	 782.5121089967741 1.5998760641830831 
run 	 649.501081920231 1.5998760641830831 
presidential 	 616.1684828294744 1.5998760641830831 
campaign 	 629.0343346931967 1.5998760641830831 
taped 	 1237.9830382156244 1.5998760641830831 
focuses 	 564.5714822567852 1.5998760641830831 
providing 	 580.7473133734907 1.5998760641830831 
strategies 	 730.9151084240849 1.5998760641830831 
professional 	 569.8613558992245 1.5998760641830831 
success 	 695.4939389681012 1.5998760641830831 
offers 	 586.3514568983095 1.5998760641830831 
scholarships 	 423.3634918586188 1.8823100544658142 
deserving 	 1693.453967434475 1.5998760641830831 
students 	 703.942327539461 1.5998760641830831 
attending 	 535.8197060241624 1.7777012715532379 
california 	 730.9151084240849 1.5998760641830831 
educational 	 586.3514568983095 1.5998760641830831 
institutions 	 629.0343346931967 1.5998760641830831 
scholarship 	 1237.9830382156244 1.5998760641830831 
awarded 	 990.2253855444709 1.5998760641830831 
following 	 416.88072709020634 1.5998760641830831 
categories 	 946.6007431533567 1.5998760641830831 
health 	 226.6702149108832 1.7777012715532379 
medicine 	 174.09397167568684 1.7777012715532379 
law 	 118.35651524813385 1.7777012715532379 
enforcement 	 397.0323667230032 1.7777012715532379 
education 	 153.68265202418348 1.7777012715532379 
business 	 128.58988886165093 1.7777012715532379 
math 	 507.42480261626804 1.7777012715532379 
science 	 154.74258207385927 1.7777012715532379 
winners 	 1186.3860376429352 1.5998760641830831 
included 	 649.501081920231 1.5998760641830831 
theresa 	 1497.2933153360104 1.5998760641830831 
marie 	 1382.5466897413999 1.5998760641830831 
koppie 	 1693.453967434475 1.5998760641830831 
angela 	 1693.453967434475 1.5998760641830831 
michelle 	 1497.2933153360104 1.5998760641830831 
craig 	 1301.1326632375458 1.5998760641830831 
michele 	 1693.453967434475 1.5998760641830831 
elise 	 1693.453967434475 1.5998760641830831 
betton 	 1693.453967434475 1.5998760641830831 
wendi 	 1693.453967434475 1.5998760641830831 
nicole 	 1693.453967434475 1.5998760641830831 
smith 	 818.6889531340715 1.5998760641830831 
gloria 	 1693.453967434475 1.5998760641830831 
maria 	 927.0757605225494 1.5998760641830831 
amador 	 1693.453967434475 1.5998760641830831 
funded 	 908.8113590406168 1.5998760641830831 
proceeds 	 1071.6394120483249 1.5998760641830831 
money 	 267.3772281628102 1.7777012715532379 
fund 	 782.5121089967741 1.5998760641830831 
raised 	 860.1777363303722 1.5998760641830831 
annual 	 831.8541175587461 1.5998760641830831 
donations 	 1382.5466897413999 1.5998760641830831 
corporations 	 891.6545910665657 1.5998760641830831 
companies 	 616.1684828294744 1.5998760641830831 
sponsor 	 1104.9720111390814 1.5998760641830831 
sponsors 	 1186.3860376429352 1.5998760641830831 
microsoft 	 91.45062919090681 1.8823100544658142 
http 	 20.694791774459784 1.9199702535606151 
www 	 30.766358852281925 1.8823100544658142 
com 	 27.319578770063426 1.9047267734887539 
merrill 	 1382.5466897413999 1.5998760641830831 
lynch 	 1693.453967434475 1.5998760641830831 
bristol 	 1693.453967434475 1.5998760641830831 
myers 	 1497.2933153360104 1.5998760641830831 
squibb 	 1693.453967434475 1.5998760641830831 
gap 	 571.3806976259107 1.7777012715532379 
sold 	 445.82729553328284 1.7777012715532379 
matter 	 712.6507069421523 1.5998760641830831 
weeks 	 771.4126471743955 1.5998760641830831 
successful 	 771.4126471743955 1.5998760641830831 
day 	 393.03504984638596 1.5998760641830831 
country 	 460.50536948132043 1.5998760641830831 
organizers 	 1186.3860376429352 1.5998760641830831 
links 	 927.0757605225494 1.5998760641830831 
related 	 449.8248566621747 1.5998760641830831 
sites 	 771.4126471743955 1.5998760641830831 
governors 	 1301.1326632375458 1.5998760641830831 
office 	 464.15703304988233 1.5998760641830831 
gov 	 328.33301078989246 1.7777012715532379 
html 	 111.20465194990243 1.5998760641830831 
corp 	 1104.9720111390814 1.5998760641830831 
excite 	 846.7269837172375 1.7777012715532379 
review 	 381.82566376548795 1.5998760641830831 
reviews 	 603.8621961505283 1.5998760641830831 
health_and_medicine 	 1693.453967434475 1.5998760641830831 
nelsongroup 	 1104.9720111390814 1.5998760641830831 
gazette 	 1071.6394120483249 1.5998760641830831 
front 	 687.2904660329708 1.5998760641830831 
page 	 138.91757896909968 1.5998760641830831 
index 	 123.0654354091277 1.5998760641830831 
htm 	 185.66501166702346 1.5998760641830831 
